case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.0,1.0,False,131.0,0.9,0.82375,1200,176.3040061219505,156.0150765403332,196.76837807663637
1,377,154.29,0.03833333333333333,0.9616666666666667,False,131.0,0.9,0.833625,1200,159.3651015781528,133.10554072255587,189.18996038051395
2,161,136.63,0.17916666666666667,0.8208333333333333,False,131.0,0.9,0.805,1200,140.6402934230509,123.14898852345786,159.42598553826673
3,79,150.99,0.034166666666666665,0.9658333333333333,False,131.0,0.9,0.84,1200,155.90498140669715,132.33452918309538,181.43000059339886
4,19,136.95,0.33916666666666667,0.6608333333333334,False,131.0,0.9,0.829125,1200,136.89330566477628,117.49010492213736,157.86241494794726
5,88,184.91,0.0033333333333333335,0.9966666666666667,False,131.0,0.9,0.8375,1200,175.97004996307996,148.6861702387402,201.7620146318109
6,250,133.33,0.38333333333333336,0.6166666666666667,False,131.0,0.9,0.83525,1200,136.11904083986414,114.72555744725716,160.46225825678235
7,224,135.41,0.3025,0.6975,False,131.0,0.9,0.840625,1200,139.89198226586862,114.26847057956094,166.28928439659208
8,210,193.53,0.0,1.0,False,131.0,0.9,0.830375,1200,200.41705150888598,175.28544769522458,225.400607144814
9,230,190.6,0.0,1.0,False,131.0,0.9,0.83075,1200,184.72873903187215,160.98982147104297,208.76151706619999
