case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.0,1.0,False,131.0,0.9,0.8325,1200,175.67716329675824,153.10511440328222,198.14877217215007
1,377,154.29,0.035833333333333335,0.9641666666666666,False,131.0,0.9,0.828375,1200,159.1867136794839,133.63687588329526,186.72231161149034
2,161,136.63,0.19166666666666668,0.8083333333333333,False,131.0,0.9,0.817875,1200,141.07267405719497,122.87943896404283,161.59566126356404
3,79,150.99,0.03833333333333333,0.9616666666666667,False,131.0,0.9,0.84225,1200,156.04520831451072,132.5876955293594,181.15733486390567
4,19,136.95,0.335,0.665,False,131.0,0.9,0.837625,1200,136.8682386831956,116.66329652537142,158.78332681131803
5,88,184.91,0.0025,0.9975,False,131.0,0.9,0.83375,1200,175.76279952387205,149.04261293335776,201.10271019356773
6,250,133.33,0.38166666666666665,0.6183333333333333,False,131.0,0.9,0.835625,1200,136.05435995795924,113.64928045985395,161.05090034363852
7,224,135.41,0.30833333333333335,0.6916666666666667,False,131.0,0.9,0.841625,1200,139.15650564344807,115.58490466468722,163.79894316408905
8,210,193.53,0.0,1.0,False,131.0,0.9,0.82375,1200,200.8339864357391,177.10153889638374,226.07153629234327
9,230,190.6,0.0008333333333333334,0.9991666666666666,False,131.0,0.9,0.832125,1200,184.40413200303848,159.4582438624322,209.52182268969312
