case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.0,1.0,False,131.0,0.9,0.5736666666666667,1200,176.7961127054492,153.26297611272898,200.431462030151
1,377,154.29,0.0275,0.9725,False,131.0,0.9,0.5861666666666666,1200,158.7899158848331,134.29404389015696,187.6436074461186
2,161,136.63,0.2025,0.7975,False,131.0,0.9,0.5593333333333333,1200,140.44158072981097,122.75859977974163,159.46866461364266
3,79,150.99,0.03666666666666667,0.9633333333333334,False,131.0,0.9,0.6015,1200,156.0081764246847,132.9793817405663,182.10435210210997
4,19,136.95,0.33166666666666667,0.6683333333333333,False,131.0,0.9,0.6031666666666666,1200,137.02545542677893,116.94491224691079,158.31522341903445
5,88,184.91,0.0016666666666666668,0.9983333333333333,False,131.0,0.9,0.5915,1200,176.23903812970002,150.41767992092377,203.17648146509356
6,250,133.33,0.37083333333333335,0.6291666666666667,False,131.0,0.9,0.5926666666666667,1200,136.1617317334887,114.47409851714092,159.8497363901018
7,224,135.41,0.2941666666666667,0.7058333333333333,False,131.0,0.9,0.605,1200,139.8759390900594,117.006407261515,165.52137946243568
8,210,193.53,0.0,1.0,False,131.0,0.9,0.5806666666666667,1200,200.63154388919784,176.56666287805317,226.73557524176505
9,230,190.6,0.0,1.0,False,131.0,0.9,0.5828333333333333,1200,183.9362280763954,159.7266993235858,209.2410760277941
