category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95
low_stress,0,0.5,105.96,0.09835,107.75193171774661,17.489880378355515,80.39374665948723,137.43597090026245
low_stress,0,1.0,105.96,0.229,108.13525544040299,32.059545528030974,57.60936630501836,163.1666407075841
low_stress,0,2.0,105.96,0.3434,108.34807453053321,63.76340632404501,8.498004711344997,217.95679423653186
low_stress,1,0.5,116.78,0.22615,119.04947295020071,16.418596937283567,93.3389697362945,147.10539170739597
low_stress,1,1.0,116.78,0.32445,118.95631803249326,29.33167883037517,73.3092149517774,169.20735212687768
low_stress,1,2.0,116.78,0.4007,119.27864745880616,58.92196547104136,28.7727538732651,221.5183362633991
low_stress,2,0.5,118.66,0.18565,116.22360580395478,16.572058402849425,90.21624665056186,144.8378439176492
low_stress,2,1.0,118.66,0.29585,116.22022696282045,29.22561288428085,69.69055255468464,165.557550016516
low_stress,2,2.0,118.66,0.38025,115.55908835327469,59.05307062252094,22.082856961581335,214.9433284391661
near_threshold,0,0.5,128.92,0.5393,132.55753055023425,14.436135372561983,109.13811550489304,156.58044914123917
near_threshold,0,1.0,128.92,0.5141,132.5763045749274,27.742348021942874,87.84828874506512,179.10717826151213
near_threshold,0,2.0,128.92,0.4841,130.3834650375269,56.64785934218461,39.36382553506576,226.00555474007362
near_threshold,1,0.5,123.51,0.5399,132.86491758273652,15.134214877704041,108.48637368142901,157.9860661430204
near_threshold,1,1.0,123.51,0.51185,132.69500271693693,29.23949001827636,85.86727877890142,182.03672518783827
near_threshold,1,2.0,123.51,0.4809,130.8243350325668,59.94331254715499,36.238269305075825,232.3576980029
near_threshold,2,0.5,128.33,0.58905,134.91433569189903,15.131995178485203,110.97290972644473,160.70677319867883
near_threshold,2,1.0,128.33,0.5383,134.68495198271168,26.92671881416639,92.42274003718923,180.2549944764819
near_threshold,2,2.0,128.33,0.51345,135.46841663889208,54.68231980742634,50.70428377274782,230.6009684221154
above_threshold,0,0.5,134.23,0.78785,146.21523130930055,18.753686277866287,116.49650763057559,178.1045472394934
above_threshold,0,1.0,134.23,0.6805,146.53776131653157,30.910613533801488,98.49777450603102,199.50947821670985
above_threshold,0,2.0,134.23,0.59415,148.51268446479523,61.72917135801836,53.59160168608754,256.0727461625029
above_threshold,1,0.5,173.4,0.96745,164.52061254213737,19.040327996643803,134.15661046375828,196.61239111471832
above_threshold,1,1.0,173.4,0.86015,164.8801677510954,31.633412535207388,116.2415514886484,219.90473294839018
above_threshold,1,2.0,173.4,0.7111,166.97569143695773,61.8680770194946,72.6566796823825,276.1902191409851
above_threshold,2,0.5,133.98,0.6616,139.08810752543337,17.791564844465785,111.06335186080686,169.45700184637585
above_threshold,2,1.0,133.98,0.58805,138.50831555151018,28.79835838797831,93.3176353932407,188.23529111989444
above_threshold,2,2.0,133.98,0.53965,139.51112448799364,57.77971161689751,49.32120492795461,239.6930866059627
extreme_stress,0,0.5,186.34,0.9993,186.8354275577032,18.179089991730383,157.24037856272432,217.26783560144662
extreme_stress,0,1.0,186.34,0.97375,187.68930054790494,30.782287646569113,138.03480862708625,239.58965580851407
extreme_stress,0,2.0,186.34,0.8338,188.84069075850394,60.71320072988485,95.19893828590885,293.35963150929905
extreme_stress,1,0.5,203.37,0.9996,202.71284956721823,22.241405174587,166.79516179835397,240.05897878557536
extreme_stress,1,1.0,203.37,0.9773,202.83981222262608,38.07447391671643,142.60232220190568,267.78049997065426
extreme_stress,1,2.0,203.37,0.8443,203.5944098877932,71.7130479479469,93.50871590901205,328.6504485880832
extreme_stress,2,0.5,194.69,0.99985,187.8207999319093,15.908224065204992,162.0151980437093,214.30382706937903
extreme_stress,2,1.0,194.69,0.9766,187.910491894214,30.067173273911596,139.87856888694958,238.773921097442
extreme_stress,2,2.0,194.69,0.8277,188.5764254687236,61.310924690884505,92.39054153063321,292.61139129453267
