category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95
low_stress,0,0.5,105.96,0.07255,104.40735785115669,17.74322158872138,76.27320279160847,134.36909262484278
low_stress,0,1.0,105.96,0.2093,104.88337326466244,33.57372051866881,51.852749354130864,162.3238600894274
low_stress,0,2.0,105.96,0.3352,105.76405380877871,67.2038673303533,0.3829193699008924,221.643061480871
low_stress,1,0.5,116.78,0.1592,114.96253607928674,16.02601718945842,89.86068078622918,142.3220196984796
low_stress,1,1.0,116.78,0.2818,115.08636705962613,29.68105504724603,68.89434327377047,165.72408840722744
low_stress,1,2.0,116.78,0.38075,116.53911497547321,60.445309915557324,24.113091103027944,221.74084696223656
low_stress,2,0.5,118.66,0.1541,113.93783914000001,16.645213040986075,87.94669231599158,142.81012071246036
low_stress,2,1.0,118.66,0.2759,114.28161887386446,29.729897030750013,67.1951554973046,164.81135216342003
low_stress,2,2.0,118.66,0.37665,115.19907117675625,60.896237724746605,20.147532442294835,218.36748073952174
near_threshold,0,0.5,128.92,0.4967,131.21226136057078,15.289328514923914,106.64714876848063,156.62859115418237
near_threshold,0,1.0,128.92,0.5125,132.95154515380278,29.10080347974613,87.18550084426052,182.27148599159298
near_threshold,0,2.0,128.92,0.5195,136.63960336485522,59.63207690630554,42.7605669626722,239.37212839523377
near_threshold,1,0.5,123.51,0.59915,135.1907273112398,14.91895442767321,111.24702229672762,160.1124975171577
near_threshold,1,1.0,123.51,0.5591,136.31457607386153,28.535716487215648,91.15852562187222,184.694365525825
near_threshold,1,2.0,123.51,0.52895,138.83202241997296,59.33079177896951,47.63006216580823,241.6318719137145
near_threshold,2,0.5,128.33,0.508,131.986960016951,15.030523165355785,108.2684626628203,157.78314849636678
near_threshold,2,1.0,128.33,0.49885,132.1035331280527,26.760014395027593,90.43235024915779,177.8830460080094
near_threshold,2,2.0,128.33,0.50215,134.54492902459435,55.179225125695574,49.85335816081116,230.76445616345336
above_threshold,0,0.5,134.23,0.76235,144.3608908709643,18.25239109510051,115.53858033365199,175.44187845169628
above_threshold,0,1.0,134.23,0.6592,144.9050756920417,30.78813772022499,97.39005904650563,198.05222871397697
above_threshold,0,2.0,134.23,0.58755,148.29297464176815,62.65016862284631,53.59938162426531,258.9977680047497
above_threshold,1,0.5,173.4,0.9613,161.41215452423333,17.995379448391805,132.78373366981398,191.99577829133625
above_threshold,1,1.0,173.4,0.83845,161.829996028148,31.555203476297454,113.51362687731543,216.80059720339122
above_threshold,1,2.0,173.4,0.6904,164.51938875021165,63.253846751866874,69.23966936524717,277.0280563873205
above_threshold,2,0.5,133.98,0.61695,136.8510702710269,16.933911608754954,110.328654605619,165.8555115880557
above_threshold,2,1.0,133.98,0.5564,136.4632489172243,28.75869655358914,91.51203009313626,186.31366297267155
above_threshold,2,2.0,133.98,0.52515,138.5815401486007,59.39508468977951,48.11485181109031,242.2270038830696
extreme_stress,0,0.5,186.34,0.9994,187.31453499455273,18.170349899153788,157.72582337832094,217.72288930641528
extreme_stress,0,1.0,186.34,0.9743,189.15884410637238,31.76043796568058,138.60514423566514,243.36252981811336
extreme_stress,0,2.0,186.34,0.84645,193.95059574334965,63.53568038871196,97.82497990659951,305.1320993394691
extreme_stress,1,0.5,203.37,0.99985,207.49476820861082,21.25325950548532,173.19694906469826,243.1745234542247
extreme_stress,1,1.0,203.37,0.97945,206.69310617614005,39.404098912918144,144.48044393974646,274.09412672355876
extreme_stress,1,2.0,203.37,0.83895,205.92347724450036,75.62152519641332,91.09146176735791,337.4175796281449
extreme_stress,2,0.5,194.69,0.99985,194.21977554730643,17.348686532325654,165.91752439599057,223.01139089206023
extreme_stress,2,1.0,194.69,0.98175,195.74967935465736,33.001732425482885,143.59578864234751,252.32473285975612
extreme_stress,2,2.0,194.69,0.85715,201.10022739361966,66.60480012974234,98.26585311273604,316.5178524547063
