category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95
low_stress,0,0.5,105.96,0.07395,105.43228931259084,17.073784443884293,78.64962999627117,134.44582297484416
low_stress,0,1.0,105.96,0.22495,107.48169509353028,32.83372839265007,56.58395254385615,164.06373046062816
low_stress,0,2.0,105.96,0.37725,115.36777348743584,69.07092816565509,11.68300017701251,236.00024035972368
low_stress,1,0.5,116.78,0.17865,116.35210062564794,16.159641290538335,91.21843736769496,144.04774524748802
low_stress,1,1.0,116.78,0.303,117.50538958592503,29.504961776180476,72.2069414210756,168.2983044338058
low_stress,1,2.0,116.78,0.4225,124.55045710887096,63.03652496094602,32.06057968343728,236.6446696420217
low_stress,2,0.5,118.66,0.1698,115.81793346489545,15.926002284066746,90.91810015822624,143.339904274145
low_stress,2,1.0,118.66,0.2937,116.75147518267788,28.6500038979054,72.05156458194608,165.89884040633362
low_stress,2,2.0,118.66,0.40785,121.82443842210768,61.3049956877377,29.066861912029303,228.0421579558752
near_threshold,0,0.5,128.92,0.537,132.6499713854393,14.313193343498064,109.65432334652847,156.6602171331307
near_threshold,0,1.0,128.92,0.52375,133.4702479778179,27.165327787620683,90.77107768305336,179.52250896256487
near_threshold,0,2.0,128.92,0.52065,136.66638466954706,57.6399593541327,46.717923724274236,236.2570045879832
near_threshold,1,0.5,123.51,0.554,133.4163225642601,14.866635917519352,109.65112053445175,158.2296442487472
near_threshold,1,1.0,123.51,0.5346,134.46756632141648,28.925469786945378,88.42060420408843,183.76293534307845
near_threshold,1,2.0,123.51,0.52385,138.6974860627616,61.65395043461451,44.3263049377808,245.85529986931883
near_threshold,2,0.5,128.33,0.56525,133.8197244806808,14.331687619959505,111.17610606251132,158.4805877042383
near_threshold,2,1.0,128.33,0.537,134.68350217119834,25.45534329486304,95.30983621382684,178.34387904215018
near_threshold,2,2.0,128.33,0.5446,141.31622547099855,54.938177924693385,59.79448734879841,239.529425330955
above_threshold,0,0.5,134.23,0.7662,143.94407306676305,17.479542105622823,116.41543905481632,173.77103669554464
above_threshold,0,1.0,134.23,0.67235,145.72081040059007,30.144210443765026,99.44772167961084,197.9150904960158
above_threshold,0,2.0,134.23,0.6242,155.10772495167024,64.78289974894832,60.24907170104366,271.3190358524121
above_threshold,1,0.5,173.4,0.94865,159.94863629828814,18.38460410802539,130.781995726147,191.3451286527842
above_threshold,1,1.0,173.4,0.84305,162.745400151756,32.16035134921777,114.52534713220378,219.58534212352143
above_threshold,1,2.0,173.4,0.733,174.68485355034232,67.56351032645104,77.38444917636708,297.46942702119856
above_threshold,2,0.5,133.98,0.63435,137.50485390538148,16.801480814542163,111.06546923160228,166.13748871130315
above_threshold,2,1.0,133.98,0.58795,138.7799204736775,28.516052525161918,94.96311509437406,188.48321696204883
above_threshold,2,2.0,133.98,0.57985,147.88918127177362,61.46575863826337,57.96331496032927,257.7537856354631
extreme_stress,0,0.5,186.34,0.9992,186.2767724581946,18.80288712129747,155.7799816643313,217.88745393385759
extreme_stress,0,1.0,186.34,0.9733,188.73971460512323,32.08202819188962,137.90018598056682,243.82105051755568
extreme_stress,0,2.0,186.34,0.85395,198.12579692646273,66.96721956388441,99.79036180167314,315.80037606368757
extreme_stress,1,0.5,203.37,0.99985,209.23503350845985,23.942192612886313,171.0947049545296,249.74831011528155
extreme_stress,1,1.0,203.37,0.9805,212.67523765992806,43.852686421460234,145.56520517908143,288.8680482368438
extreme_stress,1,2.0,203.37,0.87475,225.4311156023299,85.00758538089555,100.97818092655413,377.9034135974342
extreme_stress,2,0.5,194.69,0.9999,191.32432723786872,17.11034699189217,163.75626649768853,219.90098722642625
extreme_stress,2,1.0,194.69,0.98105,193.1771764706812,32.374479428894375,142.2748119073712,248.6420253366682
extreme_stress,2,2.0,194.69,0.859,202.33394281173497,68.94204948860244,98.27498996158491,322.6759678199473
