sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_pred_mu_mean,stress_pred_sigma_mean,keff_mean,sample_source
0.5,110.0,0.9997495052623531,161.35409545898438,14.75596228154957,161.35409545898438,12.515947059766921,1.1035800325238532,mean_only_analytical_approx
0.5,120.0,0.997464861453492,161.35409545898438,14.75596228154957,161.35409545898438,12.515947059766921,1.1035800325238532,mean_only_analytical_approx
0.5,131.0,0.9801604103677939,161.35409545898438,14.75596228154957,161.35409545898438,12.515947059766921,1.1035800325238532,mean_only_analytical_approx
1.0,110.0,0.9569699476252798,162.58761596679688,30.635515887832153,162.58761596679688,9.753980441544009,1.1035685627847087,mean_only_analytical_approx
1.0,120.0,0.9177566169195179,162.58761596679688,30.635515887832153,162.58761596679688,9.753980441544009,1.1035685627847087,mean_only_analytical_approx
1.0,131.0,0.8487479510095864,162.58761596679688,30.635515887832153,162.58761596679688,9.753980441544009,1.1035685627847087,mean_only_analytical_approx
2.0,110.0,0.8084380445835977,165.26976013183594,63.37149946167648,165.26976013183594,4.185351051874164,1.1034894570687703,mean_only_analytical_approx
2.0,120.0,0.7624962163479974,165.26976013183594,63.37149946167648,165.26976013183594,4.185351051874164,1.1034894570687703,mean_only_analytical_approx
2.0,131.0,0.7056688658147171,165.26976013183594,63.37149946167648,165.26976013183594,4.185351051874164,1.1034894570687703,mean_only_analytical_approx
3.0,110.0,0.7245003687174921,168.9680938720703,98.8960443892281,168.9680938720703,1.4753781765367058,1.1033078265843328,mean_only_analytical_approx
3.0,120.0,0.6897518709634407,168.9680938720703,98.8960443892281,168.9680938720703,1.4753781765367058,1.1033078265843328,mean_only_analytical_approx
3.0,131.0,0.649480845933049,168.9680938720703,98.8960443892281,168.9680938720703,1.4753781765367058,1.1033078265843328,mean_only_analytical_approx
