model_id,output,input,Sobol_ST,Spearman_rho,PRCC
baseline,iteration2_max_global_stress,E_slope,0.05206513628363609,0.20343399757544334,0.5658958872022609
baseline,iteration2_max_global_stress,E_intercept,0.6222371935844422,0.7821393548487837,0.9258658367203078
baseline,iteration2_max_global_stress,nu,0.051085920482873914,0.1803755097575853,0.5615862960575891
baseline,iteration2_max_global_stress,alpha_base,0.1635059306025505,0.29257983691287104,0.728373783899989
baseline,iteration2_max_global_stress,alpha_slope,0.02533579561859369,0.19338406213868087,0.4818155701582919
baseline,iteration2_max_global_stress,SS316_T_ref,0.02934042003005743,0.10846111723746658,0.40172582255446804
baseline,iteration2_max_global_stress,SS316_k_ref,0.07284273281693458,0.17260991112324708,0.5543996365999191
baseline,iteration2_max_global_stress,SS316_alpha,0.003068340425379574,0.015076659135068874,0.019115177386468764
baseline,iteration2_keff,E_slope,0.0013594652200117708,0.06727577321024476,0.024950441601377868
baseline,iteration2_keff,E_intercept,0.002231652596965432,0.003805135297508426,0.039619044994041244
baseline,iteration2_keff,nu,0.013118757046759128,0.014782883302932063,0.19010034934078016
baseline,iteration2_keff,alpha_base,0.8077771830558776,0.7996290171804321,0.8830921362254586
baseline,iteration2_keff,alpha_slope,0.15990992426872253,0.417482761426282,0.7076849417354811
baseline,iteration2_keff,SS316_T_ref,0.005187920974567533,0.010345569147645778,0.07233434494331582
baseline,iteration2_keff,SS316_k_ref,0.008253289200365544,0.014180470369796054,0.11904948825816629
baseline,iteration2_keff,SS316_alpha,0.004010011930949986,0.047596568544325535,0.0805865461437838
