model_id,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi,S1_ci_spans_zero,ST_ci_spans_zero
baseline,iteration2_max_global_stress,E_slope,0.053079497814178464,0.04969108670282518,0.056467908925531746,0.05206513628363609,0.05175656021716353,0.05237371235010865,False,False
baseline,iteration2_max_global_stress,E_intercept,0.6134119546413421,0.6114846934545546,0.6153392158281297,0.6222371935844422,0.6190201745615603,0.625454212607324,False,False
baseline,iteration2_max_global_stress,nu,0.050922665596008304,0.047167398744934995,0.05467793244708161,0.051085920482873914,0.050801345500959466,0.05137049546478836,False,False
baseline,iteration2_max_global_stress,alpha_base,0.1572798979282379,0.153937696727545,0.1606220991289308,0.1635059306025505,0.16262856897541986,0.16438329222968115,False,False
baseline,iteration2_max_global_stress,alpha_slope,0.0244603168964386,0.021361260751846405,0.027559373041030795,0.02533579561859369,0.025192889674779454,0.02547870156240793,False,False
baseline,iteration2_max_global_stress,SS316_T_ref,0.023568086624145508,0.0199311435333789,0.027205029714912118,0.02934042003005743,0.029112419751884683,0.02956842030823018,False,False
baseline,iteration2_max_global_stress,SS316_k_ref,0.06489828824996949,0.06204882040700563,0.06774775609293335,0.07284273281693458,0.0723346170955368,0.07335084853833236,False,False
baseline,iteration2_max_global_stress,SS316_alpha,0.0011874639987945557,-0.001978895525137603,0.004353823522726714,0.003068340425379574,0.0030407780984594195,0.003095902752299729,True,False
baseline,iteration2_keff,E_slope,0.0028060615062713624,-0.0003797365029361852,0.00599185951547891,0.0013594652200117708,0.0013458313136912982,0.0013730991263322433,True,False
baseline,iteration2_keff,E_intercept,0.004030455350875855,0.0009348087248716671,0.007126101976880043,0.002231652596965432,0.0022124404486513994,0.002250864745279465,False,False
baseline,iteration2_keff,nu,0.015519422292709351,0.012264379854919627,0.018774464730499076,0.013118757046759128,0.013049656789410675,0.01318785730410758,False,False
baseline,iteration2_keff,alpha_base,0.8094443333148956,0.8086108451829352,0.810277821446856,0.8077771830558776,0.8049042795931737,0.8106500865185816,False,False
baseline,iteration2_keff,alpha_slope,0.16249996781349182,0.15953052477433866,0.165469410852645,0.15990992426872253,0.15910739659911177,0.16071245193833328,False,False
baseline,iteration2_keff,SS316_T_ref,0.006211915016174316,0.002984964004459041,0.009438866027889592,0.005187920974567533,0.0051441325124101595,0.005231709436724906,False,False
baseline,iteration2_keff,SS316_k_ref,0.008535068035125732,0.005224960746436089,0.011845175323815375,0.008253289200365544,0.00818602675264773,0.008320551648083358,False,False
baseline,iteration2_keff,SS316_alpha,0.006203526258468628,0.0028413976787234918,0.009565654838213764,0.004010011930949986,0.003984155905981053,0.00403586795591892,False,False
