model_id,output,input,Sobol_ST,Spearman_rho,PRCC
data-mono,iteration2_max_global_stress,E_slope,0.044108850359916685,0.20343399757544334,0.5658958872022609
data-mono,iteration2_max_global_stress,E_intercept,0.6167242348194122,0.7821393548487837,0.9258658367203078
data-mono,iteration2_max_global_stress,nu,0.0522780554741621,0.1803755097575853,0.5615862960575891
data-mono,iteration2_max_global_stress,alpha_base,0.16061334431171417,0.29257983691287104,0.728373783899989
data-mono,iteration2_max_global_stress,alpha_slope,0.029459339566528797,0.19338406213868087,0.4818155701582919
data-mono,iteration2_max_global_stress,SS316_T_ref,0.034147794842720035,0.10846111723746658,0.40172582255446804
data-mono,iteration2_max_global_stress,SS316_k_ref,0.09668869838118553,0.17260991112324708,0.5543996365999191
data-mono,iteration2_max_global_stress,SS316_alpha,0.007300182394683361,0.015076659135068874,0.019115177386468764
data-mono,iteration2_keff,E_slope,0.002744914432987571,0.06727577321024476,0.024950441601377868
data-mono,iteration2_keff,E_intercept,0.004543286971747875,0.003805135297508426,0.039619044994041244
data-mono,iteration2_keff,nu,0.030795163959264755,0.014782883302932063,0.19010034934078016
data-mono,iteration2_keff,alpha_base,0.7773517489433288,0.7996290171804321,0.8830921362254586
data-mono,iteration2_keff,alpha_slope,0.17730819821357727,0.417482761426282,0.7076849417354811
data-mono,iteration2_keff,SS316_T_ref,0.00469540361315012,0.010345569147645778,0.07233434494331582
data-mono,iteration2_keff,SS316_k_ref,0.009624839648604394,0.014180470369796054,0.11904948825816629
data-mono,iteration2_keff,SS316_alpha,0.0042186323646456,0.047596568544325535,0.0805865461437838
