model_id,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi,S1_ci_spans_zero,ST_ci_spans_zero
data-mono,iteration2_max_global_stress,E_slope,0.04472875475883484,0.041328143050351325,0.04812936646731835,0.044108850359916685,0.04382393974442974,0.04439376097540363,False,False
data-mono,iteration2_max_global_stress,E_intercept,0.59842236161232,0.5962712122988124,0.6005735109258276,0.6167242348194122,0.6133520024827808,0.6200964671560436,False,False
data-mono,iteration2_max_global_stress,nu,0.05063615560531616,0.04684395528081674,0.05442835592981558,0.0522780554741621,0.051976349570724424,0.05257976137759978,False,False
data-mono,iteration2_max_global_stress,alpha_base,0.14765148401260375,0.14410235127125262,0.15120061675395488,0.16061334431171417,0.15963971916740138,0.16158696945602696,False,False
data-mono,iteration2_max_global_stress,alpha_slope,0.0260041880607605,0.022885644436801456,0.02912273168471954,0.029459339566528797,0.02926216801714331,0.029656511115914285,False,False
data-mono,iteration2_max_global_stress,SS316_T_ref,0.02133587121963501,0.017616041889566114,0.025055700549703908,0.034147794842720035,0.033830627034640896,0.03446496265079917,False,False
data-mono,iteration2_max_global_stress,SS316_k_ref,0.07968409895896912,0.07671396064667645,0.0826542372712618,0.09668869838118553,0.09593029865631772,0.09744709810605334,False,False
data-mono,iteration2_max_global_stress,SS316_alpha,0.0016676497459411621,-0.0016185154370627031,0.004953814928945028,0.007300182394683361,0.007233502147849964,0.007366862641516758,True,False
data-mono,iteration2_keff,E_slope,0.003559187650680542,0.00048216620366390043,0.006636209097697184,0.002744914432987571,0.0027197051269361914,0.0027701237390389505,False,False
data-mono,iteration2_keff,E_intercept,0.003447939157485962,0.00041125175465168105,0.006484626560320243,0.004543286971747875,0.004499808927631975,0.004586765015863776,False,False
data-mono,iteration2_keff,nu,0.03261204242706299,0.029299655169326713,0.03592442968479927,0.030795163959264755,0.03064014896552012,0.03095017895300939,False,False
data-mono,iteration2_keff,alpha_base,0.7753858470916748,0.7742766158553194,0.7764950783280302,0.7773517489433288,0.7744461974145394,0.7802573004721183,False,False
data-mono,iteration2_keff,alpha_slope,0.17677517652511596,0.1739103564291052,0.1796399966211267,0.17730819821357727,0.17645447926590885,0.1781619171612457,False,False
data-mono,iteration2_keff,SS316_T_ref,0.0036041176319122313,0.0004551592118251062,0.006753076051999356,0.00469540361315012,0.004621630914107271,0.004769176312192969,False,False
data-mono,iteration2_keff,SS316_k_ref,0.006834231615066529,0.00362254868883598,0.010045914541297076,0.009624839648604394,0.009501739437278847,0.00974793985992994,False,False
data-mono,iteration2_keff,SS316_alpha,0.005075000524520874,0.0017999743630376518,0.008350026686004097,0.0042186323646456,0.004184683204932686,0.004252581524358514,False,False
