model_id,output,input,Sobol_ST,Spearman_rho,PRCC
phy-mono,iteration2_max_global_stress,E_slope,0.04413154177367687,0.20343399757544334,0.5658958872022609
phy-mono,iteration2_max_global_stress,E_intercept,0.6167536234855652,0.7821393548487837,0.9258658367203078
phy-mono,iteration2_max_global_stress,nu,0.05241423189640045,0.1803755097575853,0.5615862960575891
phy-mono,iteration2_max_global_stress,alpha_base,0.1605597311258316,0.29257983691287104,0.728373783899989
phy-mono,iteration2_max_global_stress,alpha_slope,0.02953018721193075,0.19338406213868087,0.4818155701582919
phy-mono,iteration2_max_global_stress,SS316_T_ref,0.034220585003495216,0.10846111723746658,0.40172582255446804
phy-mono,iteration2_max_global_stress,SS316_k_ref,0.09644681558012963,0.17260991112324708,0.5543996365999191
phy-mono,iteration2_max_global_stress,SS316_alpha,0.007273960849270225,0.015076659135068874,0.019115177386468764
phy-mono,iteration2_keff,E_slope,0.0027807845873758195,0.06727577321024476,0.024950441601377868
phy-mono,iteration2_keff,E_intercept,0.004574308460578322,0.003805135297508426,0.039619044994041244
phy-mono,iteration2_keff,nu,0.030674663819372654,0.014782883302932063,0.19010034934078016
phy-mono,iteration2_keff,alpha_base,0.7770409572124481,0.7996290171804321,0.8830921362254586
phy-mono,iteration2_keff,alpha_slope,0.17705041348934172,0.417482761426282,0.7076849417354811
phy-mono,iteration2_keff,SS316_T_ref,0.004850003570318222,0.010345569147645778,0.07233434494331582
phy-mono,iteration2_keff,SS316_k_ref,0.010093665923923254,0.014180470369796054,0.11904948825816629
phy-mono,iteration2_keff,SS316_alpha,0.0044188343081623315,0.047596568544325535,0.0805865461437838
