model_id,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi,S1_ci_spans_zero,ST_ci_spans_zero
phy-mono,iteration2_max_global_stress,E_slope,0.044741841554641726,0.041343971471096114,0.04813971163818734,0.04413154177367687,0.04384647995065501,0.04441660359669873,False,False
phy-mono,iteration2_max_global_stress,E_intercept,0.5984358060359954,0.5962837859248747,0.6005878261471161,0.6167536234855652,0.6133801535603555,0.6201270934107749,False,False
phy-mono,iteration2_max_global_stress,nu,0.0507358455657959,0.0469452378913986,0.054526453240193194,0.05241423189640045,0.05211189278082489,0.052716571011976014,False,False
phy-mono,iteration2_max_global_stress,alpha_base,0.1476116156578064,0.14406515199674116,0.15115807931887162,0.1605597311258316,0.15958633885702456,0.16153312339463866,False,False
phy-mono,iteration2_max_global_stress,alpha_slope,0.026036000251770018,0.022917738171831476,0.02915426233170856,0.02953018721193075,0.029332533762652876,0.029727840661208624,False,False
phy-mono,iteration2_max_global_stress,SS316_T_ref,0.021331837177276613,0.017611488388721855,0.02505218596583137,0.034220585003495216,0.03390245493495407,0.03453871507203636,False,False
phy-mono,iteration2_max_global_stress,SS316_k_ref,0.07954498767852783,0.0765786027370571,0.08251137261999855,0.09644681558012963,0.09569026283812239,0.09720336832213687,False,False
phy-mono,iteration2_max_global_stress,SS316_alpha,0.0016451787948608399,-0.0016388357028292732,0.004929193292550953,0.007273960849270225,0.007207726746414431,0.007340194952126018,True,False
phy-mono,iteration2_keff,E_slope,0.0035491037368774415,0.00047962461326577594,0.006618582860489107,0.0027807845873758195,0.002755070021813123,0.002806499152938516,False,False
phy-mono,iteration2_keff,E_intercept,0.0033992254734039307,0.00036686794957636404,0.006431582997231497,0.004574308460578322,0.0045302650711635355,0.004618351849993109,False,False
phy-mono,iteration2_keff,nu,0.03246995687484741,0.029158161065733674,0.03578175268396115,0.030674663819372654,0.03051917231932175,0.03083015531942356,False,False
phy-mono,iteration2_keff,alpha_base,0.7751076948642731,0.7739963026637237,0.7762190870648226,0.7770409572124481,0.7741348161918142,0.7799470982330821,False,False
phy-mono,iteration2_keff,alpha_slope,0.17659954428672792,0.17372782504104653,0.1794712635324093,0.17705041348934172,0.17619742658118165,0.1779034003975018,False,False
phy-mono,iteration2_keff,SS316_T_ref,0.003642861843109131,0.0004990728897519988,0.006786650796466263,0.004850003570318222,0.004773913445296883,0.0049260936953395605,False,False
phy-mono,iteration2_keff,SS316_k_ref,0.0070778453350067135,0.003862528081956363,0.010293162588057063,0.010093665923923254,0.009964209561143899,0.010223122286702609,False,False
phy-mono,iteration2_keff,SS316_alpha,0.0051874291896820066,0.0019083679158839102,0.008466490463480103,0.0044188343081623315,0.004382861736041417,0.004454806880283246,False,False
