iteration1_keff,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_keff,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2
1.1302314,1011.9218,1095.0428,1059.0985,154.22673,953.88293,152.03357,29.889631,1.1044942,999.8,1072.6238,1034.2415,125.98779,950.44366,152.10965,29.887062
1.1365662,1009.96466,1091.7576,1054.738,173.27086,953.179,152.06158,29.89023,1.1044092,998.5565,1070.2094,1031.4471,141.50787,950.0941,152.13916,29.88778
1.1255658,1017.63306,1104.5128,1070.3638,169.74757,955.6856,152.01242,29.89165,1.1044213,1001.42914,1075.7509,1037.7238,131.99268,950.9355,152.0498,29.889069
1.1301028,1013.52124,1098.065,1062.1311,182.49944,954.38257,152.06102,29.892757,1.1043521,999.857,1072.55,1034.1526,145.21947,950.4395,152.12108,29.889914
1.124086,1018.4048,1106.7672,1072.6244,179.43718,956.16986,152.0142,29.887316,1.104501,1002.3803,1077.1964,1039.7188,141.36563,951.14185,152.09102,29.884354
1.1152306,1021.13104,1111.1619,1077.304,193.61868,956.82385,151.98483,29.88803,1.1044962,1000.6979,1074.5309,1036.3741,139.32562,950.7395,151.9784,29.884588
1.1213019,1014.544,1099.7383,1064.4581,160.24063,954.75525,152.00963,29.88557,1.1045704,999.58734,1072.1138,1033.5016,124.44835,950.36584,152.08066,29.8823
1.1339538,1011.31586,1094.1212,1057.9314,164.69696,953.72284,152.05428,29.892086,1.1044219,1000.07385,1073.0327,1034.856,136.74326,950.50867,152.12756,29.88979
1.1097354,1021.83386,1112.0673,1079.0438,191.87558,957.12946,152.02882,29.895607,1.1043056,1001.7229,1076.2623,1038.4104,140.70578,951.01874,152.0558,29.892122
1.1266321,1015.58813,1101.6554,1066.2915,191.71571,954.9936,152.02512,29.891613,1.1044284,999.9063,1072.8733,1034.4528,148.01654,950.4687,152.04561,29.888752
1.1205058,1018.2022,1107.3878,1073.351,174.62482,956.32764,152.10437,29.88865,1.1044494,1001.9559,1076.3617,1039.1805,137.27432,951.0501,152.15865,29.885286
1.1194829,1022.43036,1114.1915,1080.963,194.88211,957.58545,152.06065,29.892487,1.1043426,1003.6464,1079.3992,1042.4932,150.32303,951.5103,152.13167,29.889147
1.1259011,1014.70404,1099.8595,1064.5636,170.51122,954.7458,152.01164,29.889866,1.1045007,999.98004,1072.9817,1034.5115,133.88716,950.4942,152.04987,29.88707
1.1158152,1019.68536,1109.8169,1076.0846,167.47862,956.7779,152.16751,29.895088,1.1042835,1001.81805,1076.0638,1038.8457,129.25421,951.00867,152.2285,29.891384
1.1627789,1006.3193,1086.2709,1047.051,195.91301,952.06635,152.08128,29.892538,1.1045184,997.59686,1068.3921,1030.1208,167.6045,949.83624,152.04639,29.89119
1.1288041,1013.4326,1098.5768,1062.6807,194.5759,954.5358,152.07103,29.889624,1.1044074,999.89435,1072.3899,1034.1477,154.66762,950.43646,152.13263,29.886759
1.1138799,1020.4486,1110.4196,1076.5723,186.0463,956.8534,152.0517,29.892555,1.1044039,1001.522,1075.5286,1037.6979,140.10141,950.9117,152.09158,29.88913
1.1342579,1010.84644,1093.4613,1056.5928,174.04938,953.48663,152.01973,29.887745,1.1045588,998.56036,1070.3062,1031.4751,140.2099,950.09534,152.06142,29.88514
1.1253753,1013.3991,1098.0526,1062.2764,174.49632,954.4388,152.02092,29.8882,1.1045406,999.856,1072.6135,1034.2325,138.98013,950.43774,152.0728,29.885416
1.12437,1017.9157,1106.088,1071.7993,181.86662,956.05804,151.98451,29.885195,1.1046337,1001.86664,1076.3112,1038.6034,142.3666,950.9977,152.02039,29.882298
1.131351,1025.3948,1120.5508,1088.126,199.89003,958.8814,152.11604,29.890892,1.1043642,1004.75684,1081.4708,1045.3618,153.97517,951.8911,152.13644,29.887283
1.1360983,1008.7716,1089.7356,1052.5184,160.81355,952.8666,152.05174,29.88843,1.1045042,998.3505,1069.8279,1031.0519,133.06642,950.0465,152.13399,29.885824
1.1247152,1017.14716,1104.4474,1069.651,187.55446,955.6365,152.04114,29.88971,1.1043893,1001.3063,1075.1173,1037.1908,146.13127,950.8312,152.12341,29.886585
