E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha
-66847520.87188382,201820595655.40625,0.3045929129156844,7.484651093477522e-06,5.550034404616383e-09,1062.6077351796264,23.83258041457858,0.011801841639731175
-67252571.64505556,195746830890.74338,0.3156733199930064,7.70768667506465e-06,5.602821629412562e-09,1072.2179734675199,23.495460782601096,0.011314174722803685
-68733334.45143077,194522409317.71103,0.3061132767705188,7.300492555113171e-06,6.049795062496086e-09,998.134968149177,22.937916341094326,0.011722621217915575
-69533926.79838246,201474012477.89584,0.3155910881860421,7.553264711250123e-06,5.912608090154152e-09,996.0505036048401,21.75433445882042,0.011934509189050577
-68985609.47960319,202144176660.3895,0.3270318828907647,7.635506668518487e-06,5.753406594945251e-09,963.5129743323525,21.749849927328768,0.011153163734384377
-67288758.48574921,196336475462.3576,0.33777164634155354,7.541663959851644e-06,5.597832036038436e-09,962.6699102391891,21.126816774647498,0.010681260278037156
-68437393.22051841,190429470933.85648,0.33896287027411504,7.780332418191035e-06,5.4215174245656625e-09,942.1515413033517,21.919456417026414,0.010964362930880621
-63037155.650614254,191518550004.32632,0.32370886367837454,8.20729873004688e-06,5.148124218057513e-09,946.5424236146303,21.959619766591832,0.011200775562384838
-69754544.89934249,189341437895.98642,0.3310256649050176,8.568531988585393e-06,4.793383199496037e-09,883.1158484396055,21.477168384279096,0.01080093021129769
-66637916.288272835,185168808439.2538,0.3065346179518642,8.388216878774103e-06,4.978396730472349e-09,874.0849430282029,22.035458806224153,0.010725605766024299
-66192363.51357464,194546584265.95557,0.3113836353264993,8.144954549749069e-06,5.203194417951497e-09,882.5758479027206,22.95925539283906,0.010618282249907641
-69600258.16081998,187530993022.77493,0.3081706951597674,7.855373362635693e-06,5.6982797437715804e-09,862.450588830037,22.13321149021631,0.01101586614967539
-68741369.33416001,188684322304.33102,0.31818270323116515,7.665892906966975e-06,5.582899810680198e-09,857.8730470181985,22.093194900878633,0.011389090062297692
-73841934.3804789,194050578189.04895,0.3294625481369198,7.128030376109275e-06,5.613239273349558e-09,830.6764741646498,22.797424442450755,0.011075582868430694
-71308198.13681866,194442807384.5653,0.32794637976642016,7.815112045190543e-06,5.3942248659230025e-09,865.0349747611245,21.984353384450642,0.011802999171188579
-71887100.63286144,188319245558.74185,0.3258613243662523,7.749983748706055e-06,5.455436738064019e-09,856.6278673417947,21.534694353944204,0.012007591082160603
-71565281.98749897,184852204560.15643,0.32534235328222577,7.760077996751097e-06,5.455970897074029e-09,875.431292891314,22.26178236276668,0.012195048322384902
-68839182.7766595,185750160245.80832,0.3238503987727917,7.91589503631052e-06,5.374626836007162e-09,902.9993742262208,23.32470017475444,0.011710888007129534
-68792311.79807723,184445441440.73077,0.3275666839830385,7.955127044944246e-06,5.223960540204823e-09,931.7256662976281,22.819458968879182,0.012090890376601429
-68715216.35079373,175496966403.07184,0.33978562851454336,7.74822428482449e-06,5.408423673950142e-09,899.9170112047374,22.153853301888304,0.01263657257812458
-67628719.50936876,176230517591.4826,0.34210746033310746,7.5725289815188914e-06,5.178812967098664e-09,925.0093654530083,22.1340182279625,0.012120387067366059
-68802418.81793031,181838531741.36542,0.3536939041189417,7.947734007129244e-06,5.05641213541904e-09,993.7884918052644,22.683579208539637,0.012213970293557638
-71888261.57431345,185347524910.67865,0.3414646236995544,8.171652514054714e-06,4.827598950706157e-09,973.223313337966,22.040960046474964,0.012748309448469589
-69299936.78056464,187962407343.67197,0.33368163507688986,8.388727281766183e-06,4.8607462381967305e-09,987.5261044962224,22.957052714064925,0.012017928955820068
-70389490.26168309,188705917262.9493,0.33696232503280593,8.38524180900105e-06,4.815953486925081e-09,980.9606945442108,23.052561911388423,0.011911462328610735
-71562347.58790381,203101697197.21304,0.32910959319912425,8.123553476363834e-06,4.872353922240152e-09,1077.047871542698,23.46257663677427,0.012351796803386914
-69756396.45961173,194592102755.6562,0.3380135617621867,8.3077509378334e-06,4.94825538897836e-09,1021.2994454767023,22.56036239296929,0.01180795195302049
-68391579.25330624,188492346848.6807,0.310290591484834,8.549577510154067e-06,4.9116042614705954e-09,1026.8781633427575,21.957913552427687,0.011537870193336136
-70357895.00447212,190734122568.8213,0.3251476551438915,8.44464853397727e-06,4.9442428243979e-09,1007.2799527894534,23.457913077032828,0.012362365628441079
-70969741.05178772,196843847481.34534,0.3249828675099506,8.493125878231702e-06,5.074353667771269e-09,985.9483939556163,24.67754754146867,0.012237260951728293
-75335992.52842575,202446982770.91187,0.3141647606957537,8.824004589422965e-06,4.876243893074793e-09,1021.0392629513576,23.61627110919324,0.012173096539977718
-77949913.917037,196242301382.4492,0.2996404606450784,8.842892069335525e-06,4.734380587417089e-09,1035.247773663938,23.686810830972565,0.012142339978353787
-76535321.74175967,196659059467.08163,0.3034904120251244,8.941442877292966e-06,4.809841281228239e-09,956.7079098591003,24.182006605747567,0.012454681028623175
-78245994.2495948,191536949285.73724,0.3086244317858033,8.635292208415745e-06,5.0938369176976385e-09,926.0409473299623,24.24128936895559,0.012003202005408723
-75635596.10595462,197682740381.71313,0.3225029230369941,8.724469801022793e-06,4.836969783876449e-09,930.7329190200525,23.050052148214697,0.01229830856361546
-74221567.50318606,194871860063.96262,0.3241217365193255,8.697577582967073e-06,4.42088853044571e-09,912.6206103018611,22.363458166012055,0.012964369554733943
-76217541.93031827,194612303972.46298,0.334094027446551,8.618494507358357e-06,4.581039953511318e-09,952.757290189657,21.959448985474136,0.012110318157235683
-77813612.59869485,197518466024.8171,0.32480874175845426,8.871270134148562e-06,4.506987492293871e-09,969.6622100128612,23.08451670544949,0.012650967131891613
-80961627.28791253,206563170974.28412,0.32415004991470653,8.948007406034099e-06,4.596147553283775e-09,939.2932904120831,23.714198427978324,0.011744618167100967
-84893435.14136381,201467758520.1608,0.31737512577265276,8.762838542949169e-06,4.592731379811853e-09,962.5228456450387,23.667245626369855,0.011110567542748247
-81852596.83297625,194822646032.22308,0.32434627331037275,8.700389158081165e-06,4.479782484950389e-09,985.5212890690569,22.471184852759194,0.011782858287081161
-84009235.18644454,201309914270.9079,0.30721969770998137,8.995094636005678e-06,4.544006222110566e-09,1024.0792701978028,22.63943323874524,0.012334340705658788
-83221225.65558328,203926972245.7447,0.3098639832181002,8.75479018082182e-06,4.619160844999624e-09,963.9647453001553,23.954607089370196,0.012490085502375351
-82032770.75972927,195583248825.4071,0.31556947780568023,9.121913366616235e-06,4.4963065999045205e-09,939.8954407184809,22.96345490746626,0.011825534095938749
-80939771.92171794,185103612788.09195,0.3250543904443494,8.780837618759953e-06,4.68335367279774e-09,968.6450304999696,22.513490416393278,0.011791936764582364
-80041925.82344837,199934247135.27322,0.3432021715769502,8.470215867854815e-06,4.454420812635367e-09,955.5021397318754,22.320347081425385,0.01141801918899056
-77403207.22326958,190427950839.66315,0.32564418252739336,8.389954975528301e-06,4.816440524000103e-09,931.9617984921819,21.99284807392607,0.011093463278925991
-76590379.17193434,198278130714.58362,0.3293277534216436,8.371217028198484e-06,5.021325061425893e-09,906.7722984466174,22.30305826194457,0.01127857161085247
-76660351.94272704,201197987453.2603,0.3352195078078421,8.186441627614545e-06,4.981414019700404e-09,875.0680096199893,22.080574822556514,0.010741639661182262
-74267827.6573197,196248044489.24292,0.33957906497268986,8.351876790170877e-06,4.943859568278169e-09,858.9612301799157,23.22597573710659,0.011098396485595532
-70518076.78667529,186946031987.06152,0.3370307500871761,7.940118688007727e-06,5.056890480260942e-09,836.7220613960347,22.79859964938182,0.011062036463762331
-71884956.0167831,187727217472.0117,0.3217908925646883,8.253150045113094e-06,4.960532168687048e-09,802.3875582475213,22.367989860826224,0.010869834697199763
-71910290.83696225,191609324297.00516,0.30534200148407387,8.495748135160885e-06,4.791307379949915e-09,792.8654890448927,22.658527778486405,0.010934209954250722
-74068715.32812966,199722666016.06973,0.3034169566068145,8.508769970456363e-06,5.0153455184076165e-09,795.3808063895344,21.88304240200214,0.010607814809948577
-74751283.14362809,205369687451.938,0.3170661979219023,8.224726932358929e-06,4.9070554294409305e-09,796.4381407394342,22.280373259526982,0.009958899771049272
-74269293.44063243,203968710473.6781,0.2991188982937548,8.549119581871891e-06,5.090789652556827e-09,853.8981654172023,22.043887119763767,0.009961109197203407
-70510943.69837779,196657646904.29996,0.2827603492382927,8.748202219972204e-06,4.863962218931539e-09,852.867251488637,22.26554071285884,0.009686558892952316
-69888603.70729028,198641996573.43307,0.2712430981299043,8.939567750312132e-06,4.77790726323731e-09,869.4848696123812,22.925879834019195,0.011103109600673417
-70264977.88659175,202055946094.4681,0.261681401941554,9.102023682021896e-06,4.8385157577308985e-09,890.0982082701663,22.757255565766187,0.012534032473337184
-71830254.65050131,199667479361.7499,0.269478421001523,9.116148331175287e-06,4.823602104356042e-09,942.63166862355,23.0453419194931,0.013083797221589229
-74974548.96843834,208790851776.32,0.2833709846051846,9.191326055552941e-06,4.76867105874066e-09,951.9338798920362,23.5913401193177,0.01334837353911076
-75998129.0134098,205518923917.97845,0.2683558795826193,9.331282435958116e-06,4.549056137359691e-09,874.247458425839,23.341181631560534,0.012817061821643728
