E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_keff,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_keff,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2
-67850864.05166657,204916971038.38568,0.3247694425732795,9.803072130236768e-06,4.478877942885451e-09,777.3284857948054,23.87104958214793,0.0134183430306473,1.1133589146381315,1006.57,1086.5,1049.18,184.06,952.25720362781,152.20139668804632,29.909355412798018,1.103787943703858,996.67,1066.58,1027.98,152.75,949.6394386469532,152.19367489710953,29.907299380271866
-68783789.95919919,217981366377.45023,0.3290978866665071,8.002959210524954e-06,5.332193881288769e-09,991.3164353864312,24.203756454557347,0.0109527640468876,1.1133589146381202,1014.09,1099.94,1064.51,209.11,954.6783429464656,152.10408444994573,29.891918221368535,1.104586362127189,1002.84,1078.08,1040.86,176.35,951.257909423906,152.09394349438205,29.889502870829425
-70082161.92914124,210141332377.9033,0.3149801234101292,9.315368513785164e-06,4.807958953647626e-09,968.9359753433116,22.960051609175917,0.0125972372130371,1.1133589146381229,1014.62,1100.87,1065.57,205.97,954.8506044115256,152.19834855221734,29.905578347646248,1.1041684942281316,1001.02,1074.36,1036.77,166.26,950.764687881478,152.18613990938314,29.902596891657257
-75659741.30359519,186413768850.27628,0.3202252373175016,9.740999077370132e-06,5.540548522441689e-09,829.2228227602534,24.34000324705637,0.012522496378258,1.1133589146381164,1006.06,1085.57,1048.12,157.76,952.1047506042992,152.38192990806075,29.927373298279065,1.1031617442786892,996.79,1066.51,1027.98,132.59,949.6761145332543,152.3739372401973,29.92527973864863
-69426168.26856633,186413768850.27628,0.28115251733462,1.0079561394447849e-05,4.694403009178398e-09,944.6627138936642,26.67639349703399,0.0143576783238928,1.1133589146381269,1011.53,1095.44,1059.37,165.28,953.8011139453224,152.2841737600273,29.91052006866816,1.1033234562959289,999.46,1071.78,1033.85,135.13,950.3596856808804,152.27362916502418,29.90790453206386
-72763877.92141871,148932737185.81766,0.365123495021697,1.1804924234173973e-05,4.745390223291554e-09,746.059881274795,19.66078182313816,0.0121887282363356,1.1133589146381215,1016.37,1103.95,1069.1,148.24,955.4274937421478,152.54560532852733,29.967645774962516,1.1024750611177652,1002.14,1076.69,1039.48,119.78,951.0946197295368,152.5311276369689,29.96390435377525
-66746260.3056162,195654954729.37787,0.3371714294527813,8.777517600133855e-06,5.18193551371714e-09,1007.1718905526212,21.151663327692116,0.0131083229695018,1.1133589146381266,1030.42,1128.16,1097.09,232.85,960.2557830407752,152.2049511205002,29.91032551633405,1.1039203068573276,1008.13,1087.91,1052.05,176.74,952.844379704694,152.18244380767416,29.905149396846248
-73375320.9925718,195818715551.15,0.3093657522234755,1.1350245787795048e-05,5.366192152253228e-09,1123.788844083991,24.46346200155176,0.0135161462404767,1.1133589146381238,1019.51,1109.43,1075.42,226.18,956.4808608900825,152.5958073157483,29.957279063788416,1.1028108622205703,1002.54,1077.37,1040.25,176.99,951.2059120267804,152.5774527745998,29.9528735626328
-61627603.05598079,229592358345.2057,0.3119188310098877,8.813350992941368e-06,4.690088098538814e-09,861.4709627833015,21.46877165534569,0.012784416212978,1.1133589146381146,1015.15,1101.8,1066.64,235.3,955.023820680402,152.10575924149836,29.892668821091583,1.104377246252705,1001.12,1074.97,1037.38,188.99,950.797396131142,152.09361322835977,29.889724373780908
-74287850.12139224,224067194439.3025,0.3152465123545002,1.0944897228621236e-05,4.632640870637572e-09,798.819106409828,23.610169465129765,0.0140748267204113,1.1133589146381322,1010.73,1094.01,1057.73,230.78,953.545140596398,152.3960856437166,29.934160925225573,1.103415502665679,998.69,1070.26,1032.13,188.0,950.1528621593804,152.385321687057,29.93138585759215
