E_intercept,alpha_base
191824601302.4756,7.2547825712566865e-06
188777519380.1456,7.474668827910717e-06
188017710716.24448,7.558832501783617e-06
184943671755.57687,7.5252935684725725e-06
183106037988.36072,7.464833516173199e-06
188558615419.1536,7.648453775922212e-06
185385285886.6085,7.603317863218238e-06
186483062325.752,7.481448257583834e-06
182180128628.37512,7.641147046197232e-06
187652241095.44385,7.196753625180109e-06
184113285092.2858,7.168406523600918e-06
184675699688.9801,6.967684235186057e-06
190142494608.53104,6.805772374609537e-06
191714521991.5831,7.788343775674378e-06
195189072235.29703,7.82079568455637e-06
202454036302.90036,7.650626040740376e-06
193181283778.16263,8.398242014889855e-06
196121189573.2881,8.117638315348346e-06
196962812763.6915,8.004265387771116e-06
196900952965.17484,8.21162869297295e-06
193576409039.87003,7.753416771405056e-06
193575901880.117,7.482584017588681e-06
194428880767.2832,7.557481077448804e-06
200722187947.71732,7.477419312623929e-06
197930686460.99368,7.386932003400051e-06
191471933769.31647,7.847182306655144e-06
196380854640.11816,7.632055827649152e-06
194623005769.00064,7.894235543593078e-06
192632725804.2176,7.970571200636386e-06
192314629830.88004,8.276376002467627e-06
193190595414.1038,8.546786784444398e-06
198541099554.5462,7.924725223214295e-06
199235093071.3137,7.928263037697373e-06
191508005674.72363,7.519025747471281e-06
192506805828.6702,7.999854193914368e-06
195008838797.2707,7.18366408019218e-06
187618002707.10867,7.560715251554764e-06
190261357535.11295,6.997808663731582e-06
195987937641.40112,7.285543852782744e-06
196047601999.70755,7.389582717939714e-06
196124349151.3612,7.610687870096406e-06
192890894184.67267,7.494946183929161e-06
188669544694.60565,7.506085996212477e-06
192476715701.4908,7.294852091386663e-06
190648278775.0568,7.085352315288813e-06
193992457351.14572,6.809078488823648e-06
182613795915.234,7.144425743257118e-06
185281523313.54065,7.325609214309201e-06
183275630906.43463,7.2816795209786436e-06
182998782475.12875,7.439992790043353e-06
187293463974.1705,7.332617846979283e-06
185313976550.198,7.218301440023e-06
193975262060.8885,7.467175973027987e-06
193988020306.47696,7.443762992598808e-06
192083328425.6187,7.702022103121418e-06
189577901710.48157,7.711251671008862e-06
189345042534.4944,7.900374643748962e-06
196001175041.59293,7.340941734962968e-06
193716720874.112,7.434383101941286e-06
191805296078.51804,7.507109044621648e-06
194209316718.3656,7.389361954986873e-06
190444007761.97885,7.381876082920625e-06
194185986410.12848,7.628634157289624e-06
192775000593.5156,7.706815527449107e-06
191923188886.53845,7.71192605215577e-06
187460566681.00693,7.644525206960974e-06
190947927554.89703,7.384070870828112e-06
194964318131.1952,7.491347400212796e-06
198972224698.0568,7.715320312433537e-06
197562257409.91263,7.4824568878843345e-06
197893227508.6526,7.398421595030175e-06
196979642789.47397,7.876699685845197e-06
198323753256.83237,7.847912144222006e-06
195966915168.72745,7.83879296967953e-06
199053856325.99557,8.029740723558694e-06
199059998581.56723,7.938443495353817e-06
199408627210.95807,8.391705783841066e-06
200340345037.97565,8.32157101393699e-06
201032501035.2833,8.419429911354815e-06
202363698603.5641,8.234098035796806e-06
196802502975.16464,7.924202593417727e-06
189768412666.53207,8.438210490007537e-06
190415693356.34055,8.201174198323758e-06
187473471970.8872,8.096492548209831e-06
190399133089.6551,8.185810807177348e-06
195399575733.44623,8.061309682948106e-06
194801347321.3257,7.826396923264085e-06
187980107135.64917,8.190167648149087e-06
190028094350.33817,8.008940583325123e-06
192409445774.92572,8.222878460096171e-06
191428791383.24744,8.443821218966571e-06
191674020729.54007,8.671277342143685e-06
189096935398.79733,8.402106842192847e-06
191603777717.59515,8.055037336880402e-06
184709594006.9273,8.22317075673494e-06
196293715180.4658,8.031857657347062e-06
189435328919.8355,7.912068656033185e-06
185226913948.0785,8.187692064387764e-06
185907684573.4787,8.158658234004446e-06
190243673862.40884,8.041403727111573e-06
191291560709.98907,7.843622741079448e-06
191141215329.45703,7.905388577854607e-06
191308542688.59192,8.01124191208454e-06
184764428040.98337,7.338084928897602e-06
190645005006.2892,7.416904346172183e-06
191853181021.9221,7.810539992373975e-06
190429781278.629,7.593445650143243e-06
192304913269.3963,7.591248346138177e-06
196950261133.3708,7.879750043402566e-06
196195895010.37555,8.156338782868029e-06
193785746494.0282,8.351620852301446e-06
193760426935.81155,8.111207616587643e-06
186862227314.0568,7.864996666033493e-06
188938094206.85773,7.380412231761653e-06
187931331186.68243,7.675211439468861e-06
192796977917.2584,7.941411379873711e-06
197073159660.19183,7.603329741862078e-06
189277476323.0388,7.711217920406583e-06
189436946578.20605,7.75137071764846e-06
194461343017.26,7.674376389755997e-06
193169288723.2518,7.281478603930352e-06
198760175276.41235,8.121009916973918e-06
190136329082.23813,8.15343062252194e-06
193011333839.4624,8.221519382570712e-06
189084523276.409,8.658573688916334e-06
192915856491.4925,8.323176742761294e-06
194176493815.64105,7.478255653343986e-06
187001980152.16263,7.770490660827162e-06
192529480880.5774,7.095537356920899e-06
193663714387.3756,7.260260966662346e-06
194262533624.0072,7.483275256461329e-06
192119155996.1158,7.750320102684673e-06
188745264883.11188,7.896973575303182e-06
185953842293.18192,7.734696184853543e-06
185151143523.5522,7.355552346139923e-06
178379572639.8662,7.358190140883422e-06
179880274989.4036,7.510430611180073e-06
