E_intercept,alpha_base,stress_mean,stress_sigma,feasible_mean_thr131,feasible_mean_thr120
174854080649.65118,6.5615343628102765e-06,102.51374053955078,8.398088208066646,1.0,1.0
175398136522.93768,6.5615343628102765e-06,102.8148193359375,8.40322079873895,1.0,1.0
175942192396.22418,6.5615343628102765e-06,103.11666870117188,8.408426620596162,1.0,1.0
176486248269.51068,6.5615343628102765e-06,103.41925811767578,8.413702012079037,1.0,1.0
177030304142.79718,6.5615343628102765e-06,103.72262573242188,8.419054296306067,1.0,1.0
177574360016.08368,6.5615343628102765e-06,104.0267333984375,8.424479811718005,1.0,1.0
178118415889.37018,6.5615343628102765e-06,104.3315658569336,8.429980389094474,1.0,1.0
178662471762.65668,6.5615343628102765e-06,104.63720703125,8.435556943825288,1.0,1.0
179206527635.94318,6.5615343628102765e-06,104.9435806274414,8.44121313746969,1.0,1.0
179750583509.22968,6.5615343628102765e-06,105.25068664550781,8.446936154570322,1.0,1.0
180294639382.51617,6.5615343628102765e-06,105.55854034423828,8.45273881058454,1.0,1.0
180838695255.80267,6.5615343628102765e-06,105.8671646118164,8.45862934402065,1.0,1.0
181382751129.08917,6.5615343628102765e-06,106.176513671875,8.464583954743556,1.0,1.0
181926807002.37567,6.5615343628102765e-06,106.48661041259766,8.470622781329107,1.0,1.0
182470862875.66217,6.5615343628102765e-06,106.79747772216797,8.476738500658811,1.0,1.0
183014918748.94867,6.5615343628102765e-06,107.10909271240234,8.482932943512294,1.0,1.0
183558974622.23517,6.5615343628102765e-06,107.42141723632812,8.489208856058987,1.0,1.0
184103030495.52167,6.5615343628102765e-06,107.73450469970703,8.495561661349836,1.0,1.0
184647086368.80817,6.5615343628102765e-06,108.04832458496094,8.502001428672763,1.0,1.0
185191142242.09467,6.5615343628102765e-06,108.3628921508789,8.508519004129655,1.0,1.0
185735198115.38116,6.5615343628102765e-06,108.67818450927734,8.515116218500136,1.0,1.0
186279253988.66766,6.5615343628102765e-06,108.99423217773438,8.521797648733262,1.0,1.0
186823309861.95416,6.5615343628102765e-06,109.31100463867188,8.528564210218846,1.0,1.0
187367365735.24066,6.5615343628102765e-06,109.6285171508789,8.53541224139764,1.0,1.0
187911421608.52716,6.5615343628102765e-06,109.94676971435547,8.542340826879833,1.0,1.0
188455477481.81366,6.5615343628102765e-06,110.26573181152344,8.549357289783918,1.0,1.0
188999533355.10016,6.5615343628102765e-06,110.5854721069336,8.556459799330272,1.0,1.0
189543589228.38666,6.5615343628102765e-06,110.90589904785156,8.563643778569835,1.0,1.0
190087645101.67316,6.5615343628102765e-06,111.22705841064453,8.570910142892421,1.0,1.0
190631700974.95966,6.5615343628102765e-06,111.54894256591797,8.5782726231452,1.0,1.0
191175756848.24615,6.5615343628102765e-06,111.8715591430664,8.585720234650436,1.0,1.0
191719812721.53265,6.5615343628102765e-06,112.19489288330078,8.593249315848883,1.0,1.0
192263868594.81915,6.5615343628102765e-06,112.51895141601562,8.6008726821979,1.0,1.0
192807924468.10565,6.5615343628102765e-06,112.84371948242188,8.60857934901975,1.0,1.0
193351980341.39215,6.5615343628102765e-06,113.1692123413086,8.616377554822739,1.0,1.0
193896036214.67865,6.5615343628102765e-06,113.49539947509766,8.62426546882724,1.0,1.0
194440092087.96515,6.5615343628102765e-06,113.82231140136719,8.632243091033253,1.0,1.0
194984147961.25165,6.5615343628102765e-06,114.14994812011719,8.640311336830592,1.0,1.0
195528203834.53815,6.5615343628102765e-06,114.478271484375,8.64847295238869,1.0,1.0
196072259707.82465,6.5615343628102765e-06,114.80732727050781,8.656726106927923,1.0,1.0
196616315581.11115,6.5615343628102765e-06,115.13704681396484,8.665065308109424,1.0,1.0
197160371454.39764,6.5615343628102765e-06,115.4675064086914,8.673502456000742,1.0,1.0
197704427327.68414,6.5615343628102765e-06,115.79866790771484,8.682032058263008,1.0,1.0
198248483200.97064,6.5615343628102765e-06,116.1304931640625,8.69065411489622,1.0,1.0
198792539074.25714,6.5615343628102765e-06,116.46304321289062,8.699371372069814,1.0,1.0
199336594947.54364,6.5615343628102765e-06,116.79625701904297,8.70818382978379,1.0,1.0
199880650820.83014,6.5615343628102765e-06,117.13019561767578,8.717093318817769,1.0,1.0
200424706694.11664,6.5615343628102765e-06,117.46479034423828,8.726088854494018,1.0,1.0
200968762567.40314,6.5615343628102765e-06,117.8000717163086,8.735190575388383,1.0,1.0
201512818440.68964,6.5615343628102765e-06,118.13603210449219,8.74438749682313,1.0,1.0
202056874313.97614,6.5615343628102765e-06,118.47270965576172,8.753683280357505,1.0,1.0
202600930187.26263,6.5615343628102765e-06,118.81004333496094,8.763076095211883,1.0,1.0
203144986060.54913,6.5615343628102765e-06,119.1480484008789,8.772561364437209,1.0,1.0
203689041933.83563,6.5615343628102765e-06,119.48672485351562,8.782152818880654,1.0,1.0
204233097807.12213,6.5615343628102765e-06,119.82606506347656,8.791844966203348,1.0,1.0
204777153680.40863,6.5615343628102765e-06,120.16607666015625,8.801629567896988,1.0,0.0
205321209553.69513,6.5615343628102765e-06,120.5067367553711,8.811520354808748,1.0,0.0
205865265426.98163,6.5615343628102765e-06,120.84807586669922,8.821510919209945,1.0,0.0
206409321300.26813,6.5615343628102765e-06,121.1900634765625,8.831604007270016,1.0,0.0
206953377173.55463,6.5615343628102765e-06,121.53270721435547,8.841798703599148,1.0,0.0
207497433046.84113,6.5615343628102765e-06,121.87601470947266,8.852094092807528,1.0,0.0
208041488920.12762,6.5615343628102765e-06,122.21995544433594,8.862492921064593,1.0,0.0
208585544793.41412,6.5615343628102765e-06,122.56453704833984,8.872997934539775,1.0,0.0
209129600666.70062,6.5615343628102765e-06,122.9097671508789,8.883609133233076,1.0,0.0
209673656539.98712,6.5615343628102765e-06,123.25563049316406,8.89432285558525,1.0,0.0
210217712413.27362,6.5615343628102765e-06,123.60214233398438,8.905140016986106,1.0,0.0
210761768286.56012,6.5615343628102765e-06,123.94925689697266,8.916066109774516,1.0,0.0
211305824159.84662,6.5615343628102765e-06,124.29702758789062,8.927095641611608,1.0,0.0
211849880033.13312,6.5615343628102765e-06,124.64542388916016,8.938231358666819,1.0,0.0
212393935906.41962,6.5615343628102765e-06,124.99441528320312,8.949479668668827,1.0,0.0
212937991779.70612,6.5615343628102765e-06,125.34403991699219,8.960834163888952,1.0,0.0
213482047652.9926,6.5615343628102765e-06,125.69428253173828,8.972298505886442,1.0,0.0
214026103526.2791,6.5615343628102765e-06,126.04513549804688,8.98386994849186,1.0,0.0
214570159399.5656,6.5615343628102765e-06,126.39659118652344,8.995545745535773,1.0,0.0
215114215272.8521,6.5615343628102765e-06,126.7486572265625,9.007338712475542,1.0,0.0
215658271146.1386,6.5615343628102765e-06,127.101318359375,9.019244272362108,1.0,0.0
216202327019.4251,6.5615343628102765e-06,127.4545669555664,9.03125510207698,1.0,0.0
216746382892.7116,6.5615343628102765e-06,127.80841827392578,9.043381270908084,1.0,0.0
217290438765.9981,6.5615343628102765e-06,128.16285705566406,9.05561728651655,1.0,0.0
217834494639.2846,6.5615343628102765e-06,128.51788330078125,9.067965895071815,1.0,0.0
218378550512.5711,6.5615343628102765e-06,128.87347412109375,9.080432588912744,1.0,0.0
218922606385.85757,6.5615343628102765e-06,129.2296600341797,9.093006383361605,1.0,0.0
219466662259.14407,6.5615343628102765e-06,129.58641052246094,9.105700093875752,1.0,0.0
220010718132.43057,6.5615343628102765e-06,129.9437255859375,9.118505481946885,1.0,0.0
220554774005.71707,6.5615343628102765e-06,130.30160522460938,9.13142529374444,1.0,0.0
221098829879.00357,6.5615343628102765e-06,130.66004943847656,9.144464106217471,1.0,0.0
221642885752.29007,6.5615343628102765e-06,131.01904296875,9.157620088586356,0.0,0.0
