E_intercept,alpha_base
201881628879.2768,7.27233026738153e-06
196230724157.7033,7.282534162735832e-06
195717014721.3128,7.348951794781976e-06
195933482628.9304,7.3230963776238e-06
193767422507.95624,7.451714819447682e-06
191824601302.4756,7.2547825712566865e-06
197751411357.676,7.520195845505375e-06
188777519380.1456,7.474668827910717e-06
188017710716.24448,7.558832501783617e-06
184943671755.57687,7.5252935684725725e-06
183106037988.36072,7.464833516173199e-06
188558615419.1536,7.648453775922212e-06
185385285886.6085,7.603317863218238e-06
186483062325.752,7.481448257583834e-06
182180128628.37512,7.641147046197232e-06
191140803864.77512,7.168882715716979e-06
187652241095.44385,7.196753625180109e-06
184113285092.2858,7.168406523600918e-06
184675699688.9801,6.967684235186057e-06
190142494608.53104,6.805772374609537e-06
194786000708.73245,6.774685212534451e-06
197060999132.53397,6.8718878228043885e-06
196681314872.7366,7.046946682402445e-06
197130596290.59744,7.413386709923132e-06
193745653366.1956,7.194658947498146e-06
199676788564.11765,7.160612361268146e-06
201496696541.6849,6.986176071812377e-06
199588882917.32333,7.075300616744964e-06
204627167506.414,7.631194411778282e-06
214704499035.44675,7.70408835028668e-06
204026970247.43607,7.74937301656114e-06
191095750741.5595,7.90936657432125e-06
191714521991.5831,7.788343775674378e-06
197621564684.4369,7.914474480360501e-06
196145088777.48956,7.782834625958536e-06
204780389474.9036,7.4778417309325665e-06
195189072235.29703,7.82079568455637e-06
203797466881.78583,8.143456368237105e-06
204011323553.5575,8.134945776040624e-06
207362082481.18936,8.135204247440952e-06
210432431556.7216,8.174421817490173e-06
222604827228.414,8.126028053677914e-06
225233039329.0327,7.958395062515537e-06
227601521424.7052,8.361871026289166e-06
224347943135.11523,8.208589215540718e-06
220918184138.49527,8.271261795406486e-06
224361756356.63785,8.42847468815523e-06
222699696049.1022,8.407025844261507e-06
214772852264.27176,8.106450098569344e-06
206393844060.4468,8.10902075060537e-06
213576787009.68143,8.286475014195872e-06
220738057207.81125,8.11876155007035e-06
215019385843.58023,7.936744244685537e-06
207946142394.5869,8.27731689552421e-06
203388163552.70163,8.411498281574479e-06
216522356907.2471,8.127454757477931e-06
221509386238.8993,8.231857410426901e-06
217092506911.7795,8.25240827409556e-06
218077922707.44543,8.188910364842787e-06
219970882967.52213,7.879469496891904e-06
216834723124.4267,7.672122174572858e-06
217210760590.13037,7.638597837068448e-06
216272109000.40192,7.954205112288713e-06
216272109000.40192,7.954205112288713e-06
210374476481.55368,7.752289676567857e-06
204057328459.72183,8.22459244416403e-06
209938184352.8056,8.284322118039601e-06
204613833409.66544,8.508365782734919e-06
209979654262.3171,8.30655590069502e-06
210920108335.0092,8.406227797403613e-06
214972199598.32352,8.364877458351253e-06
205720759917.20792,7.696937479188943e-06
202454036302.90036,7.650626040740376e-06
206747720796.78705,7.781412402253322e-06
211750330512.4416,8.126984687198342e-06
211011888155.20245,8.139217100672678e-06
203138654201.97836,8.006917800161584e-06
193181283778.16263,8.398242014889855e-06
196121189573.2881,8.117638315348346e-06
196962812763.6915,8.004265387771116e-06
196900952965.17484,8.21162869297295e-06
207883000466.48703,8.448427589903988e-06
209339817222.83435,8.134286095259444e-06
203516137483.1452,8.186091481055259e-06
203771544889.6074,8.175832706585936e-06
210312120591.5464,7.749078697990322e-06
203182786595.01285,7.773810863657132e-06
206652491796.6162,7.864809520771486e-06
200377905363.81097,7.737677751768994e-06
193576409039.87003,7.753416771405056e-06
203828549012.21692,7.403221161285987e-06
193575901880.117,7.482584017588681e-06
194428880767.2832,7.557481077448804e-06
199366461589.83063,7.7188353803681e-06
200722187947.71732,7.477419312623929e-06
197930686460.99368,7.386932003400051e-06
200430621774.3444,7.581250675924228e-06
197476195704.6657,7.534631903685095e-06
191471933769.31647,7.847182306655144e-06
197840313954.79596,7.933237788883361e-06
196273520918.96487,7.784170568931607e-06
201352954275.77872,7.998037173559299e-06
205990720739.7297,7.994409881038524e-06
213578746126.75864,7.980438915189666e-06
217823223115.0436,7.856032980084984e-06
214991267557.6232,7.398126224270192e-06
209203699067.6833,7.569095665828162e-06
210291976623.7599,7.417970690062555e-06
212441376263.4276,7.369240268993071e-06
213814866459.8337,7.684540170799027e-06
211532395095.4427,8.007428689138796e-06
216768833743.8925,7.634972413865618e-06
209200820418.83215,7.708360556405344e-06
203168835380.63547,7.998959275554872e-06
212219807627.65945,7.97615064440648e-06
207935486363.1316,7.82150075886333e-06
206844732132.0707,7.958614648343426e-06
206685334086.33145,7.764329633452087e-06
206370301428.6242,7.583119623705397e-06
205973779788.4041,7.584762029376013e-06
196380854640.11816,7.632055827649152e-06
200668158067.26715,7.916980036579212e-06
206489268253.02228,7.80365628710617e-06
211103139443.05905,8.128136513286756e-06
212295022545.6496,7.977014794040128e-06
220033909936.91983,7.900772079706392e-06
222724299897.28964,8.007889023265676e-06
210808250355.2759,8.075175627058435e-06
206568621620.6892,7.820311662276781e-06
207316256491.5005,7.68225829536432e-06
205397715551.3735,7.856227410869645e-06
205629430389.07333,7.743536651578458e-06
204364298741.82684,7.618435073982985e-06
209066592231.9545,7.714951734527704e-06
200511364847.13992,7.750617961416308e-06
206301331316.15103,7.538192863953971e-06
196858791798.9799,7.530647546566023e-06
200934790308.0264,7.672181294168204e-06
205038761283.6943,7.446214250607968e-06
204368328393.16885,7.63645520965207e-06
194623005769.00064,7.894235543593078e-06
192632725804.2176,7.970571200636386e-06
200790595646.577,8.18884804005444e-06
203271392271.5188,7.848249002762735e-06
209821276723.52423,7.54775381726144e-06
202513289960.39465,7.581832061531512e-06
200126233660.75897,7.288432052804431e-06
208542012406.6584,7.668348279231359e-06
205719288110.56308,7.95367461243249e-06
205148081724.77396,8.110727998987326e-06
196419495024.3193,8.345926242815667e-06
204949366774.5525,8.369898917686056e-06
202774705946.4344,7.941774312547593e-06
203196560072.8443,7.959309844422956e-06
214223520125.19452,7.919022218497075e-06
209631143562.8523,7.988142227025396e-06
211499693286.0388,8.02646695729234e-06
208342958883.855,8.092111489694362e-06
210172850781.153,8.208837044151775e-06
203168196070.494,8.834035222463023e-06
207102966923.44724,8.737546263956288e-06
202244297329.25415,8.891081647951368e-06
199046179512.0833,8.696832171546424e-06
197934004624.34708,8.402585480050125e-06
192314629830.88004,8.276376002467627e-06
193190595414.1038,8.546786784444398e-06
203328121351.51297,8.346257463997466e-06
198984161261.34845,8.469497594962973e-06
205078972013.0444,8.367031061586388e-06
203354664945.06265,7.887186153490306e-06
202378556801.46585,7.655445743895652e-06
206375178767.62875,7.4512097212300126e-06
211882152597.41727,7.580461227052972e-06
205972219859.2916,7.842706779800424e-06
203397632084.79013,7.931432010302388e-06
211413128053.2733,8.167050953257386e-06
220050070164.37488,8.112110059544367e-06
223304154599.90427,8.23721838615043e-06
220369428680.491,8.091264050018683e-06
219988371414.79807,8.350982782865735e-06
223136402649.68103,8.336802498005437e-06
222916979330.85303,8.134090277188466e-06
216660076398.46725,8.244767761823609e-06
215271027500.84103,8.498766125179722e-06
221081109050.36,8.337962731362409e-06
213571713761.11575,8.468457407096895e-06
207779295734.50616,8.757831014296653e-06
208500136994.0002,8.424955549706117e-06
213979832702.20456,8.53211478197479e-06
209955782468.55875,8.124374565673542e-06
214396532085.45636,8.260801557419545e-06
216505382647.0597,8.26479358685315e-06
218519495336.70132,8.132927256292219e-06
214899848094.31445,8.187939331511262e-06
206026277918.97183,8.200097360761313e-06
204123461269.73587,8.176407442387234e-06
207008477333.81583,7.767772722765359e-06
206881637837.32983,8.043139815676546e-06
215875636211.28964,8.250966555767094e-06
217401341903.21164,8.304254983711754e-06
207405365421.94943,7.890063396895276e-06
205270354429.12488,8.227025064385666e-06
198532536164.45123,8.245200899859643e-06
198541099554.5462,7.924725223214295e-06
202614971639.43304,7.891481240604019e-06
199235093071.3137,7.928263037697373e-06
203766074954.11853,8.063627312947307e-06
203442299654.8756,7.782625845891292e-06
201238359717.3272,7.808963260927613e-06
205063321573.76016,7.757152199091484e-06
205477735346.74146,7.544310191106904e-06
206517144905.5093,7.68004361258572e-06
211943868912.6226,7.781463245014363e-06
208729852244.4721,8.048292428571373e-06
215782206576.02463,7.70500224390814e-06
217371984634.62717,7.376495591868453e-06
206200346930.37637,7.512665390229114e-06
218801514979.30963,7.619733810508125e-06
211834340836.04208,7.2839227713163e-06
212966907570.15903,7.887056315120015e-06
214296329102.7288,7.832326320414274e-06
220842808437.9706,7.925637136015345e-06
221142136043.3554,7.684174290705059e-06
218388605539.67688,7.73875565263764e-06
211321394038.1656,7.938880172560422e-06
207348296840.7699,7.740448642640595e-06
210587274734.50253,7.332029359901237e-06
213001271398.95248,7.619590819435981e-06
216934670837.8908,7.525839082137656e-06
213512750914.67905,7.628805102090271e-06
212677349426.4355,7.221805561747098e-06
216014667115.59805,7.004634298605448e-06
210975520968.0908,7.023493859102369e-06
217906510363.1732,7.390021340537443e-06
216974732011.3806,7.495937200791844e-06
216475964397.27472,7.189704653944172e-06
219919833529.2775,7.175152148808869e-06
213052406248.14484,7.209731098697835e-06
214934474812.6484,7.370844398984312e-06
206953819175.614,7.003146157295064e-06
208744025755.85425,6.923985450545274e-06
209421638791.877,7.045904904866539e-06
205410936174.33792,7.107739992038091e-06
198951912532.1577,7.185269027675656e-06
196692618540.55063,7.1735359185325255e-06
197858730145.5005,7.1643654573774895e-06
199948094383.2548,7.237271228295961e-06
200312608532.5953,7.313334111697927e-06
191508005674.72363,7.519025747471281e-06
195004030273.6391,7.622358456100953e-06
205781909961.0731,7.353899252361177e-06
200347432728.91168,7.560868755606205e-06
197017938266.0665,7.503195987499305e-06
197376843050.01743,7.321035999913126e-06
199487104511.06372,7.476130250000891e-06
200890920867.58408,7.887777480423982e-06
201581634471.62503,7.655436975392093e-06
205783777207.3227,7.629370869030294e-06
204287129007.0763,7.865217026736926e-06
199009286173.92395,7.997612482047022e-06
196414134813.88,8.020915306806996e-06
201578256494.8625,7.954460779847423e-06
199847356042.26764,8.03009998771229e-06
197034117710.27405,7.794762002955557e-06
194211486027.5356,7.646359877773423e-06
199085501835.8006,7.462700132371763e-06
211139528468.3135,7.798470504413026e-06
205416480725.6869,7.809631387073544e-06
200814741499.4188,7.394882469430518e-06
198163785483.24933,7.556428314059764e-06
195612791208.9525,7.83164906939805e-06
192506805828.6702,7.999854193914368e-06
200456513170.21667,8.055736875575992e-06
198456111816.44284,7.72728759043962e-06
199961462891.8873,7.671451350823813e-06
201899952462.76004,7.91202281583055e-06
204104339133.50897,7.900804255463846e-06
197681128730.18436,7.650916033251947e-06
196782811271.98688,7.459307194772593e-06
199187194164.5788,7.114036741463902e-06
195008838797.2707,7.18366408019218e-06
187618002707.10867,7.560715251554764e-06
195811356033.9006,7.69179027540647e-06
199847710181.11603,7.796494735124158e-06
200534579346.30505,7.587970873783836e-06
196803765835.79575,7.677509829826315e-06
205595841547.75497,7.420340548681801e-06
200626430311.8159,7.108021668165827e-06
203465116670.13803,7.18838200443079e-06
211161753325.7335,7.424332697695431e-06
202322943178.3197,7.412984624913098e-06
209820592886.4157,7.49115726064158e-06
209066076550.26535,7.299324298160664e-06
208553822001.0331,7.1566667422677694e-06
207718521541.9745,7.447611245018584e-06
196387888467.03253,7.253968766202289e-06
202292599589.42853,6.954494333942641e-06
199810550451.84323,6.976774923931756e-06
202240199542.37967,6.75051523663748e-06
