E_intercept,alpha_base
216398624780.9492,1.0617898395124238e-05
215162093653.7237,8.38635356268087e-06
245578052100.3408,6.800816974166967e-06
177751259382.7015,8.047171827962797e-06
180551527064.21237,6.884830309452236e-06
182763214673.74823,8.903071220379538e-06
181837563470.2315,7.494394952809826e-06
244599786604.71503,1.0380301902774402e-05
234484692573.4062,1.160625855668842e-05
202649324660.0273,1.003845607841422e-05
250533687652.3453,9.310542096478737e-06
154385358086.6668,6.862744044785911e-06
227222850160.911,8.946472987458653e-06
170373148639.49805,9.249958461151116e-06
153352967331.68228,7.593238686116008e-06
248318819172.7709,1.026548187844054e-05
233403155862.45084,1.1620013282861568e-05
237092564704.53723,1.1016446639328326e-05
169478119356.79465,1.1839196052826618e-05
258967223842.53183,1.0844207311315733e-05
187051669117.9498,8.618676945559839e-06
162234700051.93668,9.288450319571898e-06
258815595123.3962,7.383366736555475e-06
179744053526.67896,1.2323081025678866e-05
241574852105.38095,8.34781596481937e-06
172857621429.74786,7.561047167403032e-06
255465820540.01715,8.721758530730316e-06
165536037461.67938,1.1304178503803304e-05
214917839999.32343,7.766460704625509e-06
248868368839.983,1.238868605181074e-05
154548990651.70767,1.1292830799163865e-05
164523839349.09827,7.973665302540013e-06
194942456025.6248,9.485042137125706e-06
228599106772.8209,6.887871724066075e-06
157253843159.09286,9.181594729233287e-06
168620757189.69632,1.082569301850126e-05
224645078184.91428,1.1278349208546714e-05
173979091206.2328,1.0589596468455686e-05
221762986715.45,1.1708655039262785e-05
168260139323.26773,1.0965927330605596e-05
154662618299.03897,8.6362107873241e-06
155286275747.97012,7.563855547333924e-06
236827513604.7973,1.049876428207593e-05
228135391658.29413,6.838561091049833e-06
199983483857.61423,1.0562941850050676e-05
217651276908.74603,6.790952168820879e-06
197722984292.87592,1.2137349118539077e-05
218063790465.55692,1.0015143283466568e-05
251927973387.2412,6.55880896302807e-06
179917636784.21387,1.1166052148566713e-05
175596760876.5639,1.1132969068077412e-05
192043474079.19537,7.969486277377734e-06
253090437456.4789,1.0110409003633289e-05
160860156339.09686,9.929079739806202e-06
215259870303.79712,7.711011201171678e-06
176935050991.94342,1.2155114433757929e-05
168764800227.95828,1.0857899305773113e-05
217642329636.7699,9.751371743492684e-06
209369647881.4033,1.1653973978354316e-05
252361607273.67725,1.1150296109307237e-05
156833034390.10638,9.918242460927546e-06
171378251855.01816,9.04601568973202e-06
186210794087.8937,1.1223652113206817e-05
257513810745.5656,9.471820978692445e-06
158733769169.6257,7.08931955097969e-06
165712498228.16763,7.223387601234649e-06
229094279255.03143,8.03938010741836e-06
147481950854.53564,7.14246806589055e-06
235741357919.9369,7.662826215351744e-06
178845442620.93967,6.954420673718122e-06
168114385608.12503,9.975212713049806e-06
250654218792.741,8.144167130946815e-06
220838314547.0366,6.837029756938125e-06
171671935615.71243,6.565270484867644e-06
200183514748.0911,9.919602223994364e-06
211248138096.1901,9.390171233898083e-06
201413298484.38736,1.2071622350773242e-05
199613633565.37723,9.142947646532622e-06
205935898122.6546,9.517512865030028e-06
157448081232.3735,1.22926156630894e-05
157837555288.14566,6.636658678071098e-06
168521335657.49142,8.956162112187093e-06
230945248582.4489,1.1439650948214665e-05
175636664319.66092,1.2166931387457348e-05
198953437702.59344,1.169869270127196e-05
197455869077.61444,1.1823600716925264e-05
199332186205.17636,1.1566430438161396e-05
176687482855.63748,7.6053915312974356e-06
150214093802.23392,6.5585678761163655e-06
164416848477.69977,1.1902565486025689e-05
239462166694.21265,8.349994306431003e-06
158302394656.25302,9.662294545118164e-06
208878896100.25827,1.1188153041909327e-05
178872270260.3383,7.308498617127192e-06
182214440432.18707,7.700724560764906e-06
245412970522.09607,1.0696682222904958e-05
224772059121.851,6.996838893668637e-06
202380463053.0514,1.064637978732418e-05
249449341524.92917,1.1233546981533916e-05
200289214355.13727,9.09962106090503e-06
245988984753.6728,7.011456242650525e-06
209438547549.0725,1.193700916460755e-05
222524205718.2521,1.050173204208286e-05
147367470912.39008,8.710405274183328e-06
179496909248.67236,1.1910754583499398e-05
225053188233.27643,7.277659689815901e-06
155132157764.30673,8.112036369604444e-06
227170294089.07745,1.1504524570930886e-05
192048819782.60117,8.661594314085967e-06
231393535695.9344,7.296518556633002e-06
198790754376.5856,8.691001895762752e-06
221785597388.26752,1.012895475782718e-05
254603207515.02155,1.0632183802361104e-05
255379496218.06964,9.164483177734314e-06
251041074281.11084,7.679228015133612e-06
191495148529.71655,6.574476651909594e-06
192344609867.37524,7.483049692404043e-06
150928913686.36536,1.1602628888346228e-05
241580093138.8379,7.604065787406971e-06
229300247481.4452,1.1355565379102566e-05
238386765517.3446,1.1152053942785417e-05
247557586646.41037,8.087308324912767e-06
190056828938.40173,7.341720124888693e-06
186483274104.49213,9.204846090807654e-06
178876919126.12488,8.398929394625062e-06
238118521411.20407,7.890234365015863e-06
168287052167.0236,8.817291332861617e-06
166234027757.26172,1.159534343727235e-05
216005022093.24146,1.0708650456436258e-05
186353213238.84283,6.549349367452374e-06
250985842874.73517,1.1102836624181267e-05
215769932180.4148,9.69056625468389e-06
233712907167.4682,8.375259155939596e-06
237879729659.03223,7.566329612914776e-06
176118976765.4519,1.0795818562546868e-05
214883381660.37183,9.850149859685083e-06
156980490067.33237,9.536004817359912e-06
215879501569.1444,1.1918561356967592e-05
254990211171.2624,7.493048385443774e-06
194970259726.8813,8.850336245871063e-06
184190698598.3824,9.71179277513344e-06
255671941632.05896,1.169958785972107e-05
160956431552.91318,7.156967695696966e-06
147378534681.99814,9.748094154458e-06
210876768353.012,1.0195209025609057e-05
190715135973.729,1.1763841075133462e-05
148052395387.81223,1.1200797669304252e-05
200850603211.71176,1.1445666461002804e-05
156214299521.5535,1.1403128266189556e-05
169220591214.71326,1.1267293495148416e-05
156689795213.41238,1.1905040194152614e-05
194816548522.7072,1.2406480882995624e-05
175083726339.34116,1.0072106817765753e-05
158563189000.99786,9.874608124528386e-06
185954462466.60373,8.421988258036789e-06
209997769073.3377,1.0951878342589373e-05
192526105900.15277,1.190468818505072e-05
246140455009.65625,7.111326427914191e-06
147072108440.5555,1.0649326677460042e-05
162450006805.58865,6.646394245487298e-06
169806855306.83673,9.474562471423266e-06
166084541497.71124,1.0379879377570436e-05
224966627116.1706,1.0447397259876531e-05
249716050348.21136,7.225040119967166e-06
253244684647.4264,9.8414557846508e-06
196173334291.0776,7.767280261018544e-06
159420593056.32275,1.2041983701957633e-05
176407390173.69656,8.796608458747943e-06
203137538277.88208,1.1674833344163031e-05
166094272850.7047,1.1424025887631398e-05
153293488690.80682,1.1183270585447557e-05
202473198952.72504,9.149534562403975e-06
162068791113.55942,9.19717113401296e-06
185356440041.65372,9.119065959106858e-06
157756680977.469,8.685048899549668e-06
173596268597.8094,1.1119257797942253e-05
194895310972.9304,1.2052435082654958e-05
180949271416.66684,7.029495361051744e-06
203493542062.34515,7.226205796979539e-06
236523206557.62604,7.261813355917904e-06
190202661186.4512,1.1349980948547832e-05
251153154320.43063,1.088300758982952e-05
160562482807.24228,9.477631719680734e-06
