level,output,input,rank_by_ST,ST_mean,ST_ci_low,ST_ci_high,stable,recommend_interpretation
0,iteration2_keff,alpha_base,1,0.7637634962797165,0.7495674106751316,0.7779595818843015,True,yes
0,iteration2_keff,alpha_slope,2,0.1657382875680923,0.1606166916304138,0.1708598835057708,True,yes
0,iteration2_keff,nu,3,0.0461634011939168,0.0443154459427427,0.0480113564450908,True,yes
0,iteration2_keff,E_intercept,4,0.0267204221338033,0.0256284877906071,0.0278123564769996,True,no
0,iteration2_keff,SS316_k_ref,5,0.0122819076292216,0.0117440277965124,0.0128197874619309,True,no
0,iteration2_keff,SS316_alpha,6,0.0054103636415675,0.0051876274811874,0.0056330998019476,True,no
0,iteration2_keff,SS316_T_ref,7,0.0050671199453063,0.004781103672668,0.0053531362179446,True,no
0,iteration2_keff,E_slope,8,0.0045285272179171,0.0043626167223224,0.0046944377135118,True,no
2,iteration2_keff,alpha_base,1,0.7315540492534638,0.7128023845183228,0.7503057139886048,True,yes
2,iteration2_keff,alpha_slope,2,0.2252058431506157,0.2207884144013623,0.229623271899869,True,yes
2,iteration2_keff,nu,3,0.0447906371206045,0.0434011635561948,0.0461801106850142,True,yes
2,iteration2_keff,SS316_k_ref,4,0.0085047480417415,0.0081169433615166,0.0088925527219664,True,no
2,iteration2_keff,E_intercept,5,0.0079809082671999,0.0076500057275812,0.0083118108068187,True,no
2,iteration2_keff,SS316_T_ref,6,0.0075990465935319,0.0072071756056043,0.0079909175814596,True,no
2,iteration2_keff,SS316_alpha,7,0.0031265941564925,0.0029958003177902,0.0032573879951947,True,no
2,iteration2_keff,E_slope,8,0.0014811442291829,0.0014327772598468,0.001529511198519,True,no
