output,input,spearman_rho,abs_rho,p_value,rank
iteration2_keff,E_slope,0.04583006522646747,0.04583006522646747,0.01875097778317558,4.0
iteration2_keff,E_intercept,0.03190518674085295,0.03190518674085295,0.10187118110616189,8.0
iteration2_keff,nu,-0.034794094764499454,0.034794094764499454,0.07441460686956736,6.0
iteration2_keff,alpha_base,-0.8006261239968483,0.8006261239968483,0.0,1.0
iteration2_keff,alpha_slope,-0.4309412049054187,0.4309412049054187,2.0915127504065882e-119,2.0
iteration2_keff,SS316_T_ref,0.03749140632634635,0.03749140632634635,0.0545487417024402,5.0
iteration2_keff,SS316_k_ref,-0.032006546393452684,0.032006546393452684,0.10078731602987494,7.0
iteration2_keff,SS316_alpha,-0.05731012546634593,0.05731012546634593,0.0032812262063096746,3.0
iteration2_max_fuel_temp,E_slope,-0.07031988286848109,0.07031988286848109,0.0003073733719072229,3.0
iteration2_max_fuel_temp,E_intercept,-0.005918472510876695,0.005918472510876695,0.7616014260811732,8.0
iteration2_max_fuel_temp,nu,-0.012815526373600495,0.012815526373600495,0.5112195529344934,7.0
iteration2_max_fuel_temp,alpha_base,-0.0592124750252711,0.0592124750252711,0.0023827531302918516,4.0
iteration2_max_fuel_temp,alpha_slope,0.030602152377500025,0.030602152377500025,0.11664615672406968,5.0
iteration2_max_fuel_temp,SS316_T_ref,0.37324656850095655,0.37324656850095655,1.0132698496729094e-87,2.0
iteration2_max_fuel_temp,SS316_k_ref,-0.6369939399346636,0.6369939399346636,2.3571843245194007e-299,1.0
iteration2_max_fuel_temp,SS316_alpha,-0.01567528908330901,0.01567528908330901,0.42165615960822134,6.0
iteration2_max_monolith_temp,E_slope,-0.07200448127788078,0.07200448127788078,0.00021929400505818822,3.0
iteration2_max_monolith_temp,E_intercept,-0.0063615474300586,0.0063615474300586,0.7443556667406659,8.0
iteration2_max_monolith_temp,nu,-0.012645961048744537,0.012645961048744537,0.5168251540907365,7.0
iteration2_max_monolith_temp,alpha_base,-0.048334672280362576,0.048334672280362576,0.013173543588690443,4.0
iteration2_max_monolith_temp,alpha_slope,0.03725074527821652,0.03725074527821652,0.05611978500972715,5.0
iteration2_max_monolith_temp,SS316_T_ref,0.37424471870154113,0.37424471870154113,3.233427761961346e-88,2.0
iteration2_max_monolith_temp,SS316_k_ref,-0.6368238755980897,0.6368238755980897,3.8063416257901543e-299,1.0
iteration2_max_monolith_temp,SS316_alpha,-0.014728551161339889,0.014728551161339889,0.4502406394325472,6.0
iteration2_max_global_stress,E_slope,0.20681341759274396,0.20681341759274396,8.457459376254336e-27,4.0
iteration2_max_global_stress,E_intercept,0.77043175405813,0.77043175405813,0.0,1.0
iteration2_max_global_stress,nu,0.21369322035744712,0.21369322035744712,1.5344530037692135e-28,3.0
iteration2_max_global_stress,alpha_base,0.2641638078451739,0.2641638078451739,3.0765809316650295e-43,2.0
iteration2_max_global_stress,alpha_slope,0.18988271350161662,0.18988271350161662,8.988606673031925e-23,5.0
iteration2_max_global_stress,SS316_T_ref,0.10591685109402203,0.10591685109402203,5.194299799119369e-08,7.0
iteration2_max_global_stress,SS316_k_ref,-0.17962369679944262,0.17962369679944262,1.648426882858362e-20,6.0
iteration2_max_global_stress,SS316_alpha,-0.013721051006894679,0.013721051006894679,0.4818298921486325,8.0
iteration2_wall2,E_slope,-0.0628910302157423,0.0628910302157423,0.0012512381547527525,5.0
iteration2_wall2,E_intercept,-0.029703133644900914,0.029703133644900914,0.12778541128922027,8.0
iteration2_wall2,nu,0.20101232591654772,0.20101232591654772,2.2287400401573123e-25,3.0
iteration2_wall2,alpha_base,0.8760653741298818,0.8760653741298818,0.0,1.0
iteration2_wall2,alpha_slope,0.3781084827981169,0.3781084827981169,3.740317360756904e-90,2.0
iteration2_wall2,SS316_T_ref,-0.05600286331598715,0.05600286331598715,0.004067052281999117,6.0
iteration2_wall2,SS316_k_ref,0.0630699228430265,0.0630699228430265,0.0012116116688919408,4.0
iteration2_wall2,SS316_alpha,0.04920062007891967,0.04920062007891967,0.011618973562529606,7.0
