iteration2_max_global_stress,iteration2_keff
163.13217,1.1032281
166.03757,1.1029314
162.09033,1.1034728
163.79324,1.1035256
162.29736,1.1023691
147.39943,1.1047224
153.37445,1.1046368
160.91759,1.1035419
158.49138,1.1017666
161.2201,1.1036283
154.77559,1.1042104
165.99771,1.103185
161.71173,1.1027176
158.42366,1.1021956
161.43257,1.1028285
155.25584,1.1042298
164.93628,1.102811
155.05267,1.1034813
163.95229,1.1029391
159.88692,1.1039426
160.31151,1.103898
166.43892,1.1024274
155.95982,1.1041074
161.29765,1.1037264
157.73694,1.1022056
161.59612,1.1031642
151.04193,1.1012802
157.31369,1.104077
149.28044,1.1042045
160.05397,1.1021757
160.04276,1.1023415
157.86139,1.103951
157.86034,1.1037668
160.80827,1.1023545
162.94098,1.1031907
156.25575,1.1039643
153.9805,1.1043606
159.5284,1.1036808
161.28763,1.10222
160.14993,1.1032379
156.34676,1.1036749
144.76308,1.1049627
161.7353,1.1031284
162.04507,1.1026361
165.34468,1.1034071
153.66003,1.1045371
160.89993,1.1032183
146.82803,1.1051015
165.85155,1.1032811
160.62398,1.102976
160.75218,1.1038762
158.2348,1.1035475
156.60062,1.1041186
163.41713,1.1031063
152.93115,1.1044331
159.26523,1.1032876
159.54984,1.1034894
156.71074,1.1036626
152.66455,1.1038992
162.58534,1.1034993
163.45293,1.1026758
165.37476,1.1032363
163.25249,1.1026406
160.64803,1.1035717
163.78561,1.1031494
157.11052,1.1041311
160.67093,1.1033686
155.46776,1.103968
159.39177,1.1039975
160.48271,1.1034464
165.27684,1.1031394
165.79915,1.1031023
162.6289,1.1034825
161.8647,1.1035544
162.24689,1.1031429
162.01483,1.1034635
164.33815,1.1030079
154.87904,1.1042639
163.71185,1.1033758
164.76167,1.1031132
160.06837,1.1026989
161.95578,1.1036482
159.5558,1.1036351
163.2696,1.1029714
160.74828,1.1036243
156.54272,1.1041578
161.01605,1.103328
159.63911,1.1032715
145.04045,1.104649
157.74962,1.1039073
158.83884,1.103464
158.74713,1.1031597
162.4474,1.1031917
163.38086,1.1032448
149.92368,1.1042886
162.26144,1.1025316
147.82701,1.1048629
161.59595,1.103694
148.70114,1.1044791
153.78725,1.104043
157.70694,1.1039162
161.37767,1.1034752
158.34836,1.1035082
163.00003,1.1035037
161.27321,1.10355
161.9691,1.1036676
158.8956,1.103791
151.90091,1.1043723
162.23155,1.102652
166.09465,1.1031414
151.52141,1.1046275
162.35182,1.1033416
160.92139,1.1027952
155.53535,1.1037227
155.81313,1.1040604
158.68968,1.1037811
160.4203,1.1032542
160.67206,1.1039199
153.36841,1.1041334
159.28395,1.1036837
160.20074,1.1036777
165.39264,1.1027492
159.71864,1.1037694
160.54182,1.103518
164.37564,1.1027279
162.81631,1.1029396
164.02058,1.102576
160.82188,1.1037898
160.06807,1.102332
158.03358,1.1037744
164.4883,1.1035976
156.74086,1.1038617
164.03671,1.102954
159.19823,1.1021345
166.47342,1.103228
160.25629,1.1017277
152.61774,1.104336
164.84596,1.1026707
160.61499,1.1024941
158.76134,1.1035857
155.1637,1.1038944
164.59238,1.1027578
160.89311,1.103632
161.55884,1.1039428
167.19376,1.1029112
163.02106,1.103552
155.97388,1.1039848
163.67223,1.1031756
156.0959,1.1042316
157.18155,1.1040642
165.79726,1.1032746
157.3969,1.1041524
163.38728,1.1024301
161.32892,1.1035777
159.89679,1.1033956
162.47928,1.103104
164.77155,1.1025525
165.21608,1.1029458
154.985,1.1024861
164.24408,1.1029271
157.95302,1.104059
152.59573,1.1040472
163.50453,1.1034062
159.94911,1.1038071
160.93529,1.1028184
151.4023,1.104399
163.29161,1.1025552
156.48882,1.1040257
156.31854,1.1040381
159.30104,1.1021674
161.00143,1.1040488
159.05809,1.1039462
148.89471,1.104385
160.26953,1.1034151
159.85353,1.1017455
162.98433,1.1034182
165.19652,1.1031508
155.79962,1.1042633
159.8968,1.1033856
147.69955,1.1044457
156.16621,1.1040424
155.67535,1.103999
155.54555,1.1039529
165.20795,1.103283
158.93791,1.1035637
163.00224,1.1037449
159.99109,1.1033791
155.25516,1.1042103
162.32256,1.1035624
158.37859,1.1038742
164.58432,1.1035644
154.19125,1.10386
163.7037,1.1026735
146.235,1.1046516
163.35378,1.1029903
160.62177,1.1034161
163.58601,1.1035956
164.79282,1.103301
152.69656,1.1047381
144.84656,1.1050249
157.70947,1.1038858
143.90959,1.104602
164.07812,1.1031209
155.7697,1.1039786
161.85321,1.1028023
163.46786,1.1032144
159.72476,1.1032985
156.57246,1.1039845
156.56793,1.1029931
162.25107,1.1034142
164.9298,1.1035674
161.32364,1.1028763
162.6134,1.103338
159.33626,1.1038711
151.3936,1.1040434
162.4323,1.1033568
156.93011,1.1022888
162.92264,1.1024609
160.73677,1.1033572
157.40744,1.1026416
156.25127,1.1040406
156.28554,1.1039456
161.11444,1.1033912
162.90657,1.1034222
153.87952,1.1044302
147.44572,1.1044322
149.74203,1.1042114
150.66255,1.1043527
156.50397,1.1041858
163.65565,1.1031485
161.13025,1.1031408
157.02103,1.1040694
163.8077,1.1034268
163.02126,1.1032164
154.77531,1.1039068
160.98979,1.1038939
162.16202,1.1025133
152.89647,1.1039572
164.88177,1.1025957
162.56471,1.102683
158.87315,1.1013606
158.15019,1.1039875
155.74834,1.1041304
157.79437,1.1040629
159.2308,1.1033199
162.57033,1.1039499
151.05319,1.1043628
161.78647,1.1036417
166.12344,1.1034791
144.32144,1.104758
157.83983,1.1039999
163.25363,1.1025153
156.84052,1.1033705
165.06967,1.1032112
155.83124,1.103748
162.22581,1.1031768
160.72034,1.1036063
152.96222,1.1043559
164.98737,1.1027589
160.41711,1.1029727
157.46323,1.1040523
157.19475,1.1032033
160.63708,1.1027381
163.10959,1.1029993
165.1647,1.1026901
163.36848,1.1034583
163.63206,1.1020273
160.83826,1.1031024
166.01987,1.1030539
153.61746,1.1037511
162.98695,1.1025671
162.78694,1.1031871
164.45708,1.1029737
153.01964,1.104203
163.00052,1.1029198
159.49374,1.1030641
164.58607,1.1022674
144.34868,1.1046929
154.7183,1.1040577
148.01718,1.1046376
164.76427,1.1032639
157.26132,1.1037682
162.94186,1.1033562
160.5792,1.1037513
144.70265,1.1045172
162.9137,1.1031741
157.90208,1.1040174
160.92967,1.1033825
165.76488,1.1031625
156.53954,1.10358
166.83727,1.1027839
161.83078,1.1036639
151.38438,1.1040671
163.47816,1.1036134
164.95735,1.1032722
159.96445,1.1026961
160.62437,1.1034241
159.29536,1.1028327
160.72006,1.102362
164.18407,1.1030962
160.12187,1.1035129
147.46774,1.1048919
163.53578,1.103338
161.80084,1.1020528
162.07632,1.1022478
162.14818,1.1034392
159.77852,1.1034639
159.45888,1.1037695
165.83928,1.1031898
155.40486,1.1041758
155.7003,1.1041028
164.14142,1.1030922
164.946,1.1028625
160.76112,1.1037238
161.32567,1.1034894
162.9505,1.1031345
158.37811,1.103672
161.78058,1.1028837
157.97305,1.1040323
161.12419,1.1023346
165.31711,1.1028099
144.97441,1.1047307
161.04366,1.1036195
162.86734,1.1032649
158.43285,1.1038173
160.31357,1.102821
165.01239,1.1029071
160.09976,1.1033932
160.52179,1.1037884
161.237,1.1034838
163.33734,1.1032257
161.76337,1.1030687
156.59607,1.1041312
162.06001,1.1035527
162.39543,1.1022041
150.68526,1.1044849
166.26003,1.1035466
160.06339,1.1033462
160.38652,1.1035836
161.89859,1.1031185
161.21707,1.1030858
143.30849,1.1048543
160.47394,1.1035975
156.00102,1.1023654
159.19115,1.1036344
155.07402,1.1040648
162.57211,1.1027368
165.49548,1.102856
156.45766,1.1039759
159.75865,1.1037374
158.62141,1.1026844
163.8769,1.1033498
157.30566,1.104217
162.0145,1.1038404
161.95058,1.1031047
159.50496,1.1029431
155.39503,1.1037686
163.75119,1.102582
164.5131,1.1034802
158.73555,1.1022744
150.87234,1.1042136
161.54933,1.1038052
161.42737,1.1032554
160.3477,1.1031338
160.24313,1.1036594
159.41406,1.1036842
156.57622,1.1038684
144.89091,1.1045904
162.44313,1.1033758
162.72662,1.1034791
162.0793,1.1035959
153.886,1.1042565
156.97757,1.1037443
156.7291,1.1037787
153.96445,1.1041712
164.99939,1.1024078
159.67107,1.1032661
162.28271,1.102966
160.13312,1.1037816
152.27292,1.1044366
161.17036,1.1037418
161.40541,1.1034558
155.67598,1.1036911
166.30623,1.1027194
164.50505,1.103745
160.54572,1.1035285
167.35582,1.1029665
163.23654,1.102572
161.66132,1.1030505
159.0729,1.1036073
153.79106,1.104108
155.94083,1.1039033
164.71996,1.1034445
151.32777,1.104426
162.28658,1.1036282
162.93607,1.1029149
159.85654,1.1039593
148.11847,1.104644
156.72203,1.1038227
163.53108,1.1027063
