level,input,input_bin,n_in_bin,output,iter,group,bin_x_mean,bin_x_min,bin_x_max,MAE_bin,RMSE_bin,y_true_mean_bin,y_pred_mean_bin,sigma_mean_bin,PICP90_bin
2,E_slope,"(-6.364e+07, +inf)",87,iteration2_keff,iter2,primary,-60266155.53078054,-63624598.87189503,-54752093.33602985,0.00020774801538956183,0.00025063546758037327,1.1034752806464305,1.103501796722412,0.000339125433471051,0.9770114942528736
2,E_slope,"(-6.364e+07, +inf)",87,iteration2_max_fuel_temp,iter2,primary,-60266155.53078054,-63624598.87189503,-54752093.33602985,3.7520652613146472,4.793704426729154,1073.653563218391,1073.2967529296875,4.14679673074557,0.8620689655172413
2,E_slope,"(-6.364e+07, +inf)",87,iteration2_max_monolith_temp,iter2,primary,-60266155.53078054,-63624598.87189503,-54752093.33602985,4.203527298850572,5.423701737843391,1036.010459770115,1035.5533447265625,4.690510746729553,0.8505747126436781
2,E_slope,"(-6.364e+07, +inf)",87,iteration2_max_global_stress,iter2,primary,-60266155.53078054,-63624598.87189503,-54752093.33602985,6.532759981703484,8.709815033029576,175.1913793103448,173.75439453125,8.223108795085494,0.896551724137931
2,E_slope,"(-6.364e+07, +inf)",87,iteration2_wall2,iter2,primary,-60266155.53078054,-63624598.87189503,-54752093.33602985,0.0007905838690467246,0.0009886854417919962,29.920785599842976,29.920656204223633,0.002934586179509527,1.0
2,E_slope,"(-6.836e+07, -6.364e+07]",86,iteration2_keff,iter2,primary,-66039618.28079808,-68292962.94448261,-63647930.82768986,0.0001767779491518218,0.00022784639635991586,1.103568095855484,1.1035789251327515,0.0003413473753175705,0.9883720930232558
2,E_slope,"(-6.836e+07, -6.364e+07]",86,iteration2_max_fuel_temp,iter2,primary,-66039618.28079808,-68292962.94448261,-63647930.82768986,3.313991358557415,4.224362195674215,1074.7503488372092,1073.781982421875,4.198542760671106,0.9186046511627907
2,E_slope,"(-6.836e+07, -6.364e+07]",86,iteration2_max_monolith_temp,iter2,primary,-66039618.28079808,-68292962.94448261,-63647930.82768986,3.8050287858829894,4.833994450550783,1037.2246511627907,1036.1593017578125,4.744604828040962,0.9186046511627907
2,E_slope,"(-6.836e+07, -6.364e+07]",86,iteration2_max_global_stress,iter2,primary,-66039618.28079808,-68292962.94448261,-63647930.82768986,5.64681963898415,7.518365392984489,164.5172093023256,163.18226623535156,8.33007674578442,0.9418604651162791
2,E_slope,"(-6.836e+07, -6.364e+07]",86,iteration2_wall2,iter2,primary,-66039618.28079808,-68292962.94448261,-63647930.82768986,0.0008649470092019063,0.0010390295095270379,29.917432519414433,29.91781234741211,0.0031261493052694104,1.0
