model_tag,output,iter,group,ignored_in_main_compare,MAE,RMSE,R2,PICP90,MPIW90,CRPS,y_true_std,y_pred_std
base,iteration1_Hcore_after,iter1,secondary,False,0.11963794578496141,0.147570853484987,0.31880022466054214,1.0,1.8141804972760533,0.1440654301349817,0.17879828179581983,0.13180311024188995
level2,iteration1_Hcore_after,iter1,secondary,False,0.13889694486257634,0.17357065934008628,0.057620252116267645,1.0,1.7684328159906013,0.14819197433783307,0.17879828179581983,0.03605300933122635
base,iteration1_avg_fuel_temp,iter1,secondary,False,5.206723484473887,7.799160335419168,0.4652729878090166,0.9848101265822785,32.95706251198209,3.960761951071093,10.665513922703346,4.471616268157959
level2,iteration1_avg_fuel_temp,iter1,secondary,False,3.910601581042321,6.416235845620173,0.6380929323638562,0.9873417721518988,30.25052095735881,3.3099115695858283,10.665513922703346,6.009458065032959
base,iteration1_keff,iter1,secondary,True,0.030230319479922184,0.0382550629745488,-3.522861019372907e+25,1.0,3.104115693414548,0.22112045898985733,6.445270756512039e-15,0.03818099573254585
level2,iteration1_keff,iter1,secondary,True,0.024412025782617412,0.030354980633916773,-2.218081951316463e+25,1.0,2.840712900988191,0.20222160841941766,6.445270756512039e-15,0.0299008060246706
base,iteration1_max_fuel_temp,iter1,secondary,False,8.726456227749221,13.063677356435946,0.4936528663005181,0.9848101265822785,56.3070810578546,6.72196630310916,18.35867221583852,8.650877952575684
level2,iteration1_max_fuel_temp,iter1,secondary,False,7.026745117187503,11.510617252566616,0.6068894577828232,0.9898734177215189,55.15632924480567,5.916831358074615,18.35867221583852,10.13438606262207
base,iteration1_max_global_stress,iter1,secondary,False,29.740290167313567,37.226845640804655,0.1460037808815583,0.9670886075949368,146.29807375156633,21.06991957785072,40.28359903388993,6.886501312255859
level2,iteration1_max_global_stress,iter1,secondary,False,22.839262366186208,28.213290481904323,0.5094865146554284,0.9898734177215189,138.21063540819864,16.54563527941331,40.28359903388993,20.828624725341797
base,iteration1_max_monolith_temp,iter1,secondary,False,9.912640760977068,14.50478181652962,0.5329436453888577,0.9924050632911392,66.3115397338176,7.498358598971959,21.223966808446622,11.939885139465332
level2,iteration1_max_monolith_temp,iter1,secondary,False,7.881354257318051,12.619042048286925,0.6464916639025287,0.9873417721518988,61.932447289952115,6.646701086176446,21.223966808446622,12.248190879821777
base,iteration1_monolith_new_temperature,iter1,secondary,False,1.7135145043414304,2.641662734541734,0.48816822376163416,0.9898734177215189,11.333358250241687,1.316195598755065,3.6924425530926883,2.083334445953369
level2,iteration1_monolith_new_temperature,iter1,secondary,False,1.449132439240272,2.5861335716654983,0.5094600194111987,0.9873417721518988,10.820662663356975,1.2089368181917786,3.6924425530926883,1.702689290046692
base,iteration1_wall2,iter1,secondary,False,0.014195927436403483,0.017762173101024337,0.47886060035519495,0.9696202531645569,0.07438156023165476,0.010210138231828243,0.024604760612035113,0.013440289534628391
level2,iteration1_wall2,iter1,secondary,False,0.016932533809254944,0.021109717084172606,0.2639174236963234,0.9341772151898734,0.07674148544813875,0.01197392473190107,0.024604760612035113,0.004857314750552177
base,iteration2_Hcore_after,iter2,secondary,False,0.11218499779878055,0.13660646982334798,0.4128632728693077,0.9949367088607595,0.7485128002136208,0.08351807895022664,0.17827959739384114,0.12742505967617035
level2,iteration2_Hcore_after,iter2,secondary,False,0.12236995611188685,0.1511765544335933,0.2809392285775504,0.9974683544303797,0.7437462729410109,0.0897001424503381,0.17827959739384114,0.033910032361745834
base,iteration2_avg_fuel_temp,iter2,secondary,False,2.299569070164164,2.9748138632806262,0.3792407756075331,0.9645569620253165,12.433319532651872,1.6727512512380671,3.7757063107674376,1.522662878036499
level2,iteration2_avg_fuel_temp,iter2,secondary,False,1.9049939181170905,2.4396070024588985,0.5825126402701069,0.9696202531645569,11.862562840669208,1.4322388363449303,3.7757063107674376,2.484550952911377
base,iteration2_keff,iter2,primary,False,0.0004713266484562443,0.0005819190276230815,0.3718891847590772,1.0,0.004156150665992362,0.00039843950125130603,0.0007342507897035551,0.00038828281685709953
level2,iteration2_keff,iter2,primary,False,0.0004893225199621677,0.0006137011819148398,0.30140564050242424,1.0,0.004071567583065396,0.00040600661374919615,0.0007342507897035551,0.0001760126615408808
base,iteration2_max_fuel_temp,iter2,primary,False,4.117443235759493,5.2397959039547946,0.4430634720766208,0.9822784810126582,23.48490010797314,3.0045993433801845,7.021202835518344,3.92704176902771
level2,iteration2_max_fuel_temp,iter2,primary,False,3.7162487391218333,4.756851345808557,0.5409963698423363,0.9772151898734177,23.258010540258784,2.783936871687328,7.021202835518344,4.259461879730225
base,iteration2_max_global_stress,iter2,primary,False,22.621024758640715,27.66261337330398,0.08862515616327993,0.9468354430379747,100.47706430281177,15.77055543196099,28.976417366863746,2.897993326187134
level2,iteration2_max_global_stress,iter2,primary,False,19.546086261990688,23.81540673925176,0.32449801524338895,0.9746835443037974,97.42065415111996,13.70503521681885,28.976417366863746,10.577047348022461
base,iteration2_max_monolith_temp,iter2,primary,False,4.608759332970728,5.932221590929485,0.4387078084812551,0.979746835443038,26.151936989377425,3.3788141427813665,7.918134324869007,4.557652473449707
level2,iteration2_max_monolith_temp,iter2,primary,False,4.297820040545888,5.601900579512531,0.49947581882046044,0.9645569620253165,24.566042087584336,3.1834442863918735,7.918134324869007,4.31040620803833
base,iteration2_monolith_new_temperature,iter2,secondary,False,0.6255925377199567,0.8543776022261617,0.35329627763738447,0.9645569620253165,3.563784553376153,0.46411068092332586,1.0624222913228396,0.4470355808734894
level2,iteration2_monolith_new_temperature,iter2,secondary,False,0.5696024166849041,0.7674087830997213,0.4782539350406044,0.9670886075949368,3.412918725554902,0.42748496252904566,1.0624222913228396,0.554945170879364
base,iteration2_wall2,iter2,primary,False,0.013767344922084774,0.01720713125378569,0.5026649820353869,0.9746835443037974,0.07290638672380241,0.00992984287175246,0.024399669947200074,0.014286440797150135
level2,iteration2_wall2,iter2,primary,False,0.016153449987667788,0.02026944699241599,0.309893851533942,0.9468354430379747,0.0752511155765448,0.011471748070143582,0.024399669947200074,0.004567564930766821
