case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.0,1.0,False,131.0,0.9,0.565,1200,177.16525464307077,156.2026921618422,198.5773519915745
1,377,154.29,0.035833333333333335,0.9641666666666666,False,131.0,0.9,0.5966666666666667,1200,158.61569395394685,133.72645967185116,186.4418715475896
2,161,136.63,0.21916666666666668,0.7808333333333334,False,131.0,0.9,0.5441666666666667,1200,139.50627387096594,122.68194068413217,157.28362954837215
3,79,150.99,0.03833333333333333,0.9616666666666667,False,131.0,0.9,0.6011666666666666,1200,156.17059675867995,132.51662039744116,182.86137663580058
4,19,136.95,0.3358333333333333,0.6641666666666667,False,131.0,0.9,0.589,1200,136.80767198226738,118.17649349075249,158.4755477400162
5,88,184.91,0.005,0.995,False,131.0,0.9,0.593,1200,176.39950783968223,150.59597390502105,202.99056418452008
6,250,133.33,0.37916666666666665,0.6208333333333333,False,131.0,0.9,0.5988333333333333,1200,136.00215994837473,113.2348536648418,159.27613854645918
7,224,135.41,0.2875,0.7125,False,131.0,0.9,0.6146666666666667,1200,141.02765349224507,116.50176167934183,168.29929288425936
8,210,193.53,0.0,1.0,False,131.0,0.9,0.5875,1200,200.65055410133806,175.5162679428655,226.14077610021914
9,230,190.6,0.0,1.0,False,131.0,0.9,0.5728333333333333,1200,184.5489552183999,161.10537185961724,206.6503876550104
