case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.0,1.0,False,131.0,0.9,0.5616666666666666,1200,177.12530022866554,155.24438563148968,199.2662451821406
1,377,154.29,0.028333333333333332,0.9716666666666667,False,131.0,0.9,0.5781666666666667,1200,158.1905075619356,134.85105480788786,184.75907023015048
2,161,136.63,0.22166666666666668,0.7783333333333333,False,131.0,0.9,0.5586666666666666,1200,140.19092242317788,121.82645892039307,159.80449973010647
3,79,150.99,0.04666666666666667,0.9533333333333334,False,131.0,0.9,0.5925,1200,155.77416356509178,131.39005886584667,181.83465808156706
4,19,136.95,0.35,0.65,False,131.0,0.9,0.5843333333333334,1200,136.84748618911124,116.40579098743282,158.86206462885454
5,88,184.91,0.0033333333333333335,0.9966666666666667,False,131.0,0.9,0.5851666666666666,1200,176.18573967986438,149.66741162861192,202.1368777584819
6,250,133.33,0.3958333333333333,0.6041666666666666,False,131.0,0.9,0.587,1200,135.0494726064189,114.00642560036918,157.75610369072612
7,224,135.41,0.29,0.71,False,131.0,0.9,0.593,1200,139.59438800556703,116.38047215635544,166.77234537487092
8,210,193.53,0.0,1.0,False,131.0,0.9,0.565,1200,200.9284154328195,177.7267374943308,224.57820996987584
9,230,190.6,0.0,1.0,False,131.0,0.9,0.5675,1200,184.092779522711,160.53842699044978,208.10995996365276
