case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.0,1.0,False,131.0,0.9,0.5753333333333334,1200,176.85005331672983,153.95691345065939,200.51684887725057
1,377,154.29,0.030833333333333334,0.9691666666666666,False,131.0,0.9,0.5923333333333334,1200,158.39766012892133,133.69588548326703,186.7545936113929
2,161,136.63,0.2025,0.7975,False,131.0,0.9,0.562,1200,140.2473493884461,122.85858321219416,158.99189070104458
3,79,150.99,0.0425,0.9575,False,131.0,0.9,0.6025,1200,155.7544790510992,131.65524281418678,181.69688589297286
4,19,136.95,0.32916666666666666,0.6708333333333333,False,131.0,0.9,0.5941666666666666,1200,137.18825250593108,117.16520389522181,158.7188925826079
5,88,184.91,0.0016666666666666668,0.9983333333333333,False,131.0,0.9,0.588,1200,176.0450690090719,150.44811387149008,202.85447140398273
6,250,133.33,0.3725,0.6275,False,131.0,0.9,0.5966666666666667,1200,135.76061952713042,113.07175844457787,159.21209765479958
7,224,135.41,0.29333333333333333,0.7066666666666667,False,131.0,0.9,0.5988333333333333,1200,140.15682797858662,116.68158189159476,166.84223670311317
8,210,193.53,0.0,1.0,False,131.0,0.9,0.5781666666666667,1200,200.90132298333128,175.98517716040695,226.0491747389787
9,230,190.6,0.0016666666666666668,0.9983333333333333,False,131.0,0.9,0.58,1200,184.09130074336733,159.63181531235668,209.8430615735153
