case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.0025,0.9975,False,131.0,0.9,0.6006666666666667,1200,178.16447039849487,149.89545605548645,209.64157360923355
1,377,154.29,0.058333333333333334,0.9416666666666667,False,131.0,0.9,0.6135,1200,162.92872576729428,129.221777436958,201.58545119543996
2,161,136.63,0.2775,0.7225,False,131.0,0.9,0.6103333333333333,1200,141.39737245447986,113.94920493595099,169.77218074873596
3,79,150.99,0.10416666666666667,0.8958333333333334,False,131.0,0.9,0.6056666666666667,1200,152.37294011615936,124.14596517941133,181.34197710341797
4,19,136.95,0.32,0.68,False,131.0,0.9,0.6305,1200,139.581131004251,110.57949230599357,169.83239333315927
5,88,184.91,0.005,0.995,False,131.0,0.9,0.605,1200,177.8410677332837,148.7936338643949,208.59650359627827
6,250,133.33,0.39916666666666667,0.6008333333333333,False,131.0,0.9,0.6153333333333333,1200,135.80974089446113,108.81479089685898,162.6194402861573
7,224,135.41,0.35583333333333333,0.6441666666666667,False,131.0,0.9,0.6011666666666666,1200,137.01782225014452,109.19815701886736,164.07283621418293
8,210,193.53,0.0,1.0,False,131.0,0.9,0.6328333333333334,1200,204.19413984499528,169.91843589871655,243.13293699985127
9,230,190.6,0.0,1.0,False,131.0,0.9,0.6025,1200,188.10032027184076,158.32332953130356,221.50537761326927
