case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.0375,0.9625,False,131.0,0.9,0.6535,1200,174.4736807961297,134.5401183531519,215.5747421568693
1,377,154.29,0.1075,0.8925,False,131.0,0.9,0.6605,1200,164.64253499947415,121.5927536146497,214.6084634508972
2,161,136.63,0.25416666666666665,0.7458333333333333,False,131.0,0.9,0.6546666666666666,1200,147.3214992239663,109.1879869379302,186.37186900664628
3,79,150.99,0.17,0.83,False,131.0,0.9,0.6551666666666667,1200,152.9830951415811,115.45710735089514,194.39235856371218
4,19,136.95,0.3275,0.6725,False,131.0,0.9,0.6703333333333333,1200,141.89979949928602,104.65439142417088,180.71187926834094
5,88,184.91,0.043333333333333335,0.9566666666666667,False,131.0,0.9,0.6535,1200,173.58340071975138,132.95214730352393,218.50415338193596
6,250,133.33,0.37416666666666665,0.6258333333333334,False,131.0,0.9,0.6671666666666667,1200,138.5803877892471,102.00195468471915,177.16434775529376
7,224,135.41,0.33,0.67,False,131.0,0.9,0.647,1200,141.07619195212374,103.78580523374593,180.4861240828004
8,210,193.53,0.0016666666666666668,0.9983333333333333,False,131.0,0.9,0.6601666666666667,1200,199.92346383019927,158.6943509484655,243.45943095388787
9,230,190.6,0.01,0.99,False,131.0,0.9,0.646,1200,184.76130490556272,145.31402598823826,228.42464808574644
