case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,is_primary_tau,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.0,1.0,False,110.0,False,0.9,0.6006666666666667,1200,178.16447039849487,149.89545605548645,209.64157360923355
0,385,177.89,0.0,1.0,False,120.0,False,0.9,0.6006666666666667,1200,178.16447039849487,149.89545605548645,209.64157360923355
0,385,177.89,0.0025,0.9975,False,131.0,True,0.9,0.6006666666666667,1200,178.16447039849487,149.89545605548645,209.64157360923355
0,385,177.89,0.05416666666666667,0.9458333333333333,False,150.0,False,0.9,0.6006666666666667,1200,178.16447039849487,149.89545605548645,209.64157360923355
0,385,177.89,0.5558333333333333,0.44416666666666665,False,180.0,False,0.9,0.6006666666666667,1200,178.16447039849487,149.89545605548645,209.64157360923355
0,385,177.89,0.89,0.11,False,200.0,False,0.9,0.6006666666666667,1200,178.16447039849487,149.89545605548645,209.64157360923355
1,377,154.29,0.0033333333333333335,0.9966666666666667,False,110.0,False,0.9,0.6135,1200,162.92872576729428,129.221777436958,201.58545119543996
1,377,154.29,0.014166666666666666,0.9858333333333333,False,120.0,False,0.9,0.6135,1200,162.92872576729428,129.221777436958,201.58545119543996
1,377,154.29,0.058333333333333334,0.9416666666666667,False,131.0,True,0.9,0.6135,1200,162.92872576729428,129.221777436958,201.58545119543996
1,377,154.29,0.29333333333333333,0.7066666666666667,False,150.0,False,0.9,0.6135,1200,162.92872576729428,129.221777436958,201.58545119543996
1,377,154.29,0.7916666666666666,0.20833333333333334,False,180.0,False,0.9,0.6135,1200,162.92872576729428,129.221777436958,201.58545119543996
1,377,154.29,0.9458333333333333,0.05416666666666667,True,200.0,False,0.9,0.6135,1200,162.92872576729428,129.221777436958,201.58545119543996
2,161,136.63,0.03,0.97,False,110.0,False,0.9,0.6103333333333333,1200,141.39737245447986,113.94920493595099,169.77218074873596
2,161,136.63,0.09166666666666666,0.9083333333333333,False,120.0,False,0.9,0.6103333333333333,1200,141.39737245447986,113.94920493595099,169.77218074873596
2,161,136.63,0.2775,0.7225,False,131.0,True,0.9,0.6103333333333333,1200,141.39737245447986,113.94920493595099,169.77218074873596
2,161,136.63,0.7025,0.2975,False,150.0,False,0.9,0.6103333333333333,1200,141.39737245447986,113.94920493595099,169.77218074873596
2,161,136.63,0.9866666666666667,0.013333333333333334,True,180.0,False,0.9,0.6103333333333333,1200,141.39737245447986,113.94920493595099,169.77218074873596
2,161,136.63,0.9991666666666666,0.0008333333333333334,True,200.0,False,0.9,0.6103333333333333,1200,141.39737245447986,113.94920493595099,169.77218074873596
3,79,150.99,0.0075,0.9925,False,110.0,False,0.9,0.6056666666666667,1200,152.37294011615936,124.14596517941133,181.34197710341797
3,79,150.99,0.028333333333333332,0.9716666666666667,False,120.0,False,0.9,0.6056666666666667,1200,152.37294011615936,124.14596517941133,181.34197710341797
3,79,150.99,0.10416666666666667,0.8958333333333334,False,131.0,True,0.9,0.6056666666666667,1200,152.37294011615936,124.14596517941133,181.34197710341797
3,79,150.99,0.4575,0.5425,False,150.0,False,0.9,0.6056666666666667,1200,152.37294011615936,124.14596517941133,181.34197710341797
3,79,150.99,0.9391666666666667,0.060833333333333336,True,180.0,False,0.9,0.6056666666666667,1200,152.37294011615936,124.14596517941133,181.34197710341797
3,79,150.99,0.995,0.005,True,200.0,False,0.9,0.6056666666666667,1200,152.37294011615936,124.14596517941133,181.34197710341797
4,19,136.95,0.05,0.95,False,110.0,False,0.9,0.6305,1200,139.581131004251,110.57949230599357,169.83239333315927
4,19,136.95,0.14166666666666666,0.8583333333333333,False,120.0,False,0.9,0.6305,1200,139.581131004251,110.57949230599357,169.83239333315927
4,19,136.95,0.32,0.68,False,131.0,True,0.9,0.6305,1200,139.581131004251,110.57949230599357,169.83239333315927
4,19,136.95,0.7208333333333333,0.2791666666666667,False,150.0,False,0.9,0.6305,1200,139.581131004251,110.57949230599357,169.83239333315927
4,19,136.95,0.9891666666666666,0.010833333333333334,True,180.0,False,0.9,0.6305,1200,139.581131004251,110.57949230599357,169.83239333315927
4,19,136.95,1.0,0.0,True,200.0,False,0.9,0.6305,1200,139.581131004251,110.57949230599357,169.83239333315927
5,88,184.91,0.0,1.0,False,110.0,False,0.9,0.605,1200,177.8410677332837,148.7936338643949,208.59650359627827
5,88,184.91,0.0008333333333333334,0.9991666666666666,False,120.0,False,0.9,0.605,1200,177.8410677332837,148.7936338643949,208.59650359627827
5,88,184.91,0.005,0.995,False,131.0,True,0.9,0.605,1200,177.8410677332837,148.7936338643949,208.59650359627827
5,88,184.91,0.05583333333333333,0.9441666666666667,False,150.0,False,0.9,0.605,1200,177.8410677332837,148.7936338643949,208.59650359627827
5,88,184.91,0.575,0.425,False,180.0,False,0.9,0.605,1200,177.8410677332837,148.7936338643949,208.59650359627827
5,88,184.91,0.8866666666666667,0.11333333333333333,False,200.0,False,0.9,0.605,1200,177.8410677332837,148.7936338643949,208.59650359627827
6,250,133.33,0.05583333333333333,0.9441666666666667,False,110.0,False,0.9,0.6153333333333333,1200,135.80974089446113,108.81479089685898,162.6194402861573
6,250,133.33,0.15333333333333332,0.8466666666666667,False,120.0,False,0.9,0.6153333333333333,1200,135.80974089446113,108.81479089685898,162.6194402861573
6,250,133.33,0.39916666666666667,0.6008333333333333,False,131.0,True,0.9,0.6153333333333333,1200,135.80974089446113,108.81479089685898,162.6194402861573
6,250,133.33,0.8225,0.1775,False,150.0,False,0.9,0.6153333333333333,1200,135.80974089446113,108.81479089685898,162.6194402861573
6,250,133.33,0.9933333333333333,0.006666666666666667,True,180.0,False,0.9,0.6153333333333333,1200,135.80974089446113,108.81479089685898,162.6194402861573
6,250,133.33,1.0,0.0,True,200.0,False,0.9,0.6153333333333333,1200,135.80974089446113,108.81479089685898,162.6194402861573
7,224,135.41,0.05583333333333333,0.9441666666666667,False,110.0,False,0.9,0.6011666666666666,1200,137.01782225014452,109.19815701886736,164.07283621418293
7,224,135.41,0.16333333333333333,0.8366666666666667,False,120.0,False,0.9,0.6011666666666666,1200,137.01782225014452,109.19815701886736,164.07283621418293
7,224,135.41,0.35583333333333333,0.6441666666666667,False,131.0,True,0.9,0.6011666666666666,1200,137.01782225014452,109.19815701886736,164.07283621418293
7,224,135.41,0.7741666666666667,0.22583333333333333,False,150.0,False,0.9,0.6011666666666666,1200,137.01782225014452,109.19815701886736,164.07283621418293
7,224,135.41,0.9916666666666667,0.008333333333333333,True,180.0,False,0.9,0.6011666666666666,1200,137.01782225014452,109.19815701886736,164.07283621418293
7,224,135.41,1.0,0.0,True,200.0,False,0.9,0.6011666666666666,1200,137.01782225014452,109.19815701886736,164.07283621418293
8,210,193.53,0.0,1.0,False,110.0,False,0.9,0.6328333333333334,1200,204.19413984499528,169.91843589871655,243.13293699985127
8,210,193.53,0.0,1.0,False,120.0,False,0.9,0.6328333333333334,1200,204.19413984499528,169.91843589871655,243.13293699985127
8,210,193.53,0.0,1.0,False,131.0,True,0.9,0.6328333333333334,1200,204.19413984499528,169.91843589871655,243.13293699985127
8,210,193.53,0.005,0.995,False,150.0,False,0.9,0.6328333333333334,1200,204.19413984499528,169.91843589871655,243.13293699985127
8,210,193.53,0.13333333333333333,0.8666666666666667,False,180.0,False,0.9,0.6328333333333334,1200,204.19413984499528,169.91843589871655,243.13293699985127
8,210,193.53,0.44333333333333336,0.5566666666666666,False,200.0,False,0.9,0.6328333333333334,1200,204.19413984499528,169.91843589871655,243.13293699985127
9,230,190.6,0.0,1.0,False,110.0,False,0.9,0.6025,1200,188.10032027184076,158.32332953130356,221.50537761326927
9,230,190.6,0.0,1.0,False,120.0,False,0.9,0.6025,1200,188.10032027184076,158.32332953130356,221.50537761326927
9,230,190.6,0.0,1.0,False,131.0,True,0.9,0.6025,1200,188.10032027184076,158.32332953130356,221.50537761326927
9,230,190.6,0.014166666666666666,0.9858333333333333,False,150.0,False,0.9,0.6025,1200,188.10032027184076,158.32332953130356,221.50537761326927
9,230,190.6,0.3475,0.6525,False,180.0,False,0.9,0.6025,1200,188.10032027184076,158.32332953130356,221.50537761326927
9,230,190.6,0.745,0.255,False,200.0,False,0.9,0.6025,1200,188.10032027184076,158.32332953130356,221.50537761326927
