case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,is_primary_tau,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.004166666666666667,0.9958333333333333,False,110.0,False,0.9,0.6535,1200,174.4736807961297,134.5401183531519,215.5747421568693
0,385,177.89,0.013333333333333334,0.9866666666666667,False,120.0,False,0.9,0.6535,1200,174.4736807961297,134.5401183531519,215.5747421568693
0,385,177.89,0.0375,0.9625,False,131.0,True,0.9,0.6535,1200,174.4736807961297,134.5401183531519,215.5747421568693
0,385,177.89,0.16416666666666666,0.8358333333333333,False,150.0,False,0.9,0.6535,1200,174.4736807961297,134.5401183531519,215.5747421568693
0,385,177.89,0.6025,0.3975,False,180.0,False,0.9,0.6535,1200,174.4736807961297,134.5401183531519,215.5747421568693
0,385,177.89,0.8508333333333333,0.14916666666666667,False,200.0,False,0.9,0.6535,1200,174.4736807961297,134.5401183531519,215.5747421568693
1,377,154.29,0.02,0.98,False,110.0,False,0.9,0.6605,1200,164.64253499947415,121.5927536146497,214.6084634508972
1,377,154.29,0.0425,0.9575,False,120.0,False,0.9,0.6605,1200,164.64253499947415,121.5927536146497,214.6084634508972
1,377,154.29,0.1075,0.8925,False,131.0,True,0.9,0.6605,1200,164.64253499947415,121.5927536146497,214.6084634508972
1,377,154.29,0.3233333333333333,0.6766666666666666,False,150.0,False,0.9,0.6605,1200,164.64253499947415,121.5927536146497,214.6084634508972
1,377,154.29,0.7233333333333334,0.27666666666666667,False,180.0,False,0.9,0.6605,1200,164.64253499947415,121.5927536146497,214.6084634508972
1,377,154.29,0.8891666666666667,0.11083333333333334,False,200.0,False,0.9,0.6605,1200,164.64253499947415,121.5927536146497,214.6084634508972
2,161,136.63,0.05416666666666667,0.9458333333333333,False,110.0,False,0.9,0.6546666666666666,1200,147.3214992239663,109.1879869379302,186.37186900664628
2,161,136.63,0.11583333333333333,0.8841666666666667,False,120.0,False,0.9,0.6546666666666666,1200,147.3214992239663,109.1879869379302,186.37186900664628
2,161,136.63,0.25416666666666665,0.7458333333333333,False,131.0,True,0.9,0.6546666666666666,1200,147.3214992239663,109.1879869379302,186.37186900664628
2,161,136.63,0.5416666666666666,0.4583333333333333,False,150.0,False,0.9,0.6546666666666666,1200,147.3214992239663,109.1879869379302,186.37186900664628
2,161,136.63,0.9191666666666667,0.08083333333333333,True,180.0,False,0.9,0.6546666666666666,1200,147.3214992239663,109.1879869379302,186.37186900664628
2,161,136.63,0.9808333333333333,0.019166666666666665,True,200.0,False,0.9,0.6546666666666666,1200,147.3214992239663,109.1879869379302,186.37186900664628
3,79,150.99,0.03,0.97,False,110.0,False,0.9,0.6551666666666667,1200,152.9830951415811,115.45710735089514,194.39235856371218
3,79,150.99,0.0775,0.9225,False,120.0,False,0.9,0.6551666666666667,1200,152.9830951415811,115.45710735089514,194.39235856371218
3,79,150.99,0.17,0.83,False,131.0,True,0.9,0.6551666666666667,1200,152.9830951415811,115.45710735089514,194.39235856371218
3,79,150.99,0.4775,0.5225,False,150.0,False,0.9,0.6551666666666667,1200,152.9830951415811,115.45710735089514,194.39235856371218
3,79,150.99,0.8708333333333333,0.12916666666666668,False,180.0,False,0.9,0.6551666666666667,1200,152.9830951415811,115.45710735089514,194.39235856371218
3,79,150.99,0.9691666666666666,0.030833333333333334,True,200.0,False,0.9,0.6551666666666667,1200,152.9830951415811,115.45710735089514,194.39235856371218
4,19,136.95,0.0825,0.9175,False,110.0,False,0.9,0.6703333333333333,1200,141.89979949928602,104.65439142417088,180.71187926834094
4,19,136.95,0.17666666666666667,0.8233333333333334,False,120.0,False,0.9,0.6703333333333333,1200,141.89979949928602,104.65439142417088,180.71187926834094
4,19,136.95,0.3275,0.6725,False,131.0,True,0.9,0.6703333333333333,1200,141.89979949928602,104.65439142417088,180.71187926834094
4,19,136.95,0.6416666666666667,0.35833333333333334,False,150.0,False,0.9,0.6703333333333333,1200,141.89979949928602,104.65439142417088,180.71187926834094
4,19,136.95,0.9458333333333333,0.05416666666666667,True,180.0,False,0.9,0.6703333333333333,1200,141.89979949928602,104.65439142417088,180.71187926834094
4,19,136.95,0.995,0.005,True,200.0,False,0.9,0.6703333333333333,1200,141.89979949928602,104.65439142417088,180.71187926834094
5,88,184.91,0.0033333333333333335,0.9966666666666667,False,110.0,False,0.9,0.6535,1200,173.58340071975138,132.95214730352393,218.50415338193596
5,88,184.91,0.0125,0.9875,False,120.0,False,0.9,0.6535,1200,173.58340071975138,132.95214730352393,218.50415338193596
5,88,184.91,0.043333333333333335,0.9566666666666667,False,131.0,True,0.9,0.6535,1200,173.58340071975138,132.95214730352393,218.50415338193596
5,88,184.91,0.17916666666666667,0.8208333333333333,False,150.0,False,0.9,0.6535,1200,173.58340071975138,132.95214730352393,218.50415338193596
5,88,184.91,0.6108333333333333,0.38916666666666666,False,180.0,False,0.9,0.6535,1200,173.58340071975138,132.95214730352393,218.50415338193596
5,88,184.91,0.8575,0.1425,False,200.0,False,0.9,0.6535,1200,173.58340071975138,132.95214730352393,218.50415338193596
6,250,133.33,0.0975,0.9025,False,110.0,False,0.9,0.6671666666666667,1200,138.5803877892471,102.00195468471915,177.16434775529376
6,250,133.33,0.21,0.79,False,120.0,False,0.9,0.6671666666666667,1200,138.5803877892471,102.00195468471915,177.16434775529376
6,250,133.33,0.37416666666666665,0.6258333333333334,False,131.0,True,0.9,0.6671666666666667,1200,138.5803877892471,102.00195468471915,177.16434775529376
6,250,133.33,0.7066666666666667,0.29333333333333333,False,150.0,False,0.9,0.6671666666666667,1200,138.5803877892471,102.00195468471915,177.16434775529376
6,250,133.33,0.9566666666666667,0.043333333333333335,True,180.0,False,0.9,0.6671666666666667,1200,138.5803877892471,102.00195468471915,177.16434775529376
6,250,133.33,0.9908333333333333,0.009166666666666667,True,200.0,False,0.9,0.6671666666666667,1200,138.5803877892471,102.00195468471915,177.16434775529376
7,224,135.41,0.0825,0.9175,False,110.0,False,0.9,0.647,1200,141.07619195212374,103.78580523374593,180.4861240828004
