case_i,pool_case_index,label,category,row_idx,stress_true_MPa,theta9_post__E_slope,theta9_post__E_intercept,theta9_post__nu,theta9_post__alpha_base,theta9_post__alpha_slope,theta9_post__SS316_T_ref,theta9_post__SS316_k_ref,theta9_post__SS316_alpha,theta9_post__SS316_scale,y_true__iteration1_avg_fuel_temp,y_true__iteration1_max_fuel_temp,y_true__iteration1_max_monolith_temp,y_true__iteration1_max_global_stress,y_true__iteration1_monolith_new_temperature,y_true__iteration1_Hcore_after,y_true__iteration1_wall2,y_true__iteration2_keff,y_true__iteration2_avg_fuel_temp,y_true__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_true__iteration2_monolith_new_temperature,y_true__iteration2_Hcore_after,y_true__iteration2_wall2
0,0,post_mean,low,116,110.57,-70016291.2195719,179542303772.70535,0.3112529384733514,9.427008340589442e-06,4.929745200666617e-09,906.1483524783696,24.394675864402217,0.0156175651848171,1.0,1009.42,1091.65,1055.04,137.53,953.1314625775492,152.098338704186,29.89490511657789,1.1045691846107266,997.13,1067.25,1028.78,110.57,949.7334019887757,152.08890190248312,29.892462344599025
0,0,post_lo_5,low,116,110.57,-70016291.2195719,156961750548.6444,0.3112529384733514,7.841892474419803e-06,4.18999464201538e-09,906.1483524783696,21.07423460577289,0.0156175651848171,1.0,1009.42,1091.65,1055.04,137.53,953.1314625775492,152.098338704186,29.89490511657789,1.1045691846107266,997.13,1067.25,1028.78,110.57,949.7334019887757,152.08890190248312,29.892462344599025
0,0,post_hi_95,low,116,110.57,-70016291.2195719,203457502815.56195,0.3112529384733514,1.0992050486085196e-05,5.673275892487456e-09,906.1483524783696,27.70144010124106,0.0156175651848171,1.0,1009.42,1091.65,1055.04,137.53,953.1314625775492,152.098338704186,29.89490511657789,1.1045691846107266,997.13,1067.25,1028.78,110.57,949.7334019887757,152.08890190248312,29.892462344599025
1,1,post_mean,low,176,118.66,-81109530.36474393,189531913658.86887,0.2757619427839457,9.85019146585078e-06,4.965764442829648e-09,888.9442088518078,23.499706375129172,0.0132956358616216,1.0,1016.54,1104.23,1069.43,147.49,955.4819842229308,152.33597167233873,29.913610499458738,1.103766539430288,1002.08,1076.72,1039.47,118.66,951.061754933202,152.32185595232303,29.910322313224214
1,1,post_lo_5,low,176,118.66,-81109530.36474393,166038570920.40356,0.2757619427839457,8.271566241033695e-06,4.175393265574087e-09,888.9442088518078,20.133564937592368,0.0132956358616216,1.0,1016.54,1104.23,1069.43,147.49,955.4819842229308,152.33597167233873,29.913610499458738,1.103766539430288,1002.08,1076.72,1039.47,118.66,951.061754933202,152.32185595232303,29.910322313224214
1,1,post_hi_95,low,176,118.66,-81109530.36474393,212495406191.67905,0.2757619427839457,1.1436134238757202e-05,5.7923426450356705e-09,888.9442088518078,26.806085461453243,0.0132956358616216,1.0,1016.54,1104.23,1069.43,147.49,955.4819842229308,152.33597167233873,29.913610499458738,1.103766539430288,1002.08,1076.72,1039.47,118.66,951.061754933202,152.32185595232303,29.910322313224214
2,2,post_mean,low,426,110.65,-75055896.76852253,176966954822.36462,0.3368670552195046,9.438884152909035e-06,4.8649793838396645e-09,892.9061014953552,23.90189744876393,0.0114056822023745,1.0,1006.8,1086.91,1049.65,130.94,952.3257407871644,152.6558107920937,29.96941434810009,1.102247085086023,997.56,1068.23,1029.93,110.65,949.8828239370044,152.64701511700918,29.96706322851205
2,2,post_lo_5,low,426,110.65,-75055896.76852253,154828715337.02277,0.3368670552195046,7.78986164600827e-06,3.993573661299101e-09,892.9061014953552,20.26184785361903,0.0114056822023745,1.0,1006.8,1086.91,1049.65,130.94,952.3257407871644,152.6558107920937,29.96941434810009,1.102247085086023,997.56,1068.23,1029.93,110.65,949.8828239370044,152.64701511700918,29.96706322851205
2,2,post_hi_95,low,426,110.65,-75055896.76852253,202049609033.5455,0.3368670552195046,1.1097844668792691e-05,5.716781187001894e-09,892.9061014953552,27.70668645889907,0.0114056822023745,1.0,1006.8,1086.91,1049.65,130.94,952.3257407871644,152.6558107920937,29.96941434810009,1.102247085086023,997.56,1068.23,1029.93,110.65,949.8828239370044,152.64701511700918,29.96706322851205
3,3,post_mean,low,433,103.67,-68355158.07421298,175398008182.1835,0.2845191806629695,9.42732732453649e-06,4.835034605883518e-09,974.2298005512672,23.913029607591017,0.0122122659640366,1.0,1006.64,1086.62,1049.32,124.8,952.2779602916836,152.00276449754045,29.87171130195122,1.104479856105843,996.84,1066.82,1028.11,103.67,949.6839368534584,151.9955434882807,29.869895785926577
