case_i,label,output,y_true,y_hf
0,post_hi_95,iteration1_avg_fuel_temp,1009.42,1007.05
0,post_hi_95,iteration1_max_fuel_temp,1091.65,1087.37
0,post_hi_95,iteration1_max_monolith_temp,1055.04,1050.17
0,post_hi_95,iteration1_max_global_stress,137.53,198.98
0,post_hi_95,iteration1_monolith_new_temperature,953.1314625775492,952.4018813561746
0,post_hi_95,iteration1_Hcore_after,152.098338704186,152.5679760773309
0,post_hi_95,iteration1_wall2,29.89490511657789,29.950916330526375
0,post_hi_95,iteration2_keff,1.1045691846107266,1.1024542576728318
0,post_hi_95,iteration2_avg_fuel_temp,997.13,996.33
0,post_hi_95,iteration2_max_fuel_temp,1067.25,1065.47
0,post_hi_95,iteration2_max_monolith_temp,1028.78,1026.9
0,post_hi_95,iteration2_max_global_stress,110.57,162.61
0,post_hi_95,iteration2_monolith_new_temperature,949.7334019887757,949.5920778953973
0,post_hi_95,iteration2_Hcore_after,152.08890190248312,152.5581450484754
0,post_hi_95,iteration2_wall2,29.892462344599025,29.94834121230722
0,post_lo_5,iteration1_avg_fuel_temp,1009.42,1022.88
0,post_lo_5,iteration1_max_fuel_temp,1091.65,1115.26
0,post_lo_5,iteration1_max_monolith_temp,1055.04,1082.15
0,post_lo_5,iteration1_max_global_stress,137.53,114.78
0,post_lo_5,iteration1_monolith_new_temperature,953.1314625775492,957.6292142560858
0,post_lo_5,iteration1_Hcore_after,152.098338704186,151.84389426570763
0,post_lo_5,iteration1_wall2,29.89490511657789,29.859810185518427
0,post_lo_5,iteration2_keff,1.1045691846107266,1.104823388477653
0,post_lo_5,iteration2_avg_fuel_temp,997.13,1002.01
0,post_lo_5,iteration2_max_fuel_temp,1067.25,1076.75
0,post_lo_5,iteration2_max_monolith_temp,1028.78,1039.26
0,post_lo_5,iteration2_max_global_stress,110.57,85.43
0,post_lo_5,iteration2_monolith_new_temperature,949.7334019887757,951.0093115995794
0,post_lo_5,iteration2_Hcore_after,152.08890190248312,151.82726705919686
0,post_lo_5,iteration2_wall2,29.892462344599025,29.855922749428895
0,post_mean,iteration1_avg_fuel_temp,1009.42,1013.33
0,post_mean,iteration1_max_fuel_temp,1091.65,1098.59
0,post_mean,iteration1_max_monolith_temp,1055.04,1062.95
0,post_mean,iteration1_max_global_stress,137.53,152.04
0,post_mean,iteration1_monolith_new_temperature,953.1314625775492,954.4288453198436
0,post_mean,iteration1_Hcore_after,152.098338704186,152.1915664423783
0,post_mean,iteration1_wall2,29.89490511657789,29.903541577668353
0,post_mean,iteration2_keff,1.1045691846107266,1.1042211112105003
0,post_mean,iteration2_avg_fuel_temp,997.13,998.84
0,post_mean,iteration2_max_fuel_temp,1067.25,1070.87
0,post_mean,iteration2_max_monolith_temp,1028.78,1032.74
0,post_mean,iteration2_max_global_stress,110.57,119.95
0,post_mean,iteration2_monolith_new_temperature,949.7334019887757,950.1731388321211
0,post_mean,iteration2_Hcore_after,152.08890190248312,152.17886064489556
0,post_mean,iteration2_wall2,29.892462344599025,29.90041578959741
1,post_hi_95,iteration1_avg_fuel_temp,1016.54,1006.29
1,post_hi_95,iteration1_max_fuel_temp,1104.23,1085.98
1,post_hi_95,iteration1_max_monolith_temp,1069.43,1048.59
1,post_hi_95,iteration1_max_global_stress,147.49,188.32
1,post_hi_95,iteration1_monolith_new_temperature,955.4819842229308,952.1724691574319
1,post_hi_95,iteration1_Hcore_after,152.33597167233873,152.64100272330222
1,post_hi_95,iteration1_wall2,29.913610499458738,29.951219474112367
1,post_hi_95,iteration2_keff,1.103766539430288,1.1027381909402563
1,post_hi_95,iteration2_avg_fuel_temp,1002.08,996.98
1,post_hi_95,iteration2_max_fuel_temp,1076.72,1067.0
1,post_hi_95,iteration2_max_monolith_temp,1039.47,1028.62
1,post_hi_95,iteration2_max_global_stress,118.66,158.27
1,post_hi_95,iteration2_monolith_new_temperature,951.061754933202,949.7292524079314
1,post_hi_95,iteration2_Hcore_after,152.32185595232303,152.6322205380983
1,post_hi_95,iteration2_wall2,29.910322313224214,29.94898360576939
1,post_lo_5,iteration1_avg_fuel_temp,1016.54,1021.74
1,post_lo_5,iteration1_max_fuel_temp,1104.23,1113.3
1,post_lo_5,iteration1_max_monolith_temp,1069.43,1079.87
1,post_lo_5,iteration1_max_global_stress,147.49,116.51
1,post_lo_5,iteration1_monolith_new_temperature,955.4819842229308,957.2389996088303
1,post_lo_5,iteration1_Hcore_after,152.33597167233873,151.927822384987
1,post_lo_5,iteration1_wall2,29.913610499458738,29.864900171524624
1,post_lo_5,iteration2_keff,1.103766539430288,1.1051260923194517
1,post_lo_5,iteration2_avg_fuel_temp,1002.08,1003.34
1,post_lo_5,iteration2_max_fuel_temp,1076.72,1079.18
1,post_lo_5,iteration2_max_monolith_temp,1039.47,1041.92
1,post_lo_5,iteration2_max_global_stress,118.66,90.16
1,post_lo_5,iteration2_monolith_new_temperature,951.061754933202,951.40295704634
1,post_lo_5,iteration2_Hcore_after,152.32185595232303,151.91265002874545
1,post_lo_5,iteration2_wall2,29.910322313224214,29.86141087455396
1,post_mean,iteration1_avg_fuel_temp,1016.54,1012.21
1,post_mean,iteration1_max_fuel_temp,1104.23,1096.63
1,post_mean,iteration1_max_monolith_temp,1069.43,1060.74
1,post_mean,iteration1_max_global_stress,147.49,148.6
1,post_mean,iteration1_monolith_new_temperature,955.4819842229308,954.016604272172
