category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95,stress_epistemic_mean,stress_aleatoric_mean
low_stress,0,0.5,105.96,0.14405,109.88146282722268,19.93775762766488,78.22984395770116,143.8433091563966,9.880684758073699,10.136011510264149
low_stress,0,1.0,105.96,0.261,112.59073292512164,33.1796615249291,63.11089762402076,171.42981609677443,12.771873741402517,12.414434163907085
low_stress,0,1.5,105.96,0.3337,116.79530911027484,45.839842455320216,50.83914076876285,198.85194044866634,14.631316081382817,14.540185099770376
low_stress,1,0.5,116.78,0.26315,119.34795902446315,18.848918951484702,88.54014024480621,150.26764111565353,8.190900577145527,11.05049347127335
low_stress,1,1.0,116.78,0.3461,121.119676464803,30.012638928196797,75.96145958149191,173.08636145547044,9.050154155794802,12.167570956701072
low_stress,1,1.5,116.78,0.4172,126.30261410839138,41.75366656819589,65.03917725130655,199.9878811604327,13.176260560149391,13.992841293614852
low_stress,2,0.5,118.66,0.22555,117.11377948027653,18.37547600012251,86.76416328922244,147.2723884418906,8.326860249099035,9.968859708070099
low_stress,2,1.0,118.66,0.33425,120.583795798977,27.67942321308084,77.68214060587064,168.05234895153458,9.140317074013934,10.716051345219077
low_stress,2,1.5,118.66,0.4173,125.74917201939542,40.44118416180132,64.80700630181683,195.7420409339444,13.185100657735532,13.437340708676354
near_threshold,0,0.5,128.92,0.5652,134.21923987481824,18.66154061646314,104.05523469949429,165.0308007554453,8.790286409365104,11.183398787611134
near_threshold,0,1.0,128.92,0.568,136.91073082571785,28.871511601699634,91.73597000358792,186.29826896445732,10.84406579037367,12.041629936314747
near_threshold,0,1.5,128.92,0.5621,138.82715728148688,38.59089969877315,79.3122211763997,205.3144011831028,13.270571529326972,13.701458830722462
near_threshold,1,0.5,123.51,0.51985,132.28260260803373,18.537989505930693,102.03624813134347,162.89088213285123,9.096022892843445,10.371278485211732
near_threshold,1,1.0,123.51,0.5782,137.7248582826512,28.542103019291556,92.88355715172868,186.5837758706598,10.312520148577825,11.772379962676045
near_threshold,1,1.5,123.51,0.54695,138.53760891304557,40.25980597695651,77.99269379341877,208.65277771409947,12.972953240912597,13.604418048845522
near_threshold,2,0.5,128.33,0.56255,133.82067172303215,18.4180597040474,103.56430880168344,164.24034442736246,9.235697031498743,11.478407535973565
near_threshold,2,1.0,128.33,0.5874,137.31740377996988,26.688421866735812,94.94454992373873,181.68070825201806,9.459450079456008,12.492827787947197
near_threshold,2,1.5,128.33,0.573,139.5849961229637,37.42974628829412,82.64163469742982,203.81407376775704,12.261551732534897,14.564794522152367
above_threshold,0,0.5,134.23,0.76315,144.76945322467648,19.280612074751517,113.50775905163037,176.8477935607918,6.591457133325034,10.773047748364325
above_threshold,0,1.0,134.23,0.6821,147.1148769516243,32.13051089571393,97.48314414967797,202.15299700737913,9.350114575393958,12.239578483873025
above_threshold,0,1.5,134.23,0.64315,149.7287142433513,44.96597812842497,83.67489527352097,228.9658588731289,12.054541427655053,14.75605555113187
above_threshold,1,0.5,173.4,0.95545,167.61037141681817,22.449121406762128,132.1407638828377,205.7393552648224,8.461575745831547,13.198265746142303
above_threshold,1,1.0,173.4,0.8518,166.91703980118078,35.595003632163696,112.68085018691801,228.24082821024703,10.387269055227772,15.24211930744485
above_threshold,1,1.5,173.4,0.75705,165.18272104350544,48.9293600288434,92.02631656540632,248.83540197760917,13.649697453423432,18.69692981661332
above_threshold,2,0.5,133.98,0.62575,137.99292070116465,21.589951986138555,102.65638955030467,173.4061476169843,9.54778205647728,13.228300632586627
above_threshold,2,1.0,133.98,0.60305,140.3516700953174,31.631934748013126,90.84924954848958,194.6312014207985,9.643480273831887,14.737575617337503
above_threshold,2,1.5,133.98,0.59455,143.269757872672,43.227786675889526,77.62332507933243,216.76420035630017,12.259701184129074,16.90698060766547
extreme_stress,0,0.5,186.34,0.9979,187.02980219475944,20.88375881685658,153.47871204562475,222.60989064572803,6.715331155479586,11.417826039970716
extreme_stress,0,1.0,186.34,0.96065,188.15768109403757,33.83599223834412,134.37068856774545,245.08626878476176,9.435027387415024,13.115750494057075
extreme_stress,0,1.5,186.34,0.90325,188.95738471747526,46.79728878542256,117.50356467448684,268.699315966749,12.676200016797704,15.857862423528507
extreme_stress,1,0.5,203.37,0.9881,211.4937887943229,38.30111423386703,153.14797220306855,276.8328543730679,15.551065533719841,28.185769360071934
extreme_stress,1,1.0,203.37,0.9576,212.69480216311933,55.34473157517279,134.18282763125973,309.8255052358859,16.64152844457817,33.58769310019973
extreme_stress,1,1.5,203.37,0.8822,207.59407886237105,79.92947335926829,105.95531316096319,347.573549695918,20.30814790076266,44.541631113524204
extreme_stress,2,0.5,194.69,0.9959,192.05936986488143,24.88173759302303,152.24823568848197,233.93489976096208,14.35536594268657,13.268444716672303
extreme_stress,2,1.0,194.69,0.9738,191.76098725621648,34.247144643575,138.74209695377166,250.5949362777403,12.884836448930983,14.48197502837541
extreme_stress,2,1.5,194.69,0.91815,192.7421672108978,46.747619505488224,121.11451503185997,272.47533125436865,14.118586572805029,17.043629505086066
