category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95,stress_epistemic_mean,stress_aleatoric_mean
low_stress,0,0.5,105.96,0.2612,115.79741087954353,24.531133413190616,76.32478218979013,156.85626840706024,13.254546233044245,15.97353371802746
low_stress,0,1.0,105.96,0.3192,117.29601934566516,35.097521541117,63.91054029170843,178.45625891865055,18.381489039419552,16.083587443560198
low_stress,0,1.5,105.96,0.37205,120.8185300573911,45.95173194510195,51.73741196914731,201.5823963241634,21.636883658697755,16.66462891401847
low_stress,1,0.5,116.78,0.3355,121.8460411682719,22.58691618526828,85.08851666633095,159.11558176391566,11.41017564976985,15.116668289159929
low_stress,1,1.0,116.78,0.4537,128.93591975335403,31.084546670236374,81.24349365303333,182.3152332763024,14.405249203625301,15.026563614768872
low_stress,1,1.5,116.78,0.5087,134.9002040480373,40.921555292565905,73.93729545100801,206.43802228250792,16.90687622994213,16.25206960729601
low_stress,2,0.5,118.66,0.25005,116.22988540198493,22.11281037919872,79.7963380490801,153.07070120646083,11.132748199556142,15.097434764980807
low_stress,2,1.0,118.66,0.3451,119.85436873407834,30.650630933735844,71.62641189776764,171.74884588041525,14.094161611057972,14.679496306519024
low_stress,2,1.5,118.66,0.4364,127.78726190767033,39.30202665411752,68.49794969908565,195.8766734897664,16.323926154304107,15.988362200945875
near_threshold,0,0.5,128.92,0.6386,138.37490004375357,20.280340401141377,105.40346991099308,172.0121189395048,10.396025086304059,13.384487816155891
near_threshold,0,1.0,128.92,0.64525,141.81096358395308,28.280986759361088,96.55890104709006,189.3575290059714,13.40076734611845,14.219612113924397
near_threshold,0,1.5,128.92,0.6396,144.81479184876855,36.73661811261439,86.99934122083029,207.49283464479498,18.00860082124089,14.631246407226278
near_threshold,1,0.5,123.51,0.56585,134.6516435458808,20.052070506171894,101.97306094794878,167.7745170163341,10.561823739453096,13.330027698004464
near_threshold,1,1.0,123.51,0.62125,139.91301422628896,28.84146203735283,92.60015352467451,187.85828027651337,15.182022000210186,13.998240206707857
near_threshold,1,1.5,123.51,0.6163,143.0399813821011,36.15793148972325,87.32654675355911,204.4540197498681,17.549100751800065,13.960000849674252
near_threshold,2,0.5,128.33,0.58055,135.38288899772311,21.479423520661072,100.15711852164996,170.97840006842694,11.094809456546058,15.106027446251744
near_threshold,2,1.0,128.33,0.5854,137.5150939251147,27.982514415633215,93.11025186126254,184.86144942100566,12.624148353726586,15.600159627392673
near_threshold,2,1.5,128.33,0.5902,141.00059210108395,35.725961170753244,86.7896725193613,202.79603365186344,15.458206478099848,15.595724150291193
above_threshold,0,0.5,134.23,0.68185,142.24189713046238,23.622061363345797,103.82958943847153,181.33774887103138,9.630062861420429,16.108646795241775
above_threshold,0,1.0,134.23,0.66015,145.1218602704189,32.802834468792064,94.03059161790404,201.37536466594275,12.92816804706297,15.961003585189488
above_threshold,0,1.5,134.23,0.66745,150.77595962004736,42.5805019504997,86.723158233973,226.05164084584035,17.062636625012825,16.95161867213207
above_threshold,1,0.5,173.4,0.92845,166.93194239040042,25.200252712729654,126.77726131988351,209.5667251674258,11.229674109417148,16.271680227931235
above_threshold,1,1.0,173.4,0.81435,164.2346001698298,37.20169314018173,107.47223836873427,228.66340294658545,15.401262258054636,17.414798733326585
above_threshold,1,1.5,173.4,0.80945,168.88174657846923,44.280387932594806,102.7619692649103,246.2716493139331,17.56887412679791,17.604827497932753
above_threshold,2,0.5,133.98,0.6123,138.10796007747462,24.202869897163787,98.95706284847228,178.13217451152966,13.443270487563678,15.078475767194861
above_threshold,2,1.0,133.98,0.6218,141.50431541390296,31.966103223749712,91.03889179743918,196.35531075337178,14.138066084698401,16.51220289689437
above_threshold,2,1.5,133.98,0.62045,146.07255971476528,42.853013881639775,81.4819582525489,221.08492005272814,18.467327300996043,17.082825626174216
extreme_stress,0,0.5,186.34,0.995,184.8095071895353,22.43344554208449,148.76430500507104,222.6283896491528,9.515931092609057,14.650871297475183
extreme_stress,0,1.0,186.34,0.94975,183.04645144618385,33.130479023041076,130.92849399675097,239.30789361404663,13.652853714429238,15.33264901733109
extreme_stress,0,1.5,186.34,0.90965,185.10032434075526,42.645875475107914,120.13359128730299,258.4862868617464,15.494539717205399,16.301528744178043
extreme_stress,1,0.5,203.37,0.9773,208.92650481879042,40.55647469213778,145.2606827554224,277.9419085918614,24.958062925549513,25.119853690460605
extreme_stress,1,1.0,203.37,0.9314,202.24816107787538,51.92236654637005,124.21154551482783,293.07789986138357,29.230247573410185,25.237117163811433
extreme_stress,1,1.5,203.37,0.9071,208.79344608483493,67.00102498329893,115.14655013221574,328.2922774310345,32.72103383550091,29.893128942269605
extreme_stress,2,0.5,194.69,0.9944,188.57157291658692,23.65893398054893,150.42510096021746,228.16417831312896,13.035196189245593,14.384623967961467
extreme_stress,2,1.0,194.69,0.95455,183.3860002100529,32.48636847392683,132.21623427678043,238.23857828319083,14.647553887813972,15.56675193292896
extreme_stress,2,1.5,194.69,0.91255,186.9080629884934,42.918086048509004,119.26830896639589,259.31409847964693,19.31363627184004,16.100913646159984
