category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95,stress_epistemic_mean,stress_aleatoric_mean
low_stress,0,0.5,105.96,0.21505,113.40229791550844,22.825579484253186,76.49744801070028,151.21800971435664,13.163565495996734,11.617854285477023
low_stress,0,1.0,105.96,0.322,117.35187298449779,35.147790802155576,63.362121063228884,176.9361934764278,14.311538228772804,14.209657393559647
low_stress,0,1.5,105.96,0.3887,123.03892948272782,52.65371155255747,50.55650921556624,208.94987882884178,15.702610697174334,20.81062539717508
low_stress,1,0.5,116.78,0.2414,117.48789121300152,19.55514366214756,85.12173522126473,149.18090194083413,9.339589293661492,11.255030680410874
low_stress,1,1.0,116.78,0.3542,120.90538213385133,30.60122104443886,72.7713862007255,171.7576952428986,11.631710831585364,12.581916393008855
low_stress,1,1.5,116.78,0.4097,123.65852348276111,46.48948124045735,54.61316380304566,198.14350121978993,14.8853131129418,18.323255503449666
low_stress,2,0.5,118.66,0.2385,117.7305571980718,18.59189827853027,86.81433168545625,148.29313994918112,8.655436365576886,10.463696745061478
low_stress,2,1.0,118.66,0.352,120.57458480189875,29.601401563783067,72.95302258356097,169.60910140135917,10.706219826208764,11.855566384088045
low_stress,2,1.5,118.66,0.3951,122.96933795707054,44.693936070602135,55.752970181628946,196.15104927316955,13.644804507326977,16.15390050658613
near_threshold,0,0.5,128.92,0.63575,138.72680681553857,21.81098188607788,103.49627849120627,174.99958795898777,11.792517362159378,12.705639240822048
near_threshold,0,1.0,128.92,0.6491,143.08572807291443,31.474619015934564,93.05590533354209,195.87550201260842,11.875033230416253,15.100157668788697
near_threshold,0,1.5,128.92,0.5921,142.05396882482785,45.87812070000846,72.4923768803878,216.4164882056331,15.716863492587255,18.384570227804556
near_threshold,1,0.5,123.51,0.62985,137.60084185188637,20.187466203065657,104.37435625167106,170.55351474915844,10.280880096724069,11.13570341728796
near_threshold,1,1.0,123.51,0.55325,136.10726929238518,31.587336157338022,85.46710405809718,188.82064786152242,12.371946351577815,12.659045074335216
near_threshold,1,1.5,123.51,0.54485,138.7260109287793,44.81642323381553,71.46275392441773,213.60533893577562,15.105052900241578,15.579388320332267
near_threshold,2,0.5,128.33,0.48205,129.76863761737604,19.619059279059766,96.84452092670662,161.67923419574018,9.271669155831043,12.558214695246571
near_threshold,2,1.0,128.33,0.48805,129.95614990281703,30.279269991553182,80.49639159351834,179.12474891395146,12.250209948900475,14.956245163319641
near_threshold,2,1.5,128.33,0.5212,133.49637364953844,42.453586957100775,65.71906830509957,202.50216949475197,14.971485399070685,18.1281133489116
above_threshold,0,0.5,134.23,0.7245,142.67299700910982,19.779335047425302,110.3446617006651,175.08218948990697,7.322687981106132,11.277602359725451
above_threshold,0,1.0,134.23,0.63035,142.8319986951013,33.47292930762439,90.37673975112531,199.51602388028027,10.119627459852461,13.006491327928257
above_threshold,0,1.5,134.23,0.6274,147.68436497118208,49.338317591050135,77.27106873773769,228.73163538226746,14.124342954092105,17.933821783426154
above_threshold,1,0.5,173.4,0.8785,158.55877926756463,24.008880855140085,119.66968422524887,198.31007237305766,10.81911774749225,14.349669648364964
above_threshold,1,1.0,173.4,0.7716,158.68486757402908,37.685811530490426,101.26602046030906,221.93774202078424,12.789196505361911,17.30774585541612
above_threshold,1,1.5,173.4,0.7338,161.8396300334433,53.574915589812974,85.34159301943363,247.00432233763746,14.74181877108698,21.797514346539117
above_threshold,2,0.5,133.98,0.62185,137.51435755529133,21.427355446307338,102.29558840535626,172.24095887732662,9.041276753608264,14.192732487761642
above_threshold,2,1.0,133.98,0.5695,136.62559425965355,32.69929755662858,83.25138388247592,190.8307977853808,12.41142626373392,15.693121519878527
above_threshold,2,1.5,133.98,0.56155,139.36433641672906,48.49118819370039,66.51494026408301,217.2047334566374,15.078140914991756,20.86575355516021
extreme_stress,0,0.5,186.34,0.9985,189.03288837098802,20.81812106991496,155.91470505881745,224.8049652328553,7.675579348575411,11.707685117475975
extreme_stress,0,1.0,186.34,0.96165,188.92100898549515,34.88435477028155,134.6921290037039,248.16719811049478,11.23273968354574,14.33899085134941
extreme_stress,0,1.5,186.34,0.8917,190.44628419339423,53.85025737693135,113.66275883911585,278.647143286597,14.83814467483061,20.264471177878097
extreme_stress,1,0.5,203.37,0.96065,207.47327298616017,47.997778574544284,136.00024992181488,288.20132076565886,23.623964133120268,33.28427121874102
extreme_stress,1,1.0,203.37,0.8967,205.7494372590668,79.54462141556506,105.56206755876909,338.4871588113838,22.142176560195068,50.381672753041066
extreme_stress,1,1.5,203.37,0.825,207.60474670785987,119.79126103240836,70.95648632048866,418.6008490107875,25.41236345286952,71.34595221807108
extreme_stress,2,0.5,194.69,0.9975,196.85520455597387,25.98891430259841,156.4243134731384,241.02790041738905,11.826257486749643,17.389582836585536
extreme_stress,2,1.0,194.69,0.9697,197.07585805054697,40.60862631244325,138.28080944266512,265.7445864202506,14.6153640702162,21.194751781547307
extreme_stress,2,1.5,194.69,0.90835,197.60824719182384,62.863038597082934,116.17493187565506,298.74188646848984,17.725123732140027,29.718843180640466
