sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,stress_pred_epistemic_mean,stress_pred_aleatoric_mean,keff_mean,keff_std,sample_source
0.5,110.0,0.9991,160.89074509314676,17.717216953909144,132.72111421492323,160.55072619260957,190.83292639906207,161.01761753068473,9.617760342297672,4.332197211025403,8.579319833604282,1.1036104152917834,0.00045428966752720634,predictive
0.5,120.0,0.99245,160.89074509314676,17.717216953909144,132.72111421492323,160.55072619260957,190.83292639906207,161.01761753068473,9.617760342297672,4.332197211025403,8.579319833604282,1.1036104152917834,0.00045428966752720634,predictive
0.5,131.0,0.9601,160.89074509314676,17.717216953909144,132.72111421492323,160.55072619260957,190.83292639906207,161.01761753068473,9.617760342297672,4.332197211025403,8.579319833604282,1.1036104152917834,0.00045428966752720634,predictive
1.0,110.0,0.95875,163.55275893252528,33.62240017544704,113.15285615480802,161.11237062492472,222.74032634626025,163.54866974334067,12.995125169825625,7.331230112096002,10.693330976566486,1.1035947966766562,0.0008170960178548264,predictive
1.0,120.0,0.91705,163.55275893252528,33.62240017544704,113.15285615480802,161.11237062492472,222.74032634626025,163.54866974334067,12.995125169825625,7.331230112096002,10.693330976566486,1.1035947966766562,0.0008170960178548264,predictive
1.0,131.0,0.84025,163.55275893252528,33.62240017544704,113.15285615480802,161.11237062492472,222.74032634626025,163.54866974334067,12.995125169825625,7.331230112096002,10.693330976566486,1.1035947966766562,0.0008170960178548264,predictive
1.5,110.0,0.87535,164.34446135830828,53.086552941091625,90.26128911486347,160.02153648892613,250.89536552085406,164.1352490985299,19.596185772187575,10.173404830701854,16.399504671630186,1.1035442190960574,0.001985605010168079,predictive
1.5,120.0,0.81645,164.34446135830828,53.086552941091625,90.26128911486347,160.02153648892613,250.89536552085406,164.1352490985299,19.596185772187575,10.173404830701854,16.399504671630186,1.1035442190960574,0.001985605010168079,predictive
1.5,131.0,0.74075,164.34446135830828,53.086552941091625,90.26128911486347,160.02153648892613,250.89536552085406,164.1352490985299,19.596185772187575,10.173404830701854,16.399504671630186,1.1035442190960574,0.001985605010168079,predictive
2.0,110.0,0.80725,168.3240571329819,85.56316310082939,69.31438417715691,158.26006566511847,294.1066737655786,168.06109086047206,35.95922695819426,13.500623911473882,32.33924922015065,1.1034958680760527,0.003787056817382907,predictive
2.0,120.0,0.7509,168.3240571329819,85.56316310082939,69.31438417715691,158.26006566511847,294.1066737655786,168.06109086047206,35.95922695819426,13.500623911473882,32.33924922015065,1.1034958680760527,0.003787056817382907,predictive
2.0,131.0,0.68265,168.3240571329819,85.56316310082939,69.31438417715691,158.26006566511847,294.1066737655786,168.06109086047206,35.95922695819426,13.500623911473882,32.33924922015065,1.1034958680760527,0.003787056817382907,predictive
