model_id,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi,S1_ci_spans_zero,ST_ci_spans_zero
bnn-baseline,iteration2_max_global_stress,E_slope,0.039598842292601084,0.03329091361092455,0.045906770974277616,0.04626778373240554,0.04546084461175219,0.04707472285305889,False,False
bnn-baseline,iteration2_max_global_stress,E_intercept,0.5817699372836238,0.5771343378668954,0.5864055367003522,0.6007038542679534,0.5951416132904579,0.6062660952454488,False,False
bnn-baseline,iteration2_max_global_stress,nu,0.050314461309533876,0.04288934375400691,0.05773957886506084,0.05492283474338141,0.05374953488970294,0.05609613459705988,False,False
bnn-baseline,iteration2_max_global_stress,alpha_base,0.15485342390907136,0.14840808034236067,0.16129876747578206,0.17401035257908887,0.1716036875008956,0.17641701765728213,False,False
bnn-baseline,iteration2_max_global_stress,alpha_slope,0.036707058581030065,0.02950785201398998,0.043906265148070146,0.03709699756183204,0.03628077058119947,0.03791322454246461,False,False
bnn-baseline,iteration2_max_global_stress,SS316_T_ref,0.023148820255933577,0.01574965514610796,0.030547985365759193,0.03704560046823297,0.03602659512739573,0.038064605809070215,False,False
bnn-baseline,iteration2_max_global_stress,SS316_k_ref,0.07284981364019907,0.0662976192245558,0.07940200805584234,0.09784598410171146,0.09587402790531165,0.09981794029811127,False,False
bnn-baseline,iteration2_max_global_stress,SS316_alpha,0.0019118624709367426,-0.005063118867649983,0.00888684380952347,0.007802946388290594,0.007427515987445609,0.00817837678913558,True,False
bnn-baseline,iteration2_keff,E_slope,0.002106572374023723,-0.008366668526275194,0.01257981327432264,0.005361525336641447,0.004880641735903919,0.005842408937378975,True,False
bnn-baseline,iteration2_keff,E_intercept,0.005448356606035762,-0.004847476949591679,0.015744190161663202,0.0061760699521303045,0.005632068638193215,0.006720071266067394,True,False
bnn-baseline,iteration2_keff,nu,0.019360471177772027,0.00884285757953204,0.029878084776012014,0.031448587545477746,0.030367374341634765,0.03252980074932073,False,False
bnn-baseline,iteration2_keff,alpha_base,0.7777324334978498,0.7747741823828688,0.7806906846128309,0.7844960498463699,0.7757382796556922,0.7932538200370476,False,False
bnn-baseline,iteration2_keff,alpha_slope,0.18050349312628916,0.17061802959097538,0.19038895666160294,0.18690839828511308,0.1842492601719497,0.18956753639827645,False,False
bnn-baseline,iteration2_keff,SS316_T_ref,0.0003149885549477482,-0.010352441371193377,0.010982418481088873,0.008649095490403696,0.007881708919771477,0.009416482061035914,True,False
bnn-baseline,iteration2_keff,SS316_k_ref,0.004461634986915366,-0.006788276289835228,0.01571154626366596,0.008704013053159548,0.007967219986743945,0.009440806119575151,True,False
bnn-baseline,iteration2_keff,SS316_alpha,-0.0012300193062860431,-0.010487993901179278,0.00802795528860719,0.008745147439334394,0.008141467322288098,0.009348827556380689,True,False
