model_id,output,output_label,nominal_alpha,empirical_coverage,coverage_error,interval_score,MPIW_alpha,is_primary
bnn-baseline,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.5,0.6229885057471264,0.12298850574712639,10.511939541754833,7.047467859676902,False
bnn-baseline,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.68,0.7862068965517242,0.1062068965517241,12.817264574577484,10.390684169308194,False
bnn-baseline,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.8,0.8919540229885058,0.09195402298850575,15.235082292334404,13.390408773548561,False
bnn-baseline,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.9,0.9540229885057471,0.05402298850574705,18.515252112504744,17.18640359834014,False
bnn-baseline,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.95,0.9839080459770115,0.03390804597701158,21.34033074535413,20.478862997035577,False
bnn-baseline,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.99,0.9977011494252873,0.007701149425287324,27.544540717876767,26.913788124278412,False
bnn-baseline,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.5,0.632183908045977,0.13218390804597702,18.262049204839535,12.365845381405405,False
bnn-baseline,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.68,0.7816091954022989,0.10160919540229885,22.464785067962524,18.232022678649397,False
bnn-baseline,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.8,0.896551724137931,0.096551724137931,26.584664572044282,23.4954919673954,False
bnn-baseline,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.9,0.9563218390804598,0.056321839080459735,32.30204190840115,30.156137465414005,False
bnn-baseline,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.95,0.9862068965517241,0.036206896551724155,37.21647271129032,35.93325410638147,False
bnn-baseline,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.99,0.9977011494252873,0.007701149425287324,48.07780225098545,47.224300869389126,False
bnn-baseline,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.5,0.6091954022988506,0.10919540229885061,21.091879770710847,14.08131169421566,False
bnn-baseline,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.68,0.7793103448275862,0.09931034482758616,25.70538441114901,20.761281273993486,False
bnn-baseline,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.8,0.8919540229885058,0.09195402298850575,30.42145767754166,26.754931474343994,False
bnn-baseline,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.9,0.9563218390804598,0.056321839080459735,37.024180576967645,34.339582781994004,False
bnn-baseline,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.95,0.9770114942528736,0.027011494252873636,42.68205927742996,40.918136662154005,False
bnn-baseline,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.99,0.9977011494252873,0.007701149425287324,54.57685238942996,53.77554704696715,False
bnn-baseline,iteration1_max_global_stress,iteration1_max_global_stress,0.5,0.7471264367816092,0.24712643678160917,30.760564612292423,25.16990663144828,False
bnn-baseline,iteration1_max_global_stress,iteration1_max_global_stress,0.68,0.9011494252873563,0.22114942528735626,40.27972180542776,37.11014446404942,False
bnn-baseline,iteration1_max_global_stress,iteration1_max_global_stress,0.8,0.9586206896551724,0.1586206896551724,49.563078264207626,47.82360775499796,False
bnn-baseline,iteration1_max_global_stress,iteration1_max_global_stress,0.9,0.9885057471264368,0.08850574712643677,62.13592207587158,61.38093603458308,False
bnn-baseline,iteration1_max_global_stress,iteration1_max_global_stress,0.95,0.9977011494252873,0.04770114942528736,73.25257691708771,73.13989645881661,False
bnn-baseline,iteration1_max_global_stress,iteration1_max_global_stress,0.99,1.0,0.010000000000000009,96.12211757113653,96.12211757113653,False
bnn-baseline,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.5,0.6045977011494252,0.10459770114942524,3.4996646838870515,2.4395249452951075,False
bnn-baseline,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.68,0.8,0.12,4.331152654600777,3.5968001180600533,False
bnn-baseline,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.8,0.9080459770114943,0.10804597701149421,5.171312007078075,4.635173495103785,False
bnn-baseline,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.9,0.9586206896551724,0.05862068965517242,6.32132750865062,5.949180774267843,False
bnn-baseline,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.95,0.9862068965517241,0.036206896551724155,7.326633411303008,7.088886125809111,False
bnn-baseline,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.99,0.9977011494252873,0.007701149425287324,9.509249326879113,9.316375584659212,False
bnn-baseline,iteration1_Hcore_after,iteration1_Hcore_after,0.5,1.0,0.5,0.23129360491717338,0.2312936049171733,False
bnn-baseline,iteration1_Hcore_after,iteration1_Hcore_after,0.68,1.0,0.31999999999999995,0.3410159289730031,0.34101592897300254,False
bnn-baseline,iteration1_Hcore_after,iteration1_Hcore_after,0.8,1.0,0.19999999999999996,0.43946506436292915,0.43946506436293004,False
bnn-baseline,iteration1_Hcore_after,iteration1_Hcore_after,0.9,1.0,0.09999999999999998,0.5640473036515289,0.5640473036515291,False
bnn-baseline,iteration1_Hcore_after,iteration1_Hcore_after,0.95,1.0,0.050000000000000044,0.6721038167893693,0.6721038167893711,False
bnn-baseline,iteration1_Hcore_after,iteration1_Hcore_after,0.99,1.0,0.010000000000000009,0.8832941421213887,0.8832941421213875,False
bnn-baseline,iteration1_wall2,iteration1_wall2,0.5,0.993103448275862,0.49310344827586206,0.010727159965642465,0.01071120525743642,False
bnn-baseline,iteration1_wall2,iteration1_wall2,0.68,1.0,0.31999999999999995,0.015792445331954588,0.015792445331954702,False
bnn-baseline,iteration1_wall2,iteration1_wall2,0.8,1.0,0.19999999999999996,0.02035162411666991,0.02035162411666985,False
bnn-baseline,iteration1_wall2,iteration1_wall2,0.9,1.0,0.09999999999999998,0.026121026763704112,0.02612102676370414,False
bnn-baseline,iteration1_wall2,iteration1_wall2,0.95,1.0,0.050000000000000044,0.031125123146034998,0.031125123146035046,False
bnn-baseline,iteration1_wall2,iteration1_wall2,0.99,1.0,0.010000000000000009,0.04090534566375688,0.04090534566375691,False
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,0.5,0.7908045977011494,0.2908045977011494,0.0007690937671481796,0.0006681767913947186,True
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,0.68,0.9333333333333333,0.2533333333333333,0.0010246299234455763,0.0009851501485190946,True
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,0.8,0.9839080459770115,0.1839080459770115,0.0012873360852236903,0.0012695567468942745,True
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,0.9,0.9954022988505747,0.09540229885057472,0.0016333930454811147,0.0016294584438842738,True
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,0.95,1.0,0.050000000000000044,0.0019416194924510998,0.0019416194924510937,True
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,0.99,1.0,0.010000000000000009,0.0025517205542789087,0.0025517205542789213,True
bnn-baseline,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.5,0.5678160919540229,0.06781609195402294,6.1665676899757935,3.705209385783446,False
bnn-baseline,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.68,0.735632183908046,0.05563218390804592,7.475433994603912,5.462906858946248,False
bnn-baseline,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.8,0.8551724137931035,0.05517241379310345,8.717992534125433,7.0400134140524795,False
bnn-baseline,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.9,0.9333333333333333,0.033333333333333326,10.570387964315382,9.035759394488633,False
bnn-baseline,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.95,0.9655172413793104,0.015517241379310431,12.107905580845317,10.766771398978504,False
bnn-baseline,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.99,0.993103448275862,0.003103448275862064,15.283510369599492,14.149936168653234,False
bnn-baseline,iteration2_max_fuel_temp,Max. fuel temp.,0.5,0.5747126436781609,0.07471264367816088,11.495606958432802,6.912264046474482,True
bnn-baseline,iteration2_max_fuel_temp,Max. fuel temp.,0.68,0.7379310344827587,0.0579310344827586,13.949075444946278,10.191341632464482,True
bnn-baseline,iteration2_max_fuel_temp,Max. fuel temp.,0.8,0.8574712643678161,0.05747126436781602,16.29003305094465,13.13351731088839,True
bnn-baseline,iteration2_max_fuel_temp,Max. fuel temp.,0.9,0.9310344827586207,0.03103448275862064,19.672950268366854,16.85668697557601,True
bnn-baseline,iteration2_max_fuel_temp,Max. fuel temp.,0.95,0.9632183908045977,0.013218390804597746,22.43575026596986,20.08598140858714,True
bnn-baseline,iteration2_max_fuel_temp,Max. fuel temp.,0.99,0.993103448275862,0.003103448275862064,27.89571306638941,26.397454193485384,True
bnn-baseline,iteration2_max_monolith_temp,Max. monolith temp.,0.5,0.5747126436781609,0.07471264367816088,12.968873676410086,7.895102130362453,True
bnn-baseline,iteration2_max_monolith_temp,Max. monolith temp.,0.68,0.7471264367816092,0.06712643678160912,15.767508983829027,11.640423816674142,True
bnn-baseline,iteration2_max_monolith_temp,Max. monolith temp.,0.8,0.8551724137931035,0.05517241379310345,18.455809078362076,15.00094032912895,True
bnn-baseline,iteration2_max_monolith_temp,Max. monolith temp.,0.9,0.9379310344827586,0.037931034482758585,22.359626879225214,19.25349847125729,True
bnn-baseline,iteration2_max_monolith_temp,Max. monolith temp.,0.95,0.960919540229885,0.01091954022988506,25.679739535604167,22.94195845863835,True
bnn-baseline,iteration2_max_monolith_temp,Max. monolith temp.,0.99,0.993103448275862,0.003103448275862064,31.80533563679413,30.1508442730033,True
