case_i,pool_case_index,label,category,row_idx,stress_true_MPa,theta9_post__E_slope,theta9_post__E_intercept,theta9_post__nu,theta9_post__alpha_base,theta9_post__alpha_slope,theta9_post__SS316_T_ref,theta9_post__SS316_k_ref,theta9_post__SS316_alpha,theta9_post__SS316_scale,y_true__iteration1_avg_fuel_temp,y_true__iteration1_max_fuel_temp,y_true__iteration1_max_monolith_temp,y_true__iteration1_max_global_stress,y_true__iteration1_monolith_new_temperature,y_true__iteration1_Hcore_after,y_true__iteration1_wall2,y_true__iteration2_keff,y_true__iteration2_avg_fuel_temp,y_true__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_true__iteration2_monolith_new_temperature,y_true__iteration2_Hcore_after,y_true__iteration2_wall2
0,0,post_mean,low,116,110.57,-70016291.2195719,175403239307.72958,0.3112529384733514,9.240505698619334e-06,4.836896606991014e-09,906.1483524783696,24.713124204254747,0.0156175651848171,0.01,1009.42,1091.65,1055.04,137.53,953.1314625775492,152.098338704186,29.89490511657789,1.1045691846107266,997.13,1067.25,1028.78,110.57,949.7334019887757,152.08890190248312,29.892462344599025
0,0,post_lo_5,low,116,110.57,-70016291.2195719,153815717953.6266,0.3112529384733514,7.66833576034354e-06,4.109467309962012e-09,906.1483524783696,21.355728694500613,0.0156175651848171,0.01,1009.42,1091.65,1055.04,137.53,953.1314625775492,152.098338704186,29.89490511657789,1.1045691846107266,997.13,1067.25,1028.78,110.57,949.7334019887757,152.08890190248312,29.892462344599025
0,0,post_hi_95,low,116,110.57,-70016291.2195719,199321923781.82028,0.3112529384733514,1.0919268062321025e-05,5.634109536809049e-09,906.1483524783696,28.080722389281647,0.0156175651848171,0.01,1009.42,1091.65,1055.04,137.53,953.1314625775492,152.098338704186,29.89490511657789,1.1045691846107266,997.13,1067.25,1028.78,110.57,949.7334019887757,152.08890190248312,29.892462344599025
1,1,post_mean,low,176,118.66,-81109530.36474393,186773501990.15475,0.2757619427839457,9.677307409703484e-06,4.898892285150582e-09,888.9442088518078,23.54869791214962,0.0132956358616216,0.01,1016.54,1104.23,1069.43,147.49,955.4819842229308,152.33597167233873,29.913610499458738,1.103766539430288,1002.08,1076.72,1039.47,118.66,951.061754933202,152.32185595232303,29.910322313224214
1,1,post_lo_5,low,176,118.66,-81109530.36474393,166966999430.56403,0.2757619427839457,8.265294542442055e-06,4.1050073762739504e-09,888.9442088518078,20.041303125341287,0.0132956358616216,0.01,1016.54,1104.23,1069.43,147.49,955.4819842229308,152.33597167233873,29.913610499458738,1.103766539430288,1002.08,1076.72,1039.47,118.66,951.061754933202,152.32185595232303,29.910322313224214
1,1,post_hi_95,low,176,118.66,-81109530.36474393,207101260001.85007,0.2757619427839457,1.1275992751722288e-05,5.762044956965738e-09,888.9442088518078,26.96156512066764,0.0132956358616216,0.01,1016.54,1104.23,1069.43,147.49,955.4819842229308,152.33597167233873,29.913610499458738,1.103766539430288,1002.08,1076.72,1039.47,118.66,951.061754933202,152.32185595232303,29.910322313224214
2,2,post_mean,low,426,110.65,-75055896.76852253,172065825324.22318,0.3368670552195046,9.21392923024602e-06,4.851501901466016e-09,892.9061014953552,24.533542834539,0.0114056822023745,0.01,1006.8,1086.91,1049.65,130.94,952.3257407871644,152.6558107920937,29.96941434810009,1.102247085086023,997.56,1068.23,1029.93,110.65,949.8828239370044,152.64701511700918,29.96706322851205
2,2,post_lo_5,low,426,110.65,-75055896.76852253,153084363300.97195,0.3368670552195046,7.597135357654473e-06,3.953078582154192e-09,892.9061014953552,20.97733208718453,0.0114056822023745,0.01,1006.8,1086.91,1049.65,130.94,952.3257407871644,152.6558107920937,29.96941434810009,1.102247085086023,997.56,1068.23,1029.93,110.65,949.8828239370044,152.64701511700918,29.96706322851205
2,2,post_hi_95,low,426,110.65,-75055896.76852253,195089565030.73016,0.3368670552195046,1.107471596675007e-05,5.705763482755824e-09,892.9061014953552,28.049739783131468,0.0114056822023745,0.01,1006.8,1086.91,1049.65,130.94,952.3257407871644,152.6558107920937,29.96941434810009,1.102247085086023,997.56,1068.23,1029.93,110.65,949.8828239370044,152.64701511700918,29.96706322851205
3,3,post_mean,low,433,103.67,-68355158.07421298,169993129364.56284,0.2845191806629695,9.21714076027342e-06,4.7369473396048455e-09,974.2298005512672,24.238354471566574,0.0122122659640366,0.01,1006.64,1086.62,1049.32,124.8,952.2779602916836,152.00276449754045,29.87171130195122,1.104479856105843,996.84,1066.82,1028.11,103.67,949.6839368534584,151.9955434882807,29.869895785926577
