ts,case_i,label,status,elapsed_s,note
2026-04-16T22:27:40,0,post_mean,ok,2561.3,
2026-04-16T23:11:25,0,post_lo_5,ok,2625.1,
2026-04-16T23:50:47,0,post_hi_95,ok,2362.1,
2026-04-17T00:29:34,1,post_mean,ok,2326.4,
2026-04-17T01:08:57,1,post_lo_5,ok,2363.2,
2026-04-17T01:47:58,1,post_hi_95,ok,2340.9,
2026-04-17T02:26:46,2,post_mean,ok,2328.1,
2026-04-17T03:05:31,2,post_lo_5,ok,2325.3,
2026-04-17T03:43:51,2,post_hi_95,ok,2299.5,
2026-04-17T04:22:18,3,post_mean,ok,2306.9,
2026-04-17T05:00:57,3,post_lo_5,ok,2319.2,
2026-04-17T05:39:33,3,post_hi_95,ok,2316.6,
2026-04-17T06:18:01,4,post_mean,ok,2307.2,
2026-04-17T06:56:36,4,post_lo_5,ok,2315.8,
2026-04-17T07:35:02,4,post_hi_95,ok,2306.0,
2026-04-17T08:13:43,5,post_mean,ok,2320.8,
2026-04-17T08:52:33,5,post_lo_5,ok,2329.8,
2026-04-17T09:31:02,5,post_hi_95,ok,2309.1,
2026-04-17T10:09:39,6,post_mean,ok,2316.8,
2026-04-17T10:48:14,6,post_lo_5,ok,2315.4,
2026-04-17T11:26:41,6,post_hi_95,ok,2306.5,
2026-04-17T12:05:23,7,post_mean,ok,2321.9,
2026-04-17T12:44:18,7,post_lo_5,ok,2335.0,
2026-04-17T13:22:55,7,post_hi_95,ok,2316.9,
2026-04-17T14:01:31,8,post_mean,ok,2316.6,
2026-04-17T14:40:33,8,post_lo_5,ok,2341.3,
2026-04-17T15:19:20,8,post_hi_95,ok,2327.4,
2026-04-17T15:58:17,9,post_mean,ok,2337.3,
2026-04-17T16:37:56,9,post_lo_5,ok,2378.7,
2026-04-17T17:28:09,9,post_hi_95,ok,3013.4,
2026-04-17T18:18:15,10,post_mean,ok,3006.0,
2026-04-17T19:08:38,10,post_lo_5,ok,3022.4,
2026-04-17T19:58:10,10,post_hi_95,ok,2972.3,
2026-04-17T20:47:55,11,post_mean,ok,2985.4,
2026-04-17T21:37:56,11,post_lo_5,ok,3001.1,
2026-04-17T22:16:36,11,post_hi_95,ok,2319.9,
2026-04-17T22:59:04,12,post_mean,ok,2548.1,
2026-04-17T23:38:06,12,post_lo_5,ok,2341.3,
2026-04-18T00:18:20,12,post_hi_95,ok,2414.7,
2026-04-18T00:57:21,13,post_mean,ok,2340.8,
2026-04-18T01:35:57,13,post_lo_5,ok,2315.9,
2026-04-18T02:14:40,13,post_hi_95,ok,2323.1,
2026-04-18T02:53:48,14,post_mean,ok,2348.0,
2026-04-18T03:32:48,14,post_lo_5,ok,2339.4,
2026-04-18T04:11:41,14,post_hi_95,ok,2333.2,
2026-04-18T04:50:31,15,post_mean,ok,2330.4,
2026-04-18T05:29:24,15,post_lo_5,ok,2332.7,
2026-04-18T06:08:12,15,post_hi_95,ok,2328.5,
2026-04-18T06:43:10,16,post_mean,fail,2097.3,ffc.jitcompiler.FFCJitError: A directory with files to reproduce the jit build failure has been created.
2026-04-18T06:50:15,16,post_lo_5,fail,425.4,ffc.jitcompiler.FFCJitError: A directory with files to reproduce the jit build failure has been created.
2026-04-18T06:57:33,16,post_hi_95,fail,437.8,ffc.jitcompiler.FFCJitError: A directory with files to reproduce the jit build failure has been created.
2026-04-18T07:04:50,17,post_mean,fail,436.6,ffc.jitcompiler.FFCJitError: A directory with files to reproduce the jit build failure has been created.
2026-04-18T07:12:07,17,post_lo_5,fail,437.0,ffc.jitcompiler.FFCJitError: A directory with files to reproduce the jit build failure has been created.
2026-04-18T07:19:25,17,post_hi_95,fail,438.8,ffc.jitcompiler.FFCJitError: A directory with files to reproduce the jit build failure has been created.
2026-04-18T10:19:47,16,post_mean,ok,1814.1,
2026-04-18T10:49:21,16,post_lo_5,ok,1773.1,
2026-04-18T11:18:48,16,post_hi_95,ok,1767.5,
2026-04-18T11:48:21,17,post_mean,ok,1772.9,
2026-04-18T12:17:58,17,post_lo_5,ok,1776.9,
2026-04-18T12:47:31,17,post_hi_95,ok,1772.8,
