category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95,stress_epistemic_mean,stress_aleatoric_mean
low_stress,0,0.5,105.96,0.1282,108.84348846817143,19.60997848359981,77.06842557538353,141.54230808770257,8.808883875012324,9.400756581426538
low_stress,0,1.0,105.96,0.288,114.91951340006487,32.6345260698122,64.72681352967659,170.2305061445037,10.90458603005523,11.700929740801126
low_stress,0,1.5,105.96,0.33915,116.60721839385916,55.02576020965969,42.08594751111004,204.22240747645773,14.412258640426188,19.070703424787993
low_stress,1,0.5,116.78,0.2151,116.98944957149273,17.884214321033042,87.60489593879298,146.18763411728537,8.023848091240323,8.995223696832898
low_stress,1,1.0,116.78,0.31395,117.92742453646702,30.24355874296039,70.67189208262984,168.68487134376164,8.657411537382721,10.989094274165021
low_stress,1,1.5,116.78,0.3774,121.48305151751079,46.48960631641009,54.988191923873565,198.41725096048512,11.538620317496783,15.356603862306702
low_stress,2,0.5,118.66,0.1942,117.19236871194535,16.209394195523547,90.74836207338895,143.99836690671563,5.68695563951597,8.075880324741219
low_stress,2,1.0,118.66,0.32355,119.28857563601996,28.256337954867362,74.90111645030315,166.7107277426368,8.71969304386111,9.825886663825344
low_stress,2,1.5,118.66,0.3941,122.71489058729652,45.00021290429783,56.397852945610815,197.1755573852183,10.644131610493645,14.325471063032953
near_threshold,0,0.5,128.92,0.57565,135.08904073334142,20.27056307844606,102.48390501602343,168.98857656681804,8.916993362197543,12.001078751755447
near_threshold,0,1.0,128.92,0.5462,135.98186067519836,32.39295177211373,86.0848072915535,190.9207278404822,10.1417252818446,14.58222576740974
near_threshold,0,1.5,128.92,0.5517,139.5564979097483,50.57752230582836,67.95169888568556,220.23572352714464,12.407760575977932,20.846007243474812
near_threshold,1,0.5,123.51,0.5719,134.54635694968067,18.742216696272223,104.28356019665873,165.52434157086896,8.158228603410272,9.500116941562226
near_threshold,1,1.0,123.51,0.545,135.98129362113033,31.653154737000758,86.41926399074548,189.89683482338125,10.566731114235939,11.389622544223565
near_threshold,1,1.5,123.51,0.52765,138.4227376256818,48.92575134093241,68.91049881977332,219.82580277464484,12.397220545339716,17.389718216189635
near_threshold,2,0.5,128.33,0.53245,132.16139273705758,16.727535587541823,104.33632172245365,159.66125061397523,7.166142331490201,9.843363771505375
near_threshold,2,1.0,128.33,0.52185,133.20402456263392,27.267598603450825,90.11421732969228,178.76893789289156,8.31245299356339,11.799021556191466
near_threshold,2,1.5,128.33,0.5452,136.85987069617184,40.82184258163626,74.65843851531184,204.48505168120008,11.063013171977746,15.846089179471145
above_threshold,0,0.5,134.23,0.71975,141.35517135037463,17.79218779574498,112.33214578002114,170.92606762322865,6.592444713926681,8.6475243078905
above_threshold,0,1.0,134.23,0.64995,143.91027994340126,31.384614573589406,95.72000436805148,197.20197815679347,7.984682809607912,10.251602722318209
above_threshold,0,1.5,134.23,0.6155,147.3055939544276,49.383624346843426,77.01019286758293,231.23440289136911,10.863176953425281,15.678649505100985
above_threshold,1,0.5,173.4,0.92925,159.7715103855749,20.191152826821458,127.74122758959007,193.85988528659504,8.147973888541136,10.87716392151841
above_threshold,1,1.0,173.4,0.80105,159.49675902966143,33.979278770363905,107.75475698739706,217.55023123533599,9.726240252970708,12.733021782565315
above_threshold,1,1.5,173.4,0.7224,161.75502011216696,54.781067569205575,85.3366229551966,251.4592383462521,12.386093272307813,20.39778497398937
above_threshold,2,0.5,133.98,0.6013,135.8625129738147,18.509242240679242,105.39335580483097,166.23951463032722,8.187007017594459,10.163301843939005
above_threshold,2,1.0,133.98,0.5558,136.0842718798048,30.235727791183734,88.58550891651737,187.33903117472317,8.834654733665577,11.98062615587921
above_threshold,2,1.5,133.98,0.5568,139.18296535200932,48.18136318364311,67.8099839940179,218.58122454348398,12.212121243156838,17.70304924743939
extreme_stress,0,0.5,186.34,0.9986,187.52125430311983,20.956120027374556,154.64717743582838,223.78626157593266,7.260141446009495,10.674639480825412
extreme_stress,0,1.0,186.34,0.9647,190.2799101427646,36.30587794755276,135.57381360682695,252.5934947384336,8.877636624969266,13.952263959116113
extreme_stress,0,1.5,186.34,0.8887,190.92883923133743,58.88024916594991,113.29157306517597,284.1350074492693,11.114830280741629,21.97707893383632
extreme_stress,1,0.5,203.37,0.9928,205.07626426105023,33.4990961960377,154.84892279497,262.64339051147186,15.664080040003254,20.77210137763996
extreme_stress,1,1.0,203.37,0.9341,203.73765811889695,63.104638385702096,124.35587964377874,309.99856005619813,16.455730909382115,34.156484259736196
extreme_stress,1,1.5,203.37,0.85535,209.03831254810308,109.7150503227033,90.8557553865578,388.4096325560503,18.512427689680287,56.705417128947204
extreme_stress,2,0.5,194.69,0.99845,201.82170487321014,26.89747774059951,160.37758574329266,247.96592545886412,11.285451660896012,16.26435704830603
extreme_stress,2,1.0,194.69,0.9673,196.66255807750778,42.31175771092164,136.8924168385866,267.745784864339,10.607487090624879,20.404489031847948
extreme_stress,2,1.5,194.69,0.89145,199.53121318706454,74.41475632841143,111.57971019131071,313.5018487094145,14.56143910628311,34.626688231858225
