model_id,output,input,Sobol_ST,Spearman_rho,PRCC
bnn-baseline,iteration2_max_global_stress,E_slope,0.04626778373240554,0.20343399757544334,0.5658958872022609
bnn-baseline,iteration2_max_global_stress,E_intercept,0.6007038542679534,0.7821393548487837,0.9258658367203078
bnn-baseline,iteration2_max_global_stress,nu,0.05492283474338141,0.1803755097575853,0.5615862960575891
bnn-baseline,iteration2_max_global_stress,alpha_base,0.17401035257908887,0.29257983691287104,0.728373783899989
bnn-baseline,iteration2_max_global_stress,alpha_slope,0.03709699756183204,0.19338406213868087,0.4818155701582919
bnn-baseline,iteration2_max_global_stress,SS316_T_ref,0.03704560046823297,0.10846111723746658,0.40172582255446804
bnn-baseline,iteration2_max_global_stress,SS316_k_ref,0.09784598410171146,0.17260991112324708,0.5543996365999191
bnn-baseline,iteration2_max_global_stress,SS316_alpha,0.007802946388290594,0.015076659135068874,0.019115177386468764
bnn-baseline,iteration2_keff,E_slope,0.005361525336641447,0.06727577321024476,0.024950441601377868
bnn-baseline,iteration2_keff,E_intercept,0.0061760699521303045,0.003805135297508426,0.039619044994041244
bnn-baseline,iteration2_keff,nu,0.031448587545477746,0.014782883302932063,0.19010034934078016
bnn-baseline,iteration2_keff,alpha_base,0.7844960498463699,0.7996290171804321,0.8830921362254586
bnn-baseline,iteration2_keff,alpha_slope,0.18690839828511308,0.417482761426282,0.7076849417354811
bnn-baseline,iteration2_keff,SS316_T_ref,0.008649095490403696,0.010345569147645778,0.07233434494331582
bnn-baseline,iteration2_keff,SS316_k_ref,0.008704013053159548,0.014180470369796054,0.11904948825816629
bnn-baseline,iteration2_keff,SS316_alpha,0.008745147439334394,0.047596568544325535,0.0805865461437838
