model_id,output,output_label,input,N_base,S1_mean,S1_std,S1_ci_lo,S1_ci_hi,n_repeats
bnn-baseline,iteration2_max_global_stress,Max stress,E_slope,256,0.06479998188322861,0.061438760167698774,-0.020644425533578578,0.16141570793933233,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_intercept,256,0.592139608050912,0.03937300003658385,0.5418725446326635,0.646142785051853,20
bnn-baseline,iteration2_max_global_stress,Max stress,nu,256,0.06258784457117667,0.07311198367909505,-0.03414426779616579,0.16987622497384916,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_base,256,0.16590583422113464,0.06396450378805583,0.07800182961854615,0.2547099235228146,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_slope,256,0.0693266263221046,0.05844472102115668,-0.002165342021889248,0.17154534773639968,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_T_ref,256,0.03953271422030452,0.05506865307026955,-0.01868970271023511,0.10738490500460539,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_k_ref,256,0.09266330912591235,0.07333346825488805,-0.0006913095347301293,0.2042287307078323,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_alpha,256,0.028175816550462928,0.07028202294785306,-0.06850647304299994,0.13282383717804744,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_slope,512,0.03557245638551745,0.053286708805306275,-0.03727471114977321,0.11895879237459622,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_intercept,512,0.578049306379938,0.0393773343412451,0.5271071024405674,0.6432664766439303,20
bnn-baseline,iteration2_max_global_stress,Max stress,nu,512,0.056471818842631125,0.055574281898549724,-0.008880764017172046,0.1319120638445694,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_base,512,0.15212032774545672,0.04968101420218647,0.04555310556079266,0.20184389702055536,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_slope,512,0.02873602578829266,0.05707377749295976,-0.049703598079254216,0.12006617572227812,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_T_ref,512,0.015299776613239401,0.04958823652591462,-0.04320560261717707,0.09928528376092234,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_k_ref,512,0.06360755705812968,0.03896094528565786,0.008454843005952574,0.1107453133016325,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_alpha,512,0.004408406418602462,0.04892863334506491,-0.058185003297959684,0.09320438192754486,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_slope,1024,0.03799268566556603,0.045980548612620756,-0.027501571688004652,0.10392729263333612,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_intercept,1024,0.5828207513875001,0.015964829753401185,0.5532613097743315,0.6044936448411942,20
bnn-baseline,iteration2_max_global_stress,Max stress,nu,1024,0.04895463750067991,0.04380142275119174,-0.0010244805563145677,0.13225551423645182,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_base,1024,0.15976097812539064,0.03897036413948106,0.1101959881332051,0.20465305167087977,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_slope,1024,0.03560570431132934,0.04157325407744094,-0.023282078858428874,0.08200242042269629,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_T_ref,1024,0.033647344338253976,0.04408529497143788,-0.04262689307556642,0.09889183415006976,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_k_ref,1024,0.06899145437841939,0.035304950082829765,0.008608711035022832,0.12205605321222576,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_alpha,1024,-0.005032636757612996,0.04528095844520046,-0.06271100029971406,0.0599569425214942,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_slope,2048,0.04701688432587825,0.03625206908220772,-0.01633655762236391,0.08633026669417007,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_intercept,2048,0.5784375513312641,0.024818562290752064,0.5473087907387677,0.6257540546244923,20
bnn-baseline,iteration2_max_global_stress,Max stress,nu,2048,0.0430641923913251,0.035912018513278327,0.006384883709670092,0.08496801397227657,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_base,2048,0.16454659049486223,0.0352845929389065,0.10038709164849084,0.20630596390996583,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_slope,2048,0.03806496818793476,0.038727102078882567,-0.01885341647828187,0.09580255172123948,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_T_ref,2048,0.026841337945661202,0.044155978498783346,-0.0394801698868098,0.08433242000474243,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_k_ref,2048,0.07801625206106756,0.033280340688350445,0.03178902662996263,0.11530300045460833,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_alpha,2048,0.004636758254288336,0.03797403507350356,-0.03417933931936763,0.04964159144854792,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_slope,4096,0.03621103451413622,0.0359341930780361,-0.012959481707859544,0.08145961494586279,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_intercept,4096,0.5776435848601414,0.02168005484576137,0.5466780629365221,0.6131868829897884,20
bnn-baseline,iteration2_max_global_stress,Max stress,nu,4096,0.04271516877907502,0.03421919480348355,0.006151147825063897,0.07616464026101585,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_base,4096,0.1562290159639696,0.029181452449130257,0.12069933262453911,0.20466498311612008,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_slope,4096,0.024087124964418692,0.03824507889908434,-0.023765622725889436,0.0797308234802502,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_T_ref,4096,0.014803607818434938,0.031502620601180455,-0.03144131962571121,0.04963574468828997,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_k_ref,4096,0.07429686720498194,0.037553020639517175,0.016476298960382017,0.14846029387571386,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_alpha,4096,-0.00906534585594998,0.03567599757116737,-0.05761247394596953,0.042869799741741196,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_slope,8192,0.03872626925192034,0.023174161397743465,0.010178538710128244,0.08415157845370898,20
bnn-baseline,iteration2_max_global_stress,Max stress,E_intercept,8192,0.5729640509921993,0.01865909490759289,0.5486339273381169,0.6061844204641181,20
bnn-baseline,iteration2_max_global_stress,Max stress,nu,8192,0.034144754057281054,0.027247706376411274,-0.007507254409684505,0.0790311946533662,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_base,8192,0.15123236902454576,0.026130353417523004,0.10825605960407764,0.18904497481805396,20
bnn-baseline,iteration2_max_global_stress,Max stress,alpha_slope,8192,0.025742877172154278,0.022498794886880953,0.00464964631794444,0.05719385004142307,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_T_ref,8192,0.021404439517108492,0.020551456672522155,-0.011950625616209342,0.04905799594738277,20
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_k_ref,8192,0.06584536301055643,0.023460085491705276,0.028646746642248658,0.09836614103311032,20
