model_id,model_label,tau_MPa,p_exceed_ref,target_CI_half,N_samples_required,surrogate_mode,surrogate_sec_per_sample,surrogate_total_sec,surrogate_total_hours,HF_sec_per_case,HF_total_sec,HF_total_hours,HF_total_days,speedup_HF_over_surr,hf_source,surrogate_latency_source
bnn-baseline,Reference surrogate,131.0,0.84075,0.001,514350,batch,1.3388703810051083e-05,6.886479804699775,0.0019129110568610486,2266.0,1165517100.0,323754.75,13489.78125,169247152.834831,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.002,128588,batch,1.3388703810051083e-05,1.7216266455268487,0.000478229623757458,2266.0,291380408.0,80939.00222222222,3372.458425925926,169247152.834831,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.005,20574,batch,1.3388703810051083e-05,0.275459192187991,7.651644227444193e-05,2266.0,46620684.0,12950.19,539.59125,169247152.83483103,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.01,5144,batch,1.3388703810051083e-05,0.06887149239890278,1.9130970110806328e-05,2266.0,11656304.0,3237.862222222222,134.91092592592594,169247152.834831,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.02,1286,batch,1.3388703810051083e-05,0.017217873099725695,4.782742527701582e-06,2266.0,2914076.0,809.4655555555555,33.727731481481484,169247152.834831,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.05,206,batch,1.3388703810051083e-05,0.002758072984870523,7.661313846862564e-07,2266.0,466796.0,129.66555555555556,5.4027314814814815,169247152.83483103,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.001,514350,single_mc,0.012867551110684872,6618.424913780764,1.838451364939101,2266.0,1165517100.0,323754.75,13489.78125,176101.88453950448,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.002,128588,single_mc,0.012867551110684872,1654.6126622207464,0.4596146283946518,2266.0,291380408.0,80939.00222222222,3372.458425925926,176101.88453950448,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.005,20574,single_mc,0.012867551110684872,264.73699655123056,0.07353805459756405,2266.0,46620684.0,12950.19,539.59125,176101.88453950448,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.01,5144,single_mc,0.012867551110684872,66.19068291336298,0.018386300809267495,2266.0,11656304.0,3237.862222222222,134.91092592592594,176101.8845395045,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.02,1286,single_mc,0.012867551110684872,16.547670728340744,0.004596575202316874,2266.0,2914076.0,809.4655555555555,33.727731481481484,176101.8845395045,fallback,bnn-baseline
bnn-baseline,Reference surrogate,131.0,0.84075,0.05,206,single_mc,0.012867551110684872,2.6507155288010837,0.0007363098691114122,2266.0,466796.0,129.66555555555556,5.4027314814814815,176101.88453950448,fallback,bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.001,502889,batch,1.3388703810051083e-05,6.733031870332779,0.0018702866306479942,2266.0,1139546474.0,316540.6872222222,13189.195300925925,169247152.83483103,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.002,125723,batch,1.3388703810051083e-05,1.6832680091110523,0.00046757444697529234,2266.0,284888318.0,79135.6438888889,3297.3184953703703,169247152.834831,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.005,20116,batch,1.3388703810051083e-05,0.2693271658429876,7.481310162305211e-05,2266.0,45582856.0,12661.904444444444,527.5793518518518,169247152.834831,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.01,5029,batch,1.3388703810051083e-05,0.0673317914607469,1.8703275405763028e-05,2266.0,11395714.0,3165.476111111111,131.89483796296295,169247152.834831,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.02,1258,batch,1.3388703810051083e-05,0.016842989393044263,4.678608164734517e-06,2266.0,2850628.0,791.8411111111111,32.99337962962963,169247152.834831,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.05,202,batch,1.3388703810051083e-05,0.002704518169630319,7.51255047119533e-07,2266.0,457732.0,127.14777777777778,5.297824074074074,169247152.834831,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.001,502889,single_mc,0.012867551110684872,6470.949910501205,1.7974860862503346,2266.0,1139546474.0,316540.6872222222,13189.195300925925,176101.88453950448,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.002,125723,single_mc,0.012867551110684872,1617.7471282886343,0.4493742023023984,2266.0,284888318.0,79135.6438888889,3297.3184953703703,176101.88453950448,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.005,20116,single_mc,0.012867551110684872,258.84365814253687,0.07190101615070468,2266.0,45582856.0,12661.904444444444,527.5793518518518,176101.8845395045,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.01,5029,single_mc,0.012867551110684872,64.71091453563422,0.01797525403767617,2266.0,11395714.0,3165.476111111111,131.89483796296295,176101.8845395045,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.02,1258,single_mc,0.012867551110684872,16.18737929724157,0.004496494249233769,2266.0,2850628.0,791.8411111111111,32.99337962962963,176101.88453950448,fallback,fallback_bnn-baseline
bnn-data-mono,Data-monotone BNN,131.0,0.8451,0.05,202,single_mc,0.012867551110684872,2.5992453243583444,0.0007220125900995402,2266.0,457732.0,127.14777777777778,5.297824074074074,176101.88453950448,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.001,515658,batch,1.3388703810051083e-05,6.903992229283322,0.0019177756192453673,2266.0,1168481028.0,324578.06333333335,13524.085972222223,169247152.834831,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.002,128915,batch,1.3388703810051083e-05,1.7260047516727355,0.00047944576435353766,2266.0,292121390.0,81144.83055555556,3381.0346064814817,169247152.834831,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.005,20627,batch,1.3388703810051083e-05,0.2761687934899237,7.671355374720103e-05,2266.0,46740782.0,12983.550555555556,540.9812731481481,169247152.83483103,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.01,5157,batch,1.3388703810051083e-05,0.06904554554843344,1.9179318207898176e-05,2266.0,11685762.0,3246.045,135.251875,169247152.834831,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.02,1290,batch,1.3388703810051083e-05,0.017271427914965897,4.797618865268305e-06,2266.0,2923140.0,811.9833333333333,33.83263888888889,169247152.83483103,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.05,207,batch,1.3388703810051083e-05,0.002771461688680574,7.698504690779372e-07,2266.0,469062.0,130.295,5.428958333333333,169247152.83483103,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.001,515658,single_mc,0.012867551110684872,6635.25567063354,1.8431265751759833,2266.0,1168481028.0,324578.06333333335,13524.085972222223,176101.88453950448,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.002,128915,single_mc,0.012867551110684872,1658.8203514339402,0.4607834309538723,2266.0,292121390.0,81144.83055555556,3381.0346064814817,176101.88453950448,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.005,20627,single_mc,0.012867551110684872,265.4189767600969,0.07372749354447136,2266.0,46740782.0,12983.550555555556,540.9812731481481,176101.88453950448,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.01,5157,single_mc,0.012867551110684872,66.35796107780189,0.01843276696605608,2266.0,11685762.0,3246.045,135.251875,176101.88453950448,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.02,1290,single_mc,0.012867551110684872,16.599140932783484,0.004610872481328745,2266.0,2923140.0,811.9833333333333,33.83263888888889,176101.88453950448,fallback,fallback_bnn-baseline
bnn-phy-mono,Physics-regularized BNN,131.0,0.84025,0.05,207,single_mc,0.012867551110684872,2.663583079911769,0.0007398841888643802,2266.0,469062.0,130.295,5.428958333333333,176101.88453950448,fallback,fallback_bnn-baseline
bnn-data-mono-ineq,Data+inequality BNN,131.0,0.8157,0.001,577522,batch,1.3388703810051083e-05,7.732271001788321,0.0021478530560523116,2266.0,1308664852.0,363518.01444444444,15146.583935185185,169247152.83483103,fallback,fallback_bnn-baseline
bnn-data-mono-ineq,Data+inequality BNN,131.0,0.8157,0.002,144381,batch,1.3388703810051083e-05,1.9330744447989854,0.0005369651235552737,2266.0,327167346.0,90879.81833333333,3786.659097222222,169247152.83483103,fallback,fallback_bnn-baseline
bnn-data-mono-ineq,Data+inequality BNN,131.0,0.8157,0.005,23101,batch,1.3388703810051083e-05,0.3092924467159901,8.591456853221948e-05,2266.0,52346866.0,14540.79611111111,605.8665046296296,169247152.834831,fallback,fallback_bnn-baseline
bnn-data-mono-ineq,Data+inequality BNN,131.0,0.8157,0.01,5776,batch,1.3388703810051083e-05,0.07733315320685506,2.148143144634863e-05,2266.0,13088416.0,3635.6711111111113,151.4862962962963,169247152.834831,fallback,fallback_bnn-baseline
