model_id,model_label,output,output_label,epistemic_var_mean,aleatoric_var_mean,total_var_mean,frac_epistemic_mean,frac_epistemic_median,frac_epistemic_std
bnn-baseline,Reference surrogate,iteration2_keff,$k_{\mathrm{eff}}$,5.907278103036134e-08,1.9645232588695242e-07,2.5552510691731375e-07,0.23496100274448575,0.233721789432216,0.05239699682640279
bnn-baseline,Reference surrogate,iteration2_max_fuel_temp,Max fuel temp,3.1676357683069756,24.01399453601219,27.18163030431917,0.11186003447880895,0.10737605523005858,0.02916920760858639
bnn-baseline,Reference surrogate,iteration2_max_monolith_temp,Max monolith temp,4.434012703475643,31.28682932522388,35.72084202869952,0.1203695506086065,0.1130068262891984,0.04122026464319212
bnn-baseline,Reference surrogate,iteration2_max_global_stress,Max stress,63.734536524727616,141.7974880238452,205.53202454857282,0.3001818562189098,0.29319625149080836,0.061741019901851935
bnn-baseline,Reference surrogate,iteration2_wall2,Wall expansion,2.7300797063994806e-05,3.716525987704145e-05,6.446605694103625e-05,0.42023260365599213,0.4214923563234951,0.0725854460660343
bnn-data-mono,Data-monotone BNN,iteration2_keff,$k_{\mathrm{eff}}$,7.442833963664176e-08,2.0129233234012122e-07,2.7572067197676296e-07,0.27130441382646736,0.2639285542252627,0.06390329544820748
bnn-data-mono,Data-monotone BNN,iteration2_max_fuel_temp,Max fuel temp,3.6802344184141114,23.783116770642327,27.463351189056432,0.12686803816158024,0.11635727574058007,0.041706569833217445
bnn-data-mono,Data-monotone BNN,iteration2_max_monolith_temp,Max monolith temp,4.701046434956626,30.96464430644047,35.66569074139709,0.12826087828356722,0.12152275603392433,0.040524885007988634
bnn-data-mono,Data-monotone BNN,iteration2_max_global_stress,Max stress,85.5592029571376,164.45158104858328,250.01078400572086,0.3433937737204558,0.3389692301288556,0.07416187169593634
bnn-data-mono,Data-monotone BNN,iteration2_wall2,Wall expansion,3.150848168710853e-05,4.2666845327388486e-05,7.417532701449702e-05,0.4238425495052551,0.41964197116355023,0.05913521309037421
bnn-phy-mono,Physics-regularized BNN,iteration2_keff,$k_{\mathrm{eff}}$,3.9096209762086784e-08,1.7358887943234453e-07,2.126850891944313e-07,0.2107038126168995,0.20990235282823,0.059749502541185134
bnn-phy-mono,Physics-regularized BNN,iteration2_max_fuel_temp,Max fuel temp,2.5346701409191543,22.163947994945485,24.698618135864642,0.1008595868111669,0.09280201305958807,0.03351750876508366
bnn-phy-mono,Physics-regularized BNN,iteration2_max_monolith_temp,Max monolith temp,3.154146661148533,28.85040192540837,32.0045485865569,0.0983876637957659,0.09191031824095001,0.037571455430930614
bnn-phy-mono,Physics-regularized BNN,iteration2_max_global_stress,Max stress,52.229888360555705,115.36087420250131,167.59076256305704,0.3138794241699469,0.31333855217949286,0.06764193112601143
bnn-phy-mono,Physics-regularized BNN,iteration2_wall2,Wall expansion,1.830754775277671e-05,2.6503530075695526e-05,4.481107782847224e-05,0.4202465632738879,0.419169941818581,0.069628542346484
bnn-data-mono-ineq,Data+inequality BNN,iteration2_keff,$k_{\mathrm{eff}}$,1.4273591615948982e-07,6.816468557421753e-07,8.24382771901665e-07,0.1938192189994092,0.17900491271609154,0.09800113050698607
bnn-data-mono-ineq,Data+inequality BNN,iteration2_max_fuel_temp,Max fuel temp,4.912355135297413,28.606215430541194,33.51857056583861,0.1353813415464542,0.12496119363433075,0.050052776710466984
bnn-data-mono-ineq,Data+inequality BNN,iteration2_max_monolith_temp,Max monolith temp,5.7546384251867115,35.33597204803818,41.09061047322489,0.13216844655217277,0.12455540934129783,0.04725223504647914
bnn-data-mono-ineq,Data+inequality BNN,iteration2_max_global_stress,Max stress,112.23948995920428,277.78825319247903,390.0277431516833,0.2852419209303199,0.282785473883498,0.08388001007875223
bnn-data-mono-ineq,Data+inequality BNN,iteration2_wall2,Wall expansion,6.227139090940626e-05,0.00011558617474277228,0.00017785756565217851,0.3355489687928103,0.3299696166181621,0.10425160230254972
