model_id,model_label,output,output_label,nominal_alpha,empirical_coverage,interval_score,MPIW_alpha
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_keff,$k_{\mathrm{eff}}$,0.5,0.8068965517241379,0.0008112446924505855,0.0007080606910705115
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_keff,$k_{\mathrm{eff}}$,0.68,0.9448275862068966,0.0010883095772101278,0.0010439543904430214
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_keff,$k_{\mathrm{eff}}$,0.8,0.9816091954022989,0.0013572800320074323,0.0013453374004248541
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_keff,$k_{\mathrm{eff}}$,0.9,1.0,0.0017267218597028671,0.0017267218597028617
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_keff,$k_{\mathrm{eff}}$,0.95,1.0,0.002057516000744717,0.002057516000744715
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_keff,$k_{\mathrm{eff}}$,0.99,1.0,0.0027040343848372802,0.002704034384837275
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_fuel_temp,Max fuel temp,0.5,0.32413793103448274,11.636389219414731,3.6428158093857883
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_fuel_temp,Max fuel temp,0.68,0.47586206896551725,14.672665985120505,5.37091467686748
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_fuel_temp,Max fuel temp,0.8,0.5839080459770115,18.250699176954356,6.921463672578871
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_fuel_temp,Max fuel temp,0.9,0.6988505747126437,24.776888502670545,8.883602448580522
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_fuel_temp,Max fuel temp,0.95,0.774712643678161,33.64307189162007,10.585465215199573
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_fuel_temp,Max fuel temp,0.99,0.8620689655172413,72.56339538970691,13.91165945297063
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_monolith_temp,Max monolith temp,0.5,0.32413793103448274,13.093791520392061,4.08943995451692
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_monolith_temp,Max monolith temp,0.68,0.47126436781609193,16.541961690196665,6.029410824256455
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_monolith_temp,Max monolith temp,0.8,0.6045977011494252,20.663352293445875,7.7700634804135
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_monolith_temp,Max monolith temp,0.9,0.6919540229885057,28.290038280540273,9.972768510465785
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_monolith_temp,Max monolith temp,0.95,0.7609195402298851,38.417846700969015,11.883286625871166
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_monolith_temp,Max monolith temp,0.99,0.8735632183908046,83.45791871003736,15.617285906696287
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_global_stress,Max stress,0.5,0.7241379310344828,20.54760761034106,15.84676445348704
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_global_stress,Max stress,0.68,0.8804597701149425,26.274954692103766,23.36423915938973
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_global_stress,Max stress,0.8,0.9494252873563218,32.05973475787376,30.10934678885624
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_global_stress,Max stress,0.9,0.9862068965517241,40.29782946197864,38.64492822787338
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_global_stress,Max stress,0.95,0.9908045977011494,47.685489740437276,46.04827218100042
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_global_stress,Max stress,0.99,0.9977011494252873,63.34934281187373,60.517687976522375
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_wall2,Wall expansion,0.5,1.0,0.01164547864244647,0.011645478642446564
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_wall2,Wall expansion,0.68,1.0,0.017169924430082355,0.01716992443008229
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_wall2,Wall expansion,0.8,1.0,0.022126772692105213,0.02212677269210532
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_wall2,Wall expansion,0.9,1.0,0.028399405294217542,0.028399405294217635
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_wall2,Wall expansion,0.95,1.0,0.033839978613893505,0.03383997861389334
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_wall2,Wall expansion,0.99,1.0,0.04447327054613702,0.044473270546137034
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_keff,$k_{\mathrm{eff}}$,0.5,0.7977011494252874,0.0008492103016455892,0.0007088739931919461
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_keff,$k_{\mathrm{eff}}$,0.68,0.9172413793103448,0.0011255581893430257,0.0010451535112685885
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_keff,$k_{\mathrm{eff}}$,0.8,0.960919540229885,0.0013827165563334131,0.0013468826998258934
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_keff,$k_{\mathrm{eff}}$,0.9,0.993103448275862,0.001739480620504581,0.0017287052300118393
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_keff,$k_{\mathrm{eff}}$,0.95,1.0,0.0020598793322350708,0.002059879332235073
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_keff,$k_{\mathrm{eff}}$,0.99,1.0,0.002707140328903026,0.002707140328903023
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_fuel_temp,Max fuel temp,0.5,0.3264367816091954,11.73357818595603,3.611033193998002
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_fuel_temp,Max fuel temp,0.68,0.4666666666666667,14.7704634174318,5.324054850736365
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_fuel_temp,Max fuel temp,0.8,0.5770114942528736,18.333894102056842,6.861075711908634
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_fuel_temp,Max fuel temp,0.9,0.6689655172413793,24.65786174485569,8.80609534016352
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_fuel_temp,Max fuel temp,0.95,0.7632183908045977,32.707956785582,10.493109799158868
