input,output,output_label,expected_sign,confidence,perturb_delta,n_test,violation_rate,mean_viol_magnitude,max_viol_magnitude,viol_mag_over_output_std,is_primary_output,model_id,model_label
E_intercept,iteration2_max_global_stress,Max. global stress,+,high,20000000000.0,435,0.0,0.0,0.0,0.0,True,bnn-baseline,Bayesian surrogate (unregularized)
alpha_base,iteration2_max_global_stress,Max. global stress,+,high,1e-06,435,0.0,0.0,0.0,0.0,True,bnn-baseline,Bayesian surrogate (unregularized)
alpha_slope,iteration2_max_global_stress,Max. global stress,+,medium,5e-10,435,0.0,0.0,0.0,0.0,True,bnn-baseline,Bayesian surrogate (unregularized)
SS316_k_ref,iteration2_max_global_stress,Max. global stress,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-baseline,Bayesian surrogate (unregularized)
E_slope,iteration2_max_global_stress,Max. global stress,+,medium,7000000.0,435,0.0,0.0,0.0,0.0,True,bnn-baseline,Bayesian surrogate (unregularized)
E_intercept,iteration1_max_global_stress,Max. global stress (uncoupled),+,high,20000000000.0,435,0.0,0.0,0.0,0.0,False,bnn-baseline,Bayesian surrogate (unregularized)
alpha_base,iteration1_max_global_stress,Max. global stress (uncoupled),+,high,1e-06,435,0.0,0.0,0.0,0.0,False,bnn-baseline,Bayesian surrogate (unregularized)
SS316_k_ref,iteration1_max_global_stress,Max. global stress (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-baseline,Bayesian surrogate (unregularized)
SS316_k_ref,iteration2_max_fuel_temp,Max. fuel temp.,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-baseline,Bayesian surrogate (unregularized)
SS316_alpha,iteration2_max_fuel_temp,Max. fuel temp.,-,medium,0.0013333333333333333,435,0.3724137931034483,1.1696754693984985,5.51806640625,0.20452682673931122,True,bnn-baseline,Bayesian surrogate (unregularized)
SS316_k_ref,iteration1_max_fuel_temp,Max. fuel temp. (uncoupled),-,high,2.32,435,0.0,0.0,0.0,0.0,False,bnn-baseline,Bayesian surrogate (unregularized)
SS316_k_ref,iteration2_max_monolith_temp,Max. monolith temp.,-,high,2.32,435,0.0,0.0,0.0,0.0,True,bnn-baseline,Bayesian surrogate (unregularized)
