model,output,subset,n_cal,n_eval,q_hat,z_raw,picp_raw_90,mpiw_raw_90,picp_conf_90,mpiw_conf_90,coverage_gap_raw,coverage_gap_conf
bnn-baseline,iteration2_keff,all_eval,250,251,1.2407,1.6449,0.9522,0.001319,0.9124,0.000995,0.0522,0.0124
bnn-baseline,iteration2_max_fuel_temp,all_eval,250,251,1.3556,1.6449,0.9323,15.247674,0.9124,12.565858,0.0323,0.0124
bnn-baseline,iteration2_max_monolith_temp,all_eval,250,251,1.3205,1.6449,0.9283,17.255775,0.9044,13.852909,0.0283,0.0044
bnn-baseline,iteration2_max_global_stress,all_eval,250,251,0.8817,1.6449,0.988,39.371073,0.8486,21.104076,0.088,-0.0514
bnn-baseline,iteration2_max_global_stress,near_threshold_110_150,250,87,0.8817,1.6449,0.9885,32.944382,0.8966,17.659177,0.0885,-0.0034
bnn-baseline,iteration2_wall2,all_eval,250,251,0.41,1.6449,1.0,0.018019,0.8486,0.004491,0.1,-0.0514
bnn-phy-mono,iteration2_keff,all_eval,250,251,1.055,1.6449,0.9721,0.001295,0.8526,0.000831,0.0721,-0.0474
bnn-phy-mono,iteration2_max_fuel_temp,all_eval,250,251,1.3613,1.6449,0.9323,15.75061,0.9203,13.03492,0.0323,0.0203
bnn-phy-mono,iteration2_max_monolith_temp,all_eval,250,251,1.354,1.6449,0.9363,17.580089,0.9084,14.470769,0.0363,0.0084
bnn-phy-mono,iteration2_max_global_stress,all_eval,250,251,0.8824,1.6449,0.9841,39.008089,0.8685,20.925361,0.0841,-0.0315
bnn-phy-mono,iteration2_max_global_stress,near_threshold_110_150,250,87,0.8824,1.6449,0.9885,34.530639,0.9425,18.523494,0.0885,0.0425
bnn-phy-mono,iteration2_wall2,all_eval,250,251,0.32,1.6449,1.0,0.019641,0.9044,0.003821,0.1,0.0044
bnn-baseline-homo,iteration2_keff,all_eval,250,251,0.3721,1.6449,1.0,0.004102,0.8964,0.000928,0.1,-0.0036
bnn-baseline-homo,iteration2_max_fuel_temp,all_eval,250,251,1.2566,1.6449,0.9243,15.654755,0.8845,11.958935,0.0243,-0.0155
bnn-baseline-homo,iteration2_max_monolith_temp,all_eval,250,251,1.2721,1.6449,0.9283,17.64014,0.8924,13.642527,0.0283,-0.0076
bnn-baseline-homo,iteration2_max_global_stress,all_eval,250,251,0.797,1.6449,0.992,44.847199,0.8526,21.730183,0.092,-0.0474
bnn-baseline-homo,iteration2_max_global_stress,near_threshold_110_150,250,87,0.797,1.6449,1.0,44.189665,0.9655,21.411583,0.1,0.0655
bnn-baseline-homo,iteration2_wall2,all_eval,250,251,0.3424,1.6449,1.0,0.031581,0.9163,0.006574,0.1,0.0163
bnn-mf-hybrid,iteration2_keff,all_eval,250,251,0.8989,1.6449,0.996,0.00197,0.9004,0.001077,0.096,0.0004
bnn-mf-hybrid,iteration2_max_fuel_temp,all_eval,250,251,1.1516,1.6449,0.9482,18.161629,0.8964,12.714995,0.0482,-0.0036
bnn-mf-hybrid,iteration2_max_monolith_temp,all_eval,250,251,1.2687,1.6449,0.9402,18.628648,0.9084,14.367718,0.0402,0.0084
bnn-mf-hybrid,iteration2_max_global_stress,all_eval,250,251,0.7939,1.6449,0.992,46.779978,0.9084,22.579186,0.092,0.0084
bnn-mf-hybrid,iteration2_max_global_stress,near_threshold_110_150,250,87,0.7939,1.6449,0.9885,42.801357,0.954,20.658834,0.0885,0.054
bnn-mf-hybrid,iteration2_wall2,all_eval,250,251,0.2739,1.6449,1.0,0.030553,0.9243,0.005087,0.1,0.0243
