model,bin,n,PICP_90,MPIW,CRPS,eff,mean_ale_std,mean_epi_std
bnn-baseline,low (<110 MPa),11,1.0,37.48,3.542,0.02668,8.568,7.491
bnn-baseline,near-threshold (110-150 MPa),166,0.994,34.11,3.687,0.02914,8.32,6.104
bnn-baseline,high (>150 MPa),324,0.9877,43.42,4.832,0.02275,11.184,6.941
bnn-baseline,all,501,0.99,40.21,4.424,0.02462,10.178,6.676
bnn-baseline-homo,low (<110 MPa),11,1.0,47.45,5.372,0.02107,11.771,8.274
bnn-baseline-homo,near-threshold (110-150 MPa),166,1.0,44.66,4.221,0.02239,11.771,6.625
bnn-baseline-homo,high (>150 MPa),324,0.9877,45.36,4.897,0.02177,11.771,6.979
bnn-baseline-homo,all,501,0.992,45.17,4.683,0.02196,11.771,6.89
bnn-phy-mono,low (<110 MPa),11,1.0,37.15,3.637,0.02692,9.152,6.577
bnn-phy-mono,near-threshold (110-150 MPa),166,0.994,35.1,3.699,0.02832,8.962,5.704
bnn-phy-mono,high (>150 MPa),324,0.9815,41.64,4.708,0.02357,10.961,6.256
bnn-phy-mono,all,501,0.986,39.38,4.35,0.02504,10.259,6.08
bnn-mf-hybrid,low (<110 MPa),11,1.0,52.4,4.975,0.01908,12.444,9.922
bnn-mf-hybrid,near-threshold (110-150 MPa),166,0.994,43.96,4.207,0.02261,10.948,7.62
bnn-mf-hybrid,high (>150 MPa),324,0.9907,49.61,5.054,0.01997,12.778,7.949
bnn-mf-hybrid,all,501,0.992,47.8,4.772,0.02075,12.164,7.883
