case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,is_primary_tau,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,471,167.82,0.0,1.0,False,110.0,False,0.9,0.5998333333333333,1200,171.82484488013912,146.4792653091382,199.89432977312845
0,471,167.82,0.0,1.0,False,120.0,False,0.9,0.5998333333333333,1200,171.82484488013912,146.4792653091382,199.89432977312845
0,471,167.82,0.005833333333333334,0.9941666666666666,False,131.0,True,0.9,0.5998333333333333,1200,171.82484488013912,146.4792653091382,199.89432977312845
0,471,167.82,0.07916666666666666,0.9208333333333333,False,150.0,False,0.9,0.5998333333333333,1200,171.82484488013912,146.4792653091382,199.89432977312845
0,471,167.82,0.7033333333333334,0.2966666666666667,False,180.0,False,0.9,0.5998333333333333,1200,171.82484488013912,146.4792653091382,199.89432977312845
0,471,167.82,0.9508333333333333,0.049166666666666664,True,200.0,False,0.9,0.5998333333333333,1200,171.82484488013912,146.4792653091382,199.89432977312845
1,363,133.04,0.02,0.98,False,110.0,False,0.9,0.6036666666666667,1200,139.7370883097382,115.66476617726829,165.53724820794685
1,363,133.04,0.08666666666666667,0.9133333333333333,False,120.0,False,0.9,0.6036666666666667,1200,139.7370883097382,115.66476617726829,165.53724820794685
1,363,133.04,0.285,0.715,False,131.0,True,0.9,0.6036666666666667,1200,139.7370883097382,115.66476617726829,165.53724820794685
1,363,133.04,0.76,0.24,False,150.0,False,0.9,0.6036666666666667,1200,139.7370883097382,115.66476617726829,165.53724820794685
1,363,133.04,0.9925,0.0075,True,180.0,False,0.9,0.6036666666666667,1200,139.7370883097382,115.66476617726829,165.53724820794685
1,363,133.04,0.9991666666666666,0.0008333333333333334,True,200.0,False,0.9,0.6036666666666667,1200,139.7370883097382,115.66476617726829,165.53724820794685
2,124,188.59,0.0,1.0,False,110.0,False,0.9,0.5898333333333333,1200,184.27259623593972,158.97288179539092,211.19494884689166
2,124,188.59,0.0,1.0,False,120.0,False,0.9,0.5898333333333333,1200,184.27259623593972,158.97288179539092,211.19494884689166
2,124,188.59,0.0008333333333333334,0.9991666666666666,False,131.0,True,0.9,0.5898333333333333,1200,184.27259623593972,158.97288179539092,211.19494884689166
2,124,188.59,0.014166666666666666,0.9858333333333333,False,150.0,False,0.9,0.5898333333333333,1200,184.27259623593972,158.97288179539092,211.19494884689166
2,124,188.59,0.4066666666666667,0.5933333333333334,False,180.0,False,0.9,0.5898333333333333,1200,184.27259623593972,158.97288179539092,211.19494884689166
2,124,188.59,0.8433333333333334,0.15666666666666668,False,200.0,False,0.9,0.5898333333333333,1200,184.27259623593972,158.97288179539092,211.19494884689166
