category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95,stress_epistemic_mean,stress_aleatoric_mean
low_stress,0,0.5,120.44,0.42045,127.91196850252166,17.130028556450885,100.22100892805062,156.39883511735079,6.311291605484333,10.108594126211965
low_stress,0,1.0,120.44,0.4899,131.9805586588768,28.303300308195002,88.83537997718345,180.57157382948586,8.739352626994977,12.252408818939696
low_stress,0,1.5,120.44,0.5261,136.5251597439684,43.060443586988484,75.45931736884506,206.60355379091004,12.316209424285644,16.96368611295347
low_stress,1,0.5,109.64,0.17245,112.28599577818859,19.996550465398368,78.41101395669774,143.55300652304354,9.394017704775306,13.087491070339988
low_stress,1,1.0,109.64,0.2981,115.8886046499316,29.61953795141395,66.98058879748883,162.8661856013307,11.295460182994038,15.227130058814788
low_stress,1,1.5,109.64,0.37755,120.61865706739734,39.447080246080525,58.47203453074463,183.4436807799225,12.042175577244699,18.53566286779958
low_stress,2,0.5,117.99,0.3699,124.90476598596713,18.444921349210155,94.06124947511793,154.8336448840902,7.403783141412249,10.608688143231404
low_stress,2,1.0,117.99,0.4455,127.77770712405867,29.074073204596246,82.14713531271357,177.03683582534924,9.880667185710015,12.45601218397244
low_stress,2,1.5,117.99,0.5077,134.21548190860776,40.03276790968446,74.19553821343118,202.44926434579455,11.742280903353338,15.68609873906941
near_threshold,0,0.5,125.58,0.4193,127.78809198849746,18.797423452214705,98.2679682241253,159.57448598639235,7.258429830511808,11.294785223836847
near_threshold,0,1.0,125.58,0.43225,129.27479993840436,29.377449510912054,86.77507457118121,181.0210849749275,9.070358272021533,13.066395274021264
near_threshold,0,1.5,125.58,0.48495,134.44112429704475,43.347120985669456,76.38841972181825,206.59565353974318,10.930988106596814,17.044811460831692
near_threshold,1,0.5,126.57,0.44395,128.18506856779135,20.19578285069944,95.13480590303152,161.02612691810268,9.951452488058177,13.462734661478386
near_threshold,1,1.0,126.57,0.50345,132.59103965126553,30.043531089960645,86.8089570409299,182.44719043870757,10.637234472785936,15.51579794060301
near_threshold,1,1.5,126.57,0.51775,135.56221871934432,45.06726960903614,73.77743453105421,204.1952403031465,13.680392207080452,21.084599895712497
near_threshold,2,0.5,121.54,0.35035,123.87884030904789,18.592962304452243,92.99408015133234,154.25212223326275,8.592691076383732,11.337434202696285
near_threshold,2,1.0,121.54,0.4561,128.9744734556585,26.442374618860477,87.0520309879338,173.3181387094388,8.948628611724146,12.227344283609717
near_threshold,2,1.5,121.54,0.50535,133.03924234181088,37.869614586787655,74.66718797551984,196.7632392901133,12.73635580090988,15.080965203308129
above_threshold,0,0.5,161.64,0.91105,155.38207092548902,18.29186190860131,125.42169731193182,185.400861139292,7.954436109411618,10.378656689200753
above_threshold,0,1.0,161.64,0.81365,155.54462566225504,28.263949377932278,109.98846399385637,202.2898646667461,9.244485060869241,11.649840667344604
above_threshold,0,1.5,161.64,0.763,158.65633669880233,40.56192761169743,96.16310954025028,225.38152232327013,12.776870990786609,16.070425968416988
above_threshold,1,0.5,171.01,0.92195,159.359727582212,20.256102703381927,126.18722612227481,192.56157058101613,8.081986772700438,12.22532860260167
above_threshold,1,1.0,171.01,0.82475,159.00423002598797,30.4040575127451,110.77213904607089,208.84427005972037,10.445794642584753,13.988246915971391
above_threshold,1,1.5,171.01,0.764,160.3607509839728,42.70736651791766,94.07444170165581,230.47175996208162,12.542957544470049,17.12882260765768
above_threshold,2,0.5,156.65,0.9347,158.64385861875073,18.588279621825855,128.93316245034075,189.55913697998733,7.20616414645365,10.649824661312403
above_threshold,2,1.0,156.65,0.81905,156.72100257278726,28.669876186414182,111.50990356621112,205.33666340144455,8.869152787341825,12.091680174524807
above_threshold,2,1.5,156.65,0.7497,159.03362713369572,41.91276245332515,96.0622921180633,230.54641904796796,13.356981167277764,15.59590232926991
extreme_stress,0,0.5,202.47,0.99985,203.19428239409487,21.908908865718786,169.01808576323663,241.10166238762733,9.717544330718436,13.14521771179984
extreme_stress,0,1.0,202.47,0.9884,200.29820758252725,32.4736153236548,149.34206822294132,255.61998091939395,11.001428158332457,14.865632953766877
extreme_stress,0,1.5,202.47,0.94635,199.21290871287175,48.07331049977294,129.98531671634132,279.67397688128034,15.403458961489173,19.69538651798066
extreme_stress,1,0.5,181.33,0.9942,177.25212198237065,18.90676224859024,147.1565874654334,208.9835216199881,8.648611656426734,11.189534460352265
extreme_stress,1,1.0,181.33,0.9508,176.19450119010585,28.214706900235836,131.26967144700865,223.14565766320902,9.76107831973382,12.456818685436208
extreme_stress,1,1.5,181.33,0.8854,174.13335711963182,37.58696550742201,116.58973904005073,236.35920608838464,11.49384742785155,14.616179352878287
extreme_stress,2,0.5,199.06,0.9989,195.41390265378487,22.17881723313177,159.67931438140343,232.4427734892946,11.453665786465056,14.77691114379493
extreme_stress,2,1.0,199.06,0.98145,190.7335775180432,31.305056604077397,143.34883088230043,243.0811811574134,13.996072029456093,17.341281720497143
extreme_stress,2,1.5,199.06,0.9406,192.03264496531324,46.545229501106554,127.90403009011571,266.18392075939437,15.05670764069013,21.699102754576312
