category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95,stress_epistemic_mean,stress_aleatoric_mean
low_stress,0,0.5,120.44,0.45745,129.6244629185491,16.45826459811051,103.20857227675253,157.10203819808302,5.528685727427842,8.374928338532303
low_stress,0,1.0,120.44,0.4819,131.30966299373327,28.165044614430688,88.23300337603938,180.1288543468329,7.743522581133696,10.220078011070223
low_stress,0,1.5,120.44,0.48245,132.22300888990904,42.61174760390897,68.43961565287523,205.31167762398547,10.172205550591418,13.054297164735742
low_stress,1,0.5,109.64,0.12585,111.95957679197579,16.71346459574587,84.2924790486563,138.88520382504086,7.753738507298358,9.039721644367498
low_stress,1,1.0,109.64,0.2454,113.01355943347798,27.465436915528937,69.67589992881281,159.0583178342176,8.700518008777546,10.150703398579772
low_stress,1,1.5,109.64,0.32425,116.07408798408599,38.78494743879616,56.08766604463395,181.57023162949054,10.805464414409387,13.171490916566373
low_stress,2,0.5,117.99,0.3542,125.05196497444852,16.346894443033428,98.3019780251727,152.07482403593846,5.437955904507887,8.177372444615138
low_stress,2,1.0,117.99,0.42715,126.75998869139308,28.038981040461444,82.80349796325558,174.53248517829306,7.297497032159857,9.538162204498558
low_stress,2,1.5,117.99,0.4467,128.37263750054024,41.66258458009574,65.73345950645869,200.21973950962195,9.275511945582114,12.020226069229466
near_threshold,0,0.5,125.58,0.3746,126.0562619103305,17.095334008137353,98.86670251202693,154.7706848957401,5.559261046887573,8.277588542216435
near_threshold,0,1.0,125.58,0.4336,128.0150134887664,30.59428692375815,81.5607369502692,180.68835850456034,8.11503706597711,10.083770528852751
near_threshold,0,1.5,125.58,0.46685,131.98892737374834,44.07622110752565,69.79381237067474,208.19185538374006,9.683116578082743,13.029125738615683
near_threshold,1,0.5,126.57,0.371,125.52823119352327,18.242957104187386,96.23190549486726,155.82334977755824,9.224650576562887,9.195738532160071
near_threshold,1,1.0,126.57,0.4281,127.84742867735812,30.36712461310817,81.94816884929755,181.3763779499939,9.772739100608181,10.604745740296503
near_threshold,1,1.5,126.57,0.4638,132.1043574483239,44.1179521226887,68.54993347745959,210.05224576564152,12.898487817675587,13.448016714433226
near_threshold,2,0.5,121.54,0.40115,126.55907726454339,17.130394425394464,98.09909480342138,154.6565243757182,7.123563929653878,10.422266193089495
near_threshold,2,1.0,121.54,0.44615,127.54463640238112,27.162984849233705,83.5161194122167,171.78958538343787,9.376949473617211,11.72196214555551
near_threshold,2,1.5,121.54,0.46885,129.57416763866317,38.7909003461614,69.1121912467419,194.39560163807474,11.100612293912684,14.122165046275326
above_threshold,0,0.5,161.64,0.89655,152.45347728812288,17.268356125327088,124.55709473395223,181.28901368423982,6.37732919413814,9.062017565008562
above_threshold,0,1.0,161.64,0.7662,151.74888938814294,28.41847057891443,107.01475935954564,200.17512421414895,7.594631597592135,10.10036883269074
above_threshold,0,1.5,161.64,0.69715,153.3311241118661,41.19171876224945,90.57164955156523,224.49963855852778,10.005303594146518,12.364637418705945
above_threshold,1,0.5,171.01,0.9103,157.57002101922959,20.037151413487184,124.67072565339126,190.70413698072548,8.176037745946907,11.80199770249937
above_threshold,1,1.0,171.01,0.7772,154.489840527895,30.94484403769431,105.33031604808947,205.87303264272612,8.12002696045223,12.997491899762998
above_threshold,1,1.5,171.01,0.70625,154.35220932118358,43.93630801612969,85.86622006416783,227.5645794343867,11.5249478458769,15.817951580172867
above_threshold,2,0.5,156.65,0.94125,159.38909390949937,18.779750678905028,129.5599361681423,191.1302078319078,7.3254111994764175,9.264839511753738
above_threshold,2,1.0,156.65,0.83095,161.37519378113308,31.9024355611622,112.35629388688643,216.82332053980684,7.799837748211844,10.787523354837475
above_threshold,2,1.5,156.65,0.74385,163.1256175019536,48.29687213072324,92.93293525491998,246.17774696046877,10.884893724418356,14.924595230430603
extreme_stress,0,0.5,202.47,0.99985,204.99392684627398,22.85286985786489,169.3411612105723,244.5338297963855,8.757564707347788,13.276262621444179
extreme_stress,0,1.0,202.47,0.98725,203.17080499963095,35.10990958038165,148.8348618705995,263.2983195110865,10.841085740712629,14.626893979212031
extreme_stress,0,1.5,202.47,0.93645,204.11144936205764,52.47126280696754,126.58675509956655,293.4452897318369,13.725993918190747,18.445165460975403
extreme_stress,1,0.5,181.33,0.9933,174.87879143119102,18.109528821878246,145.89544916281687,205.29585638668425,5.8714131746925275,9.977056330466738
extreme_stress,1,1.0,181.33,0.93175,174.48011467541485,30.699973044582606,126.90909615315287,227.44933227168477,7.780215549622677,10.918432646416466
extreme_stress,1,1.5,181.33,0.85685,174.67080951909318,42.42876314093006,111.36903159725696,247.81660073746443,10.670098876650462,13.610819275867375
extreme_stress,2,0.5,199.06,0.9999,206.1465786183382,23.13848187128386,169.4197078657154,245.433760553871,11.79593917455647,11.447895336222276
extreme_stress,2,1.0,199.06,0.98835,202.97681085319118,36.684378528616264,148.10938348074046,267.1060794981704,12.753877585202012,13.649036606537202
extreme_stress,2,1.5,199.06,0.94325,201.51072052528414,49.5538891725165,128.81714175200221,286.4970688951135,12.752455601179392,17.210565446507434
