model_id,output,input,prcc,p_value,abs_prcc,sign
bnn-baseline,iteration2_max_global_stress,E_slope,0.602068758587246,9.620744062135305e-231,0.602068758587246,+
bnn-baseline,iteration2_max_global_stress,E_intercept,0.9209156847837764,0.0,0.9209156847837764,+
bnn-baseline,iteration2_max_global_stress,nu,0.5729768164112237,3.247918488116176e-204,0.5729768164112237,+
bnn-baseline,iteration2_max_global_stress,alpha_base,0.7340987334940086,0.0,0.7340987334940086,+
bnn-baseline,iteration2_max_global_stress,alpha_slope,0.46924742571319383,2.1496736576628804e-128,0.46924742571319383,+
bnn-baseline,iteration2_max_global_stress,SS316_T_ref,0.3645287838049356,1.992763853544318e-74,0.3645287838049356,+
bnn-baseline,iteration2_max_global_stress,SS316_k_ref,-0.550353348711381,2.371087912570224e-185,0.550353348711381,-
bnn-baseline,iteration2_max_global_stress,SS316_alpha,-0.05562702029113452,0.007124956185222327,0.05562702029113452,-
bnn-baseline,iteration2_keff,E_slope,-0.039028219108890136,0.05912805841225066,0.039028219108890136,-
bnn-baseline,iteration2_keff,E_intercept,0.024448451230735406,0.23722547496629967,0.024448451230735406,+
bnn-baseline,iteration2_keff,nu,-0.2000587221573139,1.5260865161017229e-22,0.2000587221573139,-
bnn-baseline,iteration2_keff,alpha_base,-0.8877368671662847,0.0,0.8877368671662847,-
bnn-baseline,iteration2_keff,alpha_slope,-0.7174227258026271,0.0,0.7174227258026271,-
bnn-baseline,iteration2_keff,SS316_T_ref,-0.04357588199397786,0.03508777815959763,0.04357588199397786,-
bnn-baseline,iteration2_keff,SS316_k_ref,0.1035972816029167,5.136734628811924e-07,0.1035972816029167,+
bnn-baseline,iteration2_keff,SS316_alpha,-0.07908300540305438,0.00012884241738514326,0.07908300540305438,-
