model_id,output,input,Sobol_ST,Spearman_rho,PRCC
bnn-baseline,iteration2_max_global_stress,E_slope,0.05483592884381785,0.2097505366728727,0.602068758587246
bnn-baseline,iteration2_max_global_stress,E_intercept,0.613800995758532,0.7555504883165911,0.9209156847837764
bnn-baseline,iteration2_max_global_stress,nu,0.06590715171172454,0.20399714658723747,0.5729768164112237
bnn-baseline,iteration2_max_global_stress,alpha_base,0.16037582237961612,0.30979074014370295,0.7340987334940086
bnn-baseline,iteration2_max_global_stress,alpha_slope,0.034790125839038226,0.1591035583449666,0.46924742571319383
bnn-baseline,iteration2_max_global_stress,SS316_T_ref,0.04013677134702864,0.071813743500438,0.3645287838049356
bnn-baseline,iteration2_max_global_stress,SS316_k_ref,0.0785724817584828,0.16187372695404256,0.550353348711381
bnn-baseline,iteration2_max_global_stress,SS316_alpha,0.008898375949801102,0.035292488411786206,0.05562702029113452
bnn-baseline,iteration2_keff,E_slope,0.002651672016182357,0.04852272560142968,0.039028219108890136
bnn-baseline,iteration2_keff,E_intercept,0.005328036755603156,0.021709811823951288,0.024448451230735406
bnn-baseline,iteration2_keff,nu,0.02826227962633617,0.03051834728912445,0.2000587221573139
bnn-baseline,iteration2_keff,alpha_base,0.7909207432248686,0.7983018499135422,0.8877368671662847
bnn-baseline,iteration2_keff,alpha_slope,0.18006540525331302,0.41230792268301314,0.7174227258026271
bnn-baseline,iteration2_keff,SS316_T_ref,0.007109413102735652,0.014876313313536631,0.04357588199397786
bnn-baseline,iteration2_keff,SS316_k_ref,0.005335954694439136,0.011574246308428815,0.1035972816029167
bnn-baseline,iteration2_keff,SS316_alpha,0.006332145773746876,0.02858733068452012,0.07908300540305438
