model_id,output,input,rho,p_value,abs_rho,sign,data_source
bnn-baseline,iteration2_max_global_stress,E_slope,0.2097505366728727,1.1467392262370473e-24,0.2097505366728727,+,train_split
bnn-baseline,iteration2_max_global_stress,E_intercept,0.7555504883165911,0.0,0.7555504883165911,+,train_split
bnn-baseline,iteration2_max_global_stress,nu,0.20399714658723747,2.1545199365404869e-23,0.20399714658723747,+,train_split
bnn-baseline,iteration2_max_global_stress,alpha_base,0.30979074014370295,3.343842178288919e-53,0.30979074014370295,+,train_split
bnn-baseline,iteration2_max_global_stress,alpha_slope,0.1591035583449666,9.941970553835876e-15,0.1591035583449666,+,train_split
bnn-baseline,iteration2_max_global_stress,SS316_T_ref,0.071813743500438,0.0005093798600783758,0.071813743500438,+,train_split
bnn-baseline,iteration2_max_global_stress,SS316_k_ref,-0.16187372695404256,3.3655128227844802e-15,0.16187372695404256,-,train_split
bnn-baseline,iteration2_max_global_stress,SS316_alpha,-0.035292488411786206,0.08791926903830774,0.035292488411786206,-,train_split
bnn-baseline,iteration2_keff,E_slope,0.04852272560142968,0.01893324708226389,0.04852272560142968,+,train_split
bnn-baseline,iteration2_keff,E_intercept,0.021709811823951288,0.293939497689412,0.021709811823951288,+,train_split
bnn-baseline,iteration2_keff,nu,-0.03051834728912445,0.14007281998217636,0.03051834728912445,-,train_split
bnn-baseline,iteration2_keff,alpha_base,-0.7983018499135422,0.0,0.7983018499135422,-,train_split
bnn-baseline,iteration2_keff,alpha_slope,-0.41230792268301314,1.1105103732534569e-96,0.41230792268301314,-,train_split
bnn-baseline,iteration2_keff,SS316_T_ref,0.014876313313536631,0.47206608998739663,0.014876313313536631,+,train_split
bnn-baseline,iteration2_keff,SS316_k_ref,-0.011574246308428815,0.5758292566200365,0.011574246308428815,-,train_split
bnn-baseline,iteration2_keff,SS316_alpha,-0.02858733068452012,0.16693533214860268,0.02858733068452012,-,train_split
