model_id,output,input,Sobol_ST,Spearman_rho,PRCC
bnn-mf-hybrid,iteration2_max_global_stress,E_slope,0.04868998614152712,0.2097505366728727,0.602068758587246
bnn-mf-hybrid,iteration2_max_global_stress,E_intercept,0.607300186917585,0.7555504883165911,0.9209156847837764
bnn-mf-hybrid,iteration2_max_global_stress,nu,0.07104978006537381,0.20399714658723747,0.5729768164112237
bnn-mf-hybrid,iteration2_max_global_stress,alpha_base,0.16536173742795984,0.30979074014370295,0.7340987334940086
bnn-mf-hybrid,iteration2_max_global_stress,alpha_slope,0.04218193185792526,0.1591035583449666,0.46924742571319383
bnn-mf-hybrid,iteration2_max_global_stress,SS316_T_ref,0.03783817001876232,0.071813743500438,0.3645287838049356
bnn-mf-hybrid,iteration2_max_global_stress,SS316_k_ref,0.08463842122150039,0.16187372695404256,0.550353348711381
bnn-mf-hybrid,iteration2_max_global_stress,SS316_alpha,0.011145090316104722,0.035292488411786206,0.05562702029113452
bnn-mf-hybrid,iteration2_keff,E_slope,0.017080089501060693,0.04852272560142968,0.039028219108890136
bnn-mf-hybrid,iteration2_keff,E_intercept,0.019448862123452103,0.021709811823951288,0.024448451230735406
bnn-mf-hybrid,iteration2_keff,nu,0.02308750193554479,0.03051834728912445,0.2000587221573139
bnn-mf-hybrid,iteration2_keff,alpha_base,0.7511688986901044,0.7983018499135422,0.8877368671662847
bnn-mf-hybrid,iteration2_keff,alpha_slope,0.22412913784837407,0.41230792268301314,0.7174227258026271
bnn-mf-hybrid,iteration2_keff,SS316_T_ref,0.021419501633462307,0.014876313313536631,0.04357588199397786
bnn-mf-hybrid,iteration2_keff,SS316_k_ref,0.020083302638045423,0.011574246308428815,0.1035972816029167
bnn-mf-hybrid,iteration2_keff,SS316_alpha,0.026351913540844443,0.02858733068452012,0.07908300540305438
