case_idx,row_idx,category,param,true_value,post_mean_pooled,post_std_pooled,rhat_classic,rhat_split_rank,ESS_total,ESS_per_chain_mean,n_chains,n_per_chain,mean_accept_rate,min_accept_rate,max_accept_rate,per_chain_accept
0,116,low,E_intercept,173599366504.33282,175489367593.2738,13804919845.48991,1.0029081223843725,1.0081328887362675,503.80647683672976,125.95161920918244,4,1200,0.6085,0.6018333333333333,0.6165,0.6083;0.6165;0.6018;0.6073
0,116,low,alpha_base,9.61367174813628e-06,9.270261715336126e-06,1.0117878903292007e-06,1.0044765023185016,1.0172616380707913,352.2367982566614,88.05919956416535,4,1200,0.6085,0.6018333333333333,0.6165,0.6083;0.6165;0.6018;0.6073
0,116,low,alpha_slope,4.0403847662065555e-09,4.793070772428446e-09,4.959687936549934e-10,1.0002372281152263,1.0001045720337314,624.8593970960666,156.21484927401664,4,1200,0.6085,0.6018333333333333,0.6165,0.6083;0.6165;0.6018;0.6073
0,116,low,SS316_k_ref,25.93687298123349,24.5527575480504,2.103817955231731,1.013472828062964,1.017422716677131,595.4663093990721,148.86657734976802,4,1200,0.6085,0.6018333333333333,0.6165,0.6083;0.6165;0.6018;0.6073
1,176,low,E_intercept,177381820506.77377,187242127162.40042,12621816392.40102,1.0003294440542834,1.0006039286575454,751.0617653683169,187.7654413420792,4,1200,0.6056250000000001,0.5986666666666667,0.61,0.6100;0.5987;0.6073;0.6065
1,176,low,alpha_base,9.710397038094874e-06,9.754760502604537e-06,9.58740538564125e-07,1.0011865511637381,1.0027652832111005,566.6425214373562,141.66063035933905,4,1200,0.6056250000000001,0.5986666666666667,0.61,0.6100;0.5987;0.6073;0.6065
1,176,low,alpha_slope,5.247653609670971e-09,4.910750270984277e-09,4.938281754692419e-10,1.0010994335055319,1.0048859960949563,665.1018624766427,166.27546561916068,4,1200,0.6056250000000001,0.5986666666666667,0.61,0.6100;0.5987;0.6073;0.6065
1,176,low,SS316_k_ref,22.94621709035822,23.812123557815994,2.1678483097375802,1.0015794879916042,1.0093080681901812,565.8569335932826,141.46423339832066,4,1200,0.6056250000000001,0.5986666666666667,0.61,0.6100;0.5987;0.6073;0.6065
2,426,low,E_intercept,152849710205.02673,172457890830.47595,12852334505.802002,1.0024123276988934,1.002070428521935,641.9826541305777,160.49566353264441,4,1200,0.6171666666666666,0.612,0.6216666666666667,0.6120;0.6213;0.6137;0.6217
2,426,low,alpha_base,1.1457294187908316e-05,9.11202940001917e-06,1.0422063481975396e-06,1.0026380767947314,1.0085619103421826,484.9387825021136,121.2346956255284,4,1200,0.6171666666666666,0.612,0.6216666666666667,0.6120;0.6213;0.6137;0.6217
