analysis,parameter,value,units_or_notes
forward_uq,mc_input_samples,20000,Latin hypercube from prior
forward_uq,design_sigma_scaling,1.0,main paper result
forward_uq,primary_stress_threshold,131,MPa
forward_uq,threshold_sweep,"110;120;131;150;180;200",MPa (appendix)
sobol,N_base_saltelli,4096,base sample size
sobol,bootstrap_samples,512,for CI estimation
sobol,ci_level,90,%
sobol,estimator,Jansen,variance-based
sobol,convergence_N_values,"256;512;1024;2048;4096;8192",
sobol,independent_repeats,20,per N_base
posterior,method,Metropolis-Hastings MCMC,
posterior,chains,4,
posterior,samples_per_chain,5000,after burn-in
posterior,max_gelman_rubin_Rhat,1.010,convergence diagnostic
posterior,benchmark_cases,18,6 low + 6 near-threshold + 6 high stress
posterior,observation_noise,2%,artificial Gaussian on true HF outputs
posterior,90ci_coverage_mean,0.89–0.92,across 18 cases
posterior,acceptance_rate,0.58–0.67,across 18 cases
