model_id,model_label,output,output_label,PICP90,MPIW90,CRPS,ECE
bnn-phy-mono,Physics-regularized BNN,iteration2_keff,keff,0.9808,,0.0002,0.1231
bnn-phy-mono,Physics-regularized BNN,iteration2_max_fuel_temp,Max fuel temp,0.9364,,2.3907,0.0273
bnn-phy-mono,Physics-regularized BNN,iteration2_max_monolith_temp,Max monolith temp,0.9416,,2.7012,0.0308
bnn-phy-mono,Physics-regularized BNN,iteration2_max_global_stress,Max stress,0.9865,,4.5803,0.1062
bnn-phy-mono,Physics-regularized BNN,iteration2_wall2,Wall expansion,1.0000,,0.0017,0.1940
mc-dropout,MC-Dropout,iteration2_keff,keff,1.0000,0.001727,0.0002,0.1522
mc-dropout,MC-Dropout,iteration2_max_fuel_temp,Max fuel temp,0.6989,8.884,2.6239,0.1834
mc-dropout,MC-Dropout,iteration2_max_monolith_temp,Max monolith temp,0.6920,9.973,2.9511,0.1823
mc-dropout,MC-Dropout,iteration2_max_global_stress,Max stress,0.9862,38.645,4.5193,0.1181
mc-dropout,MC-Dropout,iteration2_wall2,Wall expansion,1.0000,0.02840,0.0020,0.1967
deep-ensemble,Deep Ensemble,iteration2_keff,keff,0.9931,0.001729,0.0002,0.1415
deep-ensemble,Deep Ensemble,iteration2_max_fuel_temp,Max fuel temp,0.6690,8.806,2.6339,0.1899
deep-ensemble,Deep Ensemble,iteration2_max_monolith_temp,Max monolith temp,0.6805,10.039,2.9618,0.1846
deep-ensemble,Deep Ensemble,iteration2_max_global_stress,Max stress,0.9840,37.733,4.5023,0.1116
deep-ensemble,Deep Ensemble,iteration2_wall2,Wall expansion,1.0000,0.02812,0.0020,0.1967
