case_id,folder_name,subfolder_name,total_iterations,final_fuel_temp_error,final_monolith_temp_error,fuel_converged,monolith_converged,final_avg_fuel_temp,final_max_fuel_temp,final_max_monolith_temp,final_max_stress,final_Hcore,final_wall1,final_wall2,final_pitch_fuel,final_pitch_HP,total_simulation_time,k_eff,std
2025_05_28_22_08_30_13,2025_05_28_22_08_30,13,3,5.548529591589791e-06,5.065905584677441e-06,True,True,969.23,1033.58,1024.98,129.4,152.16850317405382,8.84,29.918611553031614,1.5999999841609251,2.771281264676121,1414.6863989830017,N/A,N/A
2025_05_28_22_08_30_21,2025_05_28_22_08_30,21,3,8.306862471199718e-06,4.165899891150287e-06,True,True,969.57,1034.47,1024.97,129.39,152.27555151955144,8.84,29.918610376730363,1.599999987125864,2.771281269811546,1516.149064540863,N/A,N/A
2025_05_28_22_08_30_9,2025_05_28_22_08_30,9,3,7.984529383112718e-06,4.337771323718668e-06,True,True,970.44,1036.68,1024.96,129.38,152.47779059815608,8.84,29.91860814061854,1.5999999870330344,2.77128126965076,1503.284648180008,N/A,N/A
2025_05_28_22_08_30_6,2025_05_28_22_08_30,6,3,9.40110000982949e-06,3.605745418978275e-06,True,True,971.9,1040.44,1024.96,129.38,152.47779028930012,8.84,29.918608248421638,1.5999999888069563,2.771281272723283,1499.9516532421112,N/A,N/A
2025_05_28_22_08_30_29,2025_05_28_22_08_30,29,3,7.254988355040097e-06,4.351053532522e-06,True,True,970.86,1037.78,1024.98,129.4,152.21808550642803,8.84,29.918611110090076,1.5999999861326017,2.7712812680911654,1511.1780710220337,N/A,N/A
2025_05_28_22_08_30_2,2025_05_28_22_08_30,2,3,9.547597553350045e-06,3.69568802456532e-06,True,True,971.88,1040.39,1024.96,129.38,152.47779029721826,8.84,29.918608250740906,1.5999999884194467,2.771281272052097,1437.6466088294983,N/A,N/A
2025_05_28_22_08_30_7,2025_05_28_22_08_30,7,3,9.693582814394298e-06,3.644609439905327e-06,True,True,971.15,1038.5,1024.96,129.38,152.47779044331938,8.84,29.91860818834414,1.5999999886585041,2.7712812724661564,1510.4804947376251,N/A,N/A
2025_05_28_22_08_30_27,2025_05_28_22_08_30,27,3,7.520059753662216e-06,4.470741152526331e-06,True,True,970.44,1036.68,1024.97,129.39,152.3218828647796,8.84,29.918609930402162,1.5999999874111874,2.7712812703057406,1519.977150440216,N/A,N/A
2025_05_28_22_08_30_20,2025_05_28_22_08_30,20,3,6.720426014913896e-06,4.561910940672879e-06,True,True,970.48,1036.8,1024.98,129.4,152.16850294757324,8.84,29.918611659701778,1.5999999861249303,2.771281268077878,1511.2473504543304,N/A,N/A
2025_05_28_22_08_30_0,2025_05_28_22_08_30,0,3,9.547597553350045e-06,3.69568802456532e-06,True,True,971.88,1040.39,1024.96,129.38,152.4777902972177,8.84,29.918608250740906,1.5999999884194467,2.771281272052097,1502.554090499878,N/A,N/A
2025_05_28_22_08_30_17,2025_05_28_22_08_30,17,3,5.5266850470934816e-06,5.244234949589137e-06,True,True,969.45,1034.16,1024.98,129.4,152.1685031401725,8.84,29.91861158392754,1.5999999847531148,2.7712812657018238,1507.4880108833313,N/A,N/A
2025_05_28_22_08_30_15,2025_05_28_22_08_30,15,3,5.4676396855742416e-06,5.189563150529781e-06,True,True,969.23,1033.58,1024.97,129.39,152.22803344006127,8.84,29.918610889099824,1.5999999848913642,2.7712812659412784,1500.9460098743439,N/A,N/A
2025_05_28_22_08_30_4,2025_05_28_22_08_30,4,3,9.421829153373223e-06,3.4866931124736917e-06,True,True,971.88,1040.4,1024.97,129.39,152.31217809634458,8.84,29.918610161373923,1.5999999904599647,2.7712812755863774,1492.9870069026947,N/A,N/A
2025_05_28_22_08_30_18,2025_05_28_22_08_30,18,3,5.554841148524704e-06,5.123384628576626e-06,True,True,968.23,1031.01,1024.98,129.4,152.16850335778634,8.84,29.91861146988675,1.5999999841493995,2.771281264656158,1503.1812348365784,N/A,N/A
2025_05_28_22_08_30_1,2025_05_28_22_08_30,1,3,9.547597553350045e-06,3.69568802456532e-06,True,True,971.88,1040.39,1024.96,129.38,152.47779029721798,8.84,29.918608250740906,1.5999999884194467,2.771281272052097,1438.286735534668,N/A,N/A
2025_05_28_22_08_30_22,2025_05_28_22_08_30,22,3,7.227460477757127e-06,4.3846071259403775e-06,True,True,970.44,1036.69,1024.98,129.4,152.21808559413705,8.84,29.918611107805553,1.5999999873936805,2.7712812702754177,1513.1787073612213,N/A,N/A
2025_05_28_22_08_30_25,2025_05_28_22_08_30,25,3,7.227460477757127e-06,4.3846071259403775e-06,True,True,970.44,1036.69,1024.98,129.4,152.2180855932415,8.84,29.918611107805553,1.5999999873936805,2.7712812702754177,1408.5150442123413,N/A,N/A
2025_05_28_22_08_30_16,2025_05_28_22_08_30,16,3,5.4761348162814505e-06,5.169434056988811e-06,True,True,969.23,1033.58,1024.98,129.4,152.2160212703975,8.84,29.918611018704656,1.5999999842732575,2.7712812648706864,1508.06764960289,N/A,N/A
2025_05_28_22_08_30_28,2025_05_28_22_08_30,28,3,7.44300539232518e-06,4.285956596062063e-06,True,True,970.05,1035.69,1024.98,129.4,152.21808566392275,8.84,29.918611057507377,1.5999999862630947,2.7712812683171855,1516.224681854248,N/A,N/A
2025_05_28_22_08_30_26,2025_05_28_22_08_30,26,3,7.270941515965309e-06,4.443602818026196e-06,True,True,970.44,1036.68,1024.97,129.39,152.31618084017086,8.84,29.918610005533782,1.5999999872907813,2.771281270097191,1512.2456097602844,N/A,N/A
2025_05_28_22_08_30_10,2025_05_28_22_08_30,10,3,7.018548725745024e-06,4.5015391755138935e-06,True,True,969.86,1035.22,1024.98,129.4,152.1532131341845,8.84,29.918611781364874,1.5999999858320586,2.7712812675706093,1492.9788255691528,N/A,N/A
2025_05_28_22_08_30_5,2025_05_28_22_08_30,5,3,9.376414794048963e-06,3.582837139567907e-06,True,True,971.88,1040.4,1024.97,129.39,152.31882426991578,8.84,29.918610071218932,1.5999999895438863,2.7712812739996835,1483.0185055732727,N/A,N/A
2025_05_28_22_08_30_23,2025_05_28_22_08_30,23,3,7.227460477757127e-06,4.3846071259403775e-06,True,True,970.44,1036.69,1024.98,129.4,152.21808559413705,8.84,29.918611107805553,1.5999999873936805,2.7712812702754177,1413.2180879116058,N/A,N/A
2025_05_28_22_08_30_8,2025_05_28_22_08_30,8,3,8.493626219169825e-06,4.066614915645932e-06,True,True,971.88,1040.39,1024.96,129.38,152.47779029991202,8.84,29.91860825275578,1.5999999873260122,2.771281270158213,1506.7507450580597,N/A,N/A
2025_05_28_22_08_30_12,2025_05_28_22_08_30,12,3,5.548529591589791e-06,5.065905584677441e-06,True,True,969.23,1033.58,1024.98,129.4,152.16850317405382,8.84,29.918611553031614,1.5999999841609251,2.771281264676121,1443.5138013362885,N/A,N/A
