case_id,E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,SS316_scale,k_eff,std
2025_05_28_22_08_30_13,-66548444.53648613,193554519680.73016,0.3677101445639173,9.270243021344635e-06,4.873356031742906e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.008334119110266016,N/A,N/A
2025_05_28_22_08_30_21,-77286002.7039916,193554519680.73016,0.32381217819880026,9.691032143565767e-06,5.143546297666273e-09,813.3245466004478,18.004598310352552,0.013161735190500536,0.010546016570824452,N/A,N/A
2025_05_28_22_08_30_9,-76331199.98424318,209618376394.45743,0.245740829193624,1.1278538383350823e-05,5.0164593788445e-09,943.9940322510344,27.185053042027583,0.015039500116705065,0.008960452356402969,N/A,N/A
2025_05_28_22_08_30_6,-76331199.98424318,209618376394.45743,0.245740829193624,1.1278538383350823e-05,5.0164593788445e-09,939.0162148172784,27.185053042027583,0.015039500116705065,0.011142622175432194,N/A,N/A
2025_05_28_22_08_30_29,-60569613.00605756,215477865570.3523,0.2982982716141663,1.0503843586367101e-05,4.1629497802436426e-09,786.4958833607611,25.09779404156811,0.013141581848767875,0.00960181789864103,N/A,N/A
2025_05_28_22_08_30_2,-76331199.98424318,205780511283.25815,0.245740829193624,1.1278538383350823e-05,5.0164593788445e-09,943.9940322510344,27.185053042027583,0.015039500116705065,0.011142622175432194,N/A,N/A
2025_05_28_22_08_30_7,-76331199.98424318,209618376394.45743,0.245740829193624,1.1278538383350823e-05,5.0164593788445e-09,943.9940322510344,24.470727601630855,0.015039500116705065,0.011142622175432194,N/A,N/A
2025_05_28_22_08_30_27,-60569613.00605756,215477865570.3523,0.2982982716141663,1.0503843586367101e-05,4.753145706214395e-09,786.4958833607611,23.280611731111534,0.013141581848767875,0.00960181789864103,N/A,N/A
2025_05_28_22_08_30_20,-66548444.53648613,171095616616.73273,0.3677101445639173,9.270243021344635e-06,4.873356031742906e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.010546016570824452,N/A,N/A
2025_05_28_22_08_30_0,-76331199.98424318,209618376394.45743,0.245740829193624,1.1278538383350823e-05,5.0164593788445e-09,943.9940322510344,27.185053042027583,0.015039500116705065,0.011142622175432194,N/A,N/A
2025_05_28_22_08_30_17,-66548444.53648613,171095616616.73273,0.3677101445639173,9.270243021344635e-06,4.873356031742906e-09,813.3245466004478,22.937496870597005,0.010782121444030617,0.008334119110266016,N/A,N/A
2025_05_28_22_08_30_15,-66548444.53648613,171095616616.73273,0.3677101445639173,9.691032143565767e-06,4.873356031742906e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.008334119110266016,N/A,N/A
2025_05_28_22_08_30_4,-76331199.98424318,209618376394.45743,0.245740829193624,1.0107914833199854e-05,5.0164593788445e-09,943.9940322510344,27.185053042027583,0.015039500116705065,0.011142622175432194,N/A,N/A
2025_05_28_22_08_30_18,-66548444.53648613,171095616616.73273,0.3677101445639173,9.270243021344635e-06,4.873356031742906e-09,915.7619532148434,18.004598310352552,0.010782121444030617,0.008334119110266016,N/A,N/A
2025_05_28_22_08_30_1,-61024007.675967924,209618376394.45743,0.245740829193624,1.1278538383350823e-05,5.0164593788445e-09,943.9940322510344,27.185053042027583,0.015039500116705065,0.011142622175432194,N/A,N/A
2025_05_28_22_08_30_22,-60569613.00605756,215477865570.3523,0.2982982716141663,1.0503843586367101e-05,4.1629497802436426e-09,786.4958833607611,23.280611731111534,0.013141581848767875,0.00960181789864103,N/A,N/A
2025_05_28_22_08_30_25,-60569613.00605756,215477865570.3523,0.40918328757712685,1.0503843586367101e-05,4.1629497802436426e-09,786.4958833607611,23.280611731111534,0.013141581848767875,0.00960181789864103,N/A,N/A
2025_05_28_22_08_30_16,-66548444.53648613,171095616616.73273,0.3677101445639173,9.270243021344635e-06,5.143546297666273e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.008334119110266016,N/A,N/A
2025_05_28_22_08_30_28,-60569613.00605756,215477865570.3523,0.2982982716141663,1.0503843586367101e-05,4.1629497802436426e-09,912.6853933336497,23.280611731111534,0.013141581848767875,0.00960181789864103,N/A,N/A
2025_05_28_22_08_30_26,-60569613.00605756,215477865570.3523,0.2982982716141663,1.119722869301229e-05,4.1629497802436426e-09,786.4958833607611,23.280611731111534,0.013141581848767875,0.00960181789864103,N/A,N/A
2025_05_28_22_08_30_10,-61024007.675967924,205780511283.25815,0.2685963196248118,1.0107914833199854e-05,4.11257468071327e-09,939.0162148172784,24.470727601630855,0.013353115818957819,0.008960452356402969,N/A,N/A
